ticket_number,booking_id,itinerary_id,passenger_id,leg_sequence,total_legs,trip_id,route_id,origin_terminal_id,destination_terminal_id,base_fare,discount_amount,tax_amount,net_ticket_revenue,loyalty_points_earned,loyalty_points_redeemed,promotion_code
TICK-000031,BKG-000014,ITI-000014,P01174,2,2,TRIP-000031,RTE-05,TRM-05,TRM-06,339000,0,37000,376000,38,0,
TICK-000032,BKG-000015,ITI-000015,P02661,1,1,TRIP-000032,RTE-03,TRM-03,TRM-04,104000,0,11000,115000,12,0,
TICK-000033,BKG-000016,ITI-000016,P03194,1,2,TRIP-000033,RTE-07,TRM-07,TRM-08,294000,0,32000,326000,33,0,
TICK-000034,BKG-000016,ITI-000016,P03194,2,2,TRIP-000034,RTE-08,TRM-08,TRM-09,262000,0,29000,291000,29,0,
TICK-000035,BKG-000017,ITI-000017,P00012,1,2,TRIP-000035,RTE-16,TRM-16,TRM-17,259000,13000,27000,273000,27,30,APP5
TICK-000036,BKG-000017,ITI-000017,P00012,2,2,TRIP-000036,RTE-17,TRM-17,TRM-18,110000,6000,11000,115000,12,0,APP5
TICK-000037,BKG-000018,ITI-000018,P02987,1,1,TRIP-000037,RTE-10,TRM-10,TRM-11,231000,0,25000,256000,26,0,
TICK-000038,BKG-000019,ITI-000019,P00261,1,2,TRIP-000038,RTE-20,TRM-20,TRM-21,223000,0,25000,248000,25,0,
TICK-000039,BKG-000019,ITI-000019,P00261,2,2,TRIP-000039,RTE-21,TRM-21,TRM-22,187000,0,21000,208000,21,0,
TICK-000040,BKG-000020,ITI-000020,P03318,1,2,TRIP-000040,RTE-20,TRM-20,TRM-21,178000,0,20000,198000,20,0,
TICK-000041,BKG-000020,ITI-000020,P03318,2,2,TRIP-000041,RTE-21,TRM-21,TRM-22,187000,0,21000,208000,21,0,
TICK-000042,BKG-000021,ITI-000021,P01144,1,3,TRIP-000042,RTE-06,TRM-06,TRM-07,122000,12000,12000,122000,12,0,EARLY10
TICK-000043,BKG-000021,ITI-000021,P01144,2,3,TRIP-000043,RTE-07,TRM-07,TRM-08,294000,29000,29000,294000,29,0,EARLY10
TICK-000044,BKG-000021,ITI-000021,P01144,3,3,TRIP-000044,RTE-08,TRM-08,TRM-09,155000,16000,15000,154000,15,0,EARLY10
TICK-000045,BKG-000022,ITI-000022,P01478,1,2,TRIP-000045,RTE-06,TRM-06,TRM-07,102000,0,11000,113000,11,0,
TICK-000046,BKG-000022,ITI-000022,P01478,2,2,TRIP-000046,RTE-07,TRM-07,TRM-08,330000,0,36000,366000,37,0,
TICK-000047,BKG-000023,ITI-000023,P02038,1,2,TRIP-000047,RTE-16,TRM-16,TRM-17,208000,0,23000,231000,23,10,
TICK-000048,BKG-000023,ITI-000023,P02038,2,2,TRIP-000048,RTE-17,TRM-17,TRM-18,82000,0,9000,91000,9,0,
TICK-000049,BKG-000024,ITI-000024,P00350,1,2,TRIP-000049,RTE-19,TRM-19,TRM-20,112000,11000,11000,112000,11,0,EARLY10
TICK-000050,BKG-000024,ITI-000024,P00350,2,2,TRIP-000050,RTE-30,TRM-20,TRM-25,422000,42000,42000,422000,42,0,EARLY10
TICK-000051,BKG-000025,ITI-000025,P00229,1,1,TRIP-000051,RTE-22,TRM-22,TRM-23,222000,0,24000,246000,25,0,
TICK-000052,BKG-000026,ITI-000026,P00559,1,2,TRIP-000052,RTE-04,TRM-04,TRM-05,221000,0,24000,245000,24,0,
TICK-000053,BKG-000026,ITI-000026,P00559,2,2,TRIP-000053,RTE-05,TRM-05,TRM-06,458000,0,50000,508000,51,0,
TICK-000054,BKG-000027,ITI-000027,P00121,1,1,TRIP-000032,RTE-03,TRM-03,TRM-04,104000,0,11000,115000,12,20,
TICK-000055,BKG-000028,ITI-000028,P01407,1,3,TRIP-000054,RTE-21,TRM-21,TRM-22,156000,8000,16000,164000,16,0,APP5
TICK-000056,BKG-000028,ITI-000028,P01407,2,3,TRIP-000055,RTE-22,TRM-22,TRM-23,185000,9000,19000,195000,20,0,APP5
TICK-000057,BKG-000028,ITI-000028,P01407,3,3,TRIP-000056,RTE-23,TRM-23,TRM-24,186000,9000,19000,196000,20,0,APP5
TICK-000058,BKG-000029,ITI-000029,P02454,1,3,TRIP-000057,RTE-14,TRM-14,TRM-15,275000,0,30000,305000,30,0,
TICK-000059,BKG-000029,ITI-000029,P02454,2,3,TRIP-000058,RTE-29,TRM-15,TRM-20,334000,0,37000,371000,37,0,
TICK-000060,BKG-000029,ITI-000029,P02454,3,3,TRIP-000059,RTE-20,TRM-20,TRM-21,178000,0,20000,198000,20,0,
TICK-000061,BKG-000030,ITI-000030,P03676,1,2,TRIP-000060,RTE-13,TRM-13,TRM-14,135000,0,15000,150000,15,30,
TICK-000062,BKG-000030,ITI-000030,P03676,2,2,TRIP-000061,RTE-14,TRM-14,TRM-15,229000,0,25000,254000,25,0,
TICK-000063,BKG-000031,ITI-000031,P03608,1,3,TRIP-000062,RTE-21,TRM-21,TRM-22,195000,0,21000,216000,22,0,
TICK-000064,BKG-000031,ITI-000031,P03608,2,3,TRIP-000063,RTE-22,TRM-22,TRM-23,185000,0,20000,205000,20,0,
TICK-000065,BKG-000031,ITI-000031,P03608,3,3,TRIP-000064,RTE-23,TRM-23,TRM-24,186000,0,20000,206000,21,0,
TICK-000066,BKG-000032,ITI-000032,P02077,1,1,TRIP-000065,RTE-02,TRM-02,TRM-03,71000,0,8000,79000,8,0,
TICK-000067,BKG-000033,ITI-000033,P02682,1,2,TRIP-000066,RTE-21,TRM-21,TRM-22,234000,0,26000,260000,26,0,
TICK-000068,BKG-000033,ITI-000033,P02682,2,2,TRIP-000067,RTE-22,TRM-22,TRM-23,300000,0,33000,333000,33,0,
TICK-000069,BKG-000034,ITI-000034,P02965,1,1,TRIP-000068,RTE-15,TRM-15,TRM-16,226000,11000,24000,239000,24,0,APP5
TICK-000070,BKG-000035,ITI-000035,P03778,1,3,TRIP-000069,RTE-06,TRM-06,TRM-07,81000,8000,8000,81000,8,0,EARLY10
TICK-000071,BKG-000035,ITI-000035,P03778,2,3,TRIP-000070,RTE-07,TRM-07,TRM-08,196000,20000,19000,195000,20,0,EARLY10
TICK-000072,BKG-000035,ITI-000035,P03778,3,3,TRIP-000071,RTE-08,TRM-08,TRM-09,162000,16000,16000,162000,16,0,EARLY10
TICK-000073,BKG-000036,ITI-000036,P03097,1,3,TRIP-000072,RTE-09,TRM-09,TRM-10,279000,14000,29000,294000,29,0,PEAK5
TICK-000074,BKG-000036,ITI-000036,P03097,2,3,TRIP-000073,RTE-28,TRM-10,TRM-15,237000,12000,25000,250000,25,0,PEAK5
TICK-000075,BKG-000036,ITI-000036,P03097,3,3,TRIP-000074,RTE-29,TRM-15,TRM-20,223000,11000,23000,235000,24,0,PEAK5
TICK-000076,BKG-000037,ITI-000037,P01640,1,2,TRIP-000075,RTE-11,TRM-11,TRM-12,294000,0,32000,326000,33,0,
TICK-000077,BKG-000037,ITI-000037,P01640,2,2,TRIP-000076,RTE-12,TRM-12,TRM-13,110000,0,12000,122000,12,0,
TICK-000078,BKG-000038,ITI-000038,P02088,1,1,TRIP-000077,RTE-04,TRM-04,TRM-05,131000,0,14000,145000,14,0,
TICK-000079,BKG-000039,ITI-000039,P03224,1,2,TRIP-000078,RTE-23,TRM-23,TRM-24,149000,0,16000,165000,16,0,
TICK-000080,BKG-000039,ITI-000039,P03224,2,2,TRIP-000079,RTE-24,TRM-24,TRM-25,392000,0,43000,435000,44,0,
TICK-000081,BKG-000040,ITI-000040,P03004,1,2,TRIP-000080,RTE-12,TRM-12,TRM-13,148000,15000,15000,148000,15,0,EARLY10
TICK-000082,BKG-000040,ITI-000040,P03004,2,2,TRIP-000060,RTE-13,TRM-13,TRM-14,135000,14000,13000,134000,13,0,EARLY10
TICK-000083,BKG-000041,ITI-000041,P03269,1,2,TRIP-000081,RTE-20,TRM-20,TRM-21,251000,0,28000,279000,28,0,
TICK-000084,BKG-000041,ITI-000041,P03269,2,2,TRIP-000082,RTE-21,TRM-21,TRM-22,195000,0,21000,216000,22,0,
TICK-000085,BKG-000042,ITI-000042,P02900,1,2,TRIP-000083,RTE-26,TRM-01,TRM-05,139000,0,15000,154000,15,0,
TICK-000086,BKG-000042,ITI-000042,P02900,2,2,TRIP-000084,RTE-05,TRM-05,TRM-06,407000,0,45000,452000,45,0,
TICK-000087,BKG-000043,ITI-000043,P00093,1,2,TRIP-000085,RTE-07,TRM-07,TRM-08,294000,15000,31000,310000,31,0,PEAK5
TICK-000088,BKG-000043,ITI-000043,P00093,2,2,TRIP-000086,RTE-08,TRM-08,TRM-09,155000,8000,16000,163000,16,0,PEAK5
TICK-000089,BKG-000044,ITI-000044,P00539,1,3,TRIP-000087,RTE-28,TRM-10,TRM-15,320000,0,35000,355000,36,0,
TICK-000090,BKG-000044,ITI-000044,P00539,2,3,TRIP-000088,RTE-29,TRM-15,TRM-20,376000,0,41000,417000,42,0,
TICK-000091,BKG-000044,ITI-000044,P00539,3,3,TRIP-000089,RTE-20,TRM-20,TRM-21,186000,0,20000,206000,21,0,
TICK-000092,BKG-000045,ITI-000045,P00760,1,1,TRIP-000090,RTE-19,TRM-19,TRM-20,90000,4000,9000,95000,10,0,APP5
TICK-000093,BKG-000046,ITI-000046,P03901,1,2,TRIP-000091,RTE-12,TRM-12,TRM-13,178000,0,20000,198000,20,0,
TICK-000094,BKG-000046,ITI-000046,P03901,2,2,TRIP-000092,RTE-13,TRM-13,TRM-14,273000,0,30000,303000,30,0,
TICK-000095,BKG-000047,ITI-000047,P03763,1,1,TRIP-000093,RTE-03,TRM-03,TRM-04,87000,0,10000,97000,10,0,
TICK-000096,BKG-000048,ITI-000048,P01837,1,2,TRIP-000094,RTE-29,TRM-15,TRM-20,267000,0,29000,296000,30,0,
TICK-000097,BKG-000048,ITI-000048,P01837,2,2,TRIP-000095,RTE-30,TRM-20,TRM-25,422000,0,46000,468000,47,0,
TICK-000098,BKG-000049,ITI-000049,P01969,1,2,TRIP-000096,RTE-13,TRM-13,TRM-14,135000,0,15000,150000,15,0,
TICK-000099,BKG-000049,ITI-000049,P01969,2,2,TRIP-000097,RTE-14,TRM-14,TRM-15,229000,0,25000,254000,25,0,
TICK-000100,BKG-000050,ITI-000050,P03984,1,2,TRIP-000098,RTE-23,TRM-23,TRM-24,178000,18000,18000,178000,18,0,EARLY10
TICK-000101,BKG-000050,ITI-000050,P03984,2,2,TRIP-000099,RTE-24,TRM-24,TRM-25,279000,28000,28000,279000,28,0,EARLY10
TICK-000102,BKG-000051,ITI-000051,P00854,1,2,TRIP-000100,RTE-22,TRM-22,TRM-23,185000,0,20000,205000,20,0,
TICK-000103,BKG-000051,ITI-000051,P00854,2,2,TRIP-000078,RTE-23,TRM-23,TRM-24,149000,0,16000,165000,16,0,
TICK-000104,BKG-000052,ITI-000052,P02447,1,3,TRIP-000101,RTE-04,TRM-04,TRM-05,157000,8000,16000,165000,16,0,APP5
TICK-000105,BKG-000052,ITI-000052,P02447,2,3,TRIP-000102,RTE-05,TRM-05,TRM-06,407000,20000,43000,430000,43,0,APP5
TICK-000106,BKG-000052,ITI-000052,P02447,3,3,TRIP-000103,RTE-06,TRM-06,TRM-07,122000,6000,13000,129000,13,0,APP5
TICK-000107,BKG-000053,ITI-000053,P00789,1,2,TRIP-000104,RTE-11,TRM-11,TRM-12,174000,17000,17000,174000,17,0,EARLY10
TICK-000108,BKG-000053,ITI-000053,P00789,2,2,TRIP-000105,RTE-12,TRM-12,TRM-13,88000,9000,9000,88000,9,0,EARLY10
TICK-000109,BKG-000054,ITI-000054,P02386,1,1,TRIP-000106,RTE-05,TRM-05,TRM-06,271000,0,30000,301000,30,0,
TICK-000110,BKG-000055,ITI-000055,P00370,1,3,TRIP-000065,RTE-02,TRM-02,TRM-03,71000,0,8000,79000,8,0,
TICK-000111,BKG-000055,ITI-000055,P00370,2,3,TRIP-000107,RTE-03,TRM-03,TRM-04,104000,0,11000,115000,12,0,
TICK-000112,BKG-000055,ITI-000055,P00370,3,3,TRIP-000108,RTE-04,TRM-04,TRM-05,197000,0,22000,219000,22,0,
TICK-000113,BKG-000056,ITI-000056,P03650,1,2,TRIP-000109,RTE-22,TRM-22,TRM-23,148000,7000,16000,157000,16,0,PEAK5
TICK-000114,BKG-000056,ITI-000056,P03650,2,2,TRIP-000110,RTE-23,TRM-23,TRM-24,251000,13000,26000,264000,26,0,PEAK5
TICK-000115,BKG-000057,ITI-000057,P01498,1,2,TRIP-000111,RTE-15,TRM-15,TRM-16,140000,7000,15000,148000,15,0,APP5
TICK-000116,BKG-000057,ITI-000057,P01498,2,2,TRIP-000112,RTE-16,TRM-16,TRM-17,173000,9000,18000,182000,18,0,APP5
TICK-000117,BKG-000058,ITI-000058,P00383,1,1,TRIP-000113,RTE-21,TRM-21,TRM-22,187000,0,21000,208000,21,0,
TICK-000118,BKG-000059,ITI-000059,P02861,1,2,TRIP-000114,RTE-25,TRM-25,TRM-01,257000,26000,25000,256000,26,0,EARLY10
TICK-000119,BKG-000059,ITI-000059,P02861,2,2,TRIP-000115,RTE-26,TRM-01,TRM-05,111000,11000,11000,111000,11,0,EARLY10
TICK-000120,BKG-000060,ITI-000060,P00122,1,1,TRIP-000116,RTE-01,TRM-01,TRM-02,165000,16000,16000,165000,16,0,EARLY10
TICK-000121,BKG-000061,ITI-000061,P01770,1,2,TRIP-000117,RTE-29,TRM-15,TRM-20,451000,0,50000,501000,50,0,
TICK-000122,BKG-000061,ITI-000061,P01770,2,2,TRIP-000118,RTE-30,TRM-20,TRM-25,337000,0,37000,374000,37,0,
TICK-000123,BKG-000062,ITI-000062,P01330,1,2,TRIP-000119,RTE-20,TRM-20,TRM-21,178000,9000,19000,188000,19,0,APP5
TICK-000124,BKG-000062,ITI-000062,P01330,2,2,TRIP-000113,RTE-21,TRM-21,TRM-22,187000,9000,20000,198000,20,0,APP5
TICK-000125,BKG-000063,ITI-000063,P01387,1,2,TRIP-000120,RTE-09,TRM-09,TRM-10,207000,0,23000,230000,23,0,
TICK-000126,BKG-000063,ITI-000063,P01387,2,2,TRIP-000121,RTE-10,TRM-10,TRM-11,231000,0,25000,256000,26,0,
TICK-000127,BKG-000064,ITI-000064,P02463,1,1,TRIP-000122,RTE-24,TRM-24,TRM-25,232000,0,26000,258000,26,0,
TICK-000128,BKG-000065,ITI-000065,P00627,1,3,TRIP-000123,RTE-08,TRM-08,TRM-09,262000,0,29000,291000,29,0,
TICK-000129,BKG-000065,ITI-000065,P00627,2,3,TRIP-000124,RTE-09,TRM-09,TRM-10,248000,0,27000,275000,28,0,
TICK-000130,BKG-000065,ITI-000065,P00627,3,3,TRIP-000125,RTE-28,TRM-10,TRM-15,228000,0,25000,253000,25,0,
TICK-000131,BKG-000066,ITI-000066,P01075,1,1,TRIP-000126,RTE-16,TRM-16,TRM-17,259000,0,28000,287000,29,0,
TICK-000132,BKG-000067,ITI-000067,P02884,1,2,TRIP-000127,RTE-21,TRM-21,TRM-22,187000,0,21000,208000,21,0,
TICK-000133,BKG-000067,ITI-000067,P02884,2,2,TRIP-000128,RTE-22,TRM-22,TRM-23,222000,0,24000,246000,25,0,
TICK-000134,BKG-000068,ITI-000068,P02517,1,3,TRIP-000129,RTE-18,TRM-18,TRM-19,196000,0,22000,218000,22,10,
TICK-000135,BKG-000068,ITI-000068,P02517,2,3,TRIP-000130,RTE-19,TRM-19,TRM-20,75000,0,8000,83000,8,0,
TICK-000136,BKG-000068,ITI-000068,P02517,3,3,TRIP-000131,RTE-30,TRM-20,TRM-25,281000,0,31000,312000,31,0,
TICK-000137,BKG-000069,ITI-000069,P00806,1,2,TRIP-000132,RTE-23,TRM-23,TRM-24,149000,0,16000,165000,16,30,
TICK-000138,BKG-000069,ITI-000069,P00806,2,2,TRIP-000133,RTE-24,TRM-24,TRM-25,232000,0,26000,258000,26,0,
TICK-000139,BKG-000070,ITI-000070,P00717,1,3,TRIP-000134,RTE-21,TRM-21,TRM-22,156000,0,17000,173000,17,0,
TICK-000140,BKG-000070,ITI-000070,P00717,2,3,TRIP-000135,RTE-22,TRM-22,TRM-23,148000,0,16000,164000,16,0,
TICK-000141,BKG-000070,ITI-000070,P00717,3,3,TRIP-000136,RTE-23,TRM-23,TRM-24,149000,0,16000,165000,16,0,
TICK-000142,BKG-000071,ITI-000071,P01726,1,3,TRIP-000137,RTE-03,TRM-03,TRM-04,83000,4000,9000,88000,9,0,APP5
TICK-000143,BKG-000071,ITI-000071,P01726,2,3,TRIP-000138,RTE-04,TRM-04,TRM-05,197000,10000,21000,208000,21,0,APP5
TICK-000144,BKG-000071,ITI-000071,P01726,3,3,TRIP-000139,RTE-05,TRM-05,TRM-06,407000,20000,43000,430000,43,0,APP5
TICK-000145,BKG-000072,ITI-000072,P01358,1,1,TRIP-000140,RTE-22,TRM-22,TRM-23,178000,9000,19000,188000,19,0,PEAK5
TICK-000146,BKG-000073,ITI-000073,P01148,1,2,TRIP-000141,RTE-06,TRM-06,TRM-07,98000,0,11000,109000,11,0,
TICK-000147,BKG-000073,ITI-000073,P01148,2,2,TRIP-000142,RTE-07,TRM-07,TRM-08,235000,0,26000,261000,26,0,
TICK-000148,BKG-000074,ITI-000074,P00236,1,2,TRIP-000143,RTE-28,TRM-10,TRM-15,190000,10000,20000,200000,20,0,APP5
TICK-000149,BKG-000074,ITI-000074,P00236,2,2,TRIP-000144,RTE-29,TRM-15,TRM-20,223000,11000,23000,235000,24,0,APP5
TICK-000150,BKG-000075,ITI-000075,P01394,1,3,TRIP-000145,RTE-25,TRM-25,TRM-01,267000,13000,28000,282000,28,0,APP5
TICK-000151,BKG-000075,ITI-000075,P01394,2,3,TRIP-000146,RTE-26,TRM-01,TRM-05,93000,5000,10000,98000,10,0,APP5
TICK-000152,BKG-000075,ITI-000075,P01394,3,3,TRIP-000147,RTE-27,TRM-05,TRM-10,392000,20000,41000,413000,41,0,APP5
TICK-000153,BKG-000076,ITI-000076,P00188,1,2,TRIP-000148,RTE-05,TRM-05,TRM-06,339000,34000,34000,339000,34,0,EARLY10
TICK-000154,BKG-000076,ITI-000076,P00188,2,2,TRIP-000149,RTE-06,TRM-06,TRM-07,81000,8000,8000,81000,8,0,EARLY10
TICK-000155,BKG-000077,ITI-000077,P02743,1,1,TRIP-000150,RTE-14,TRM-14,TRM-15,275000,0,30000,305000,30,0,
TICK-000156,BKG-000078,ITI-000078,P03504,1,2,TRIP-000151,RTE-12,TRM-12,TRM-13,106000,0,12000,118000,12,0,
TICK-000157,BKG-000078,ITI-000078,P03504,2,2,TRIP-000152,RTE-13,TRM-13,TRM-14,162000,0,18000,180000,18,0,
TICK-000158,BKG-000079,ITI-000079,P02080,1,1,TRIP-000153,RTE-09,TRM-09,TRM-10,199000,0,22000,221000,22,0,
TICK-000159,BKG-000080,ITI-000080,P03150,1,3,TRIP-000154,RTE-13,TRM-13,TRM-14,168000,0,18000,186000,19,0,
TICK-000160,BKG-000080,ITI-000080,P03150,2,3,TRIP-000155,RTE-14,TRM-14,TRM-15,386000,0,42000,428000,43,0,
TICK-000161,BKG-000080,ITI-000080,P03150,3,3,TRIP-000156,RTE-29,TRM-15,TRM-20,278000,0,31000,309000,31,0,
TICK-000162,BKG-000081,ITI-000081,P03328,1,3,TRIP-000157,RTE-11,TRM-11,TRM-12,174000,9000,18000,183000,18,0,APP5
TICK-000163,BKG-000081,ITI-000081,P03328,2,3,TRIP-000158,RTE-12,TRM-12,TRM-13,88000,4000,9000,93000,9,0,APP5
TICK-000164,BKG-000081,ITI-000081,P03328,3,3,TRIP-000159,RTE-13,TRM-13,TRM-14,168000,8000,18000,178000,18,0,APP5
TICK-000165,BKG-000082,ITI-000082,P00401,1,1,TRIP-000160,RTE-28,TRM-10,TRM-15,384000,38000,38000,384000,38,0,EARLY10
TICK-000166,BKG-000083,ITI-000083,P01222,1,2,TRIP-000161,RTE-02,TRM-02,TRM-03,120000,0,13000,133000,13,0,
TICK-000167,BKG-000083,ITI-000083,P01222,2,2,TRIP-000162,RTE-03,TRM-03,TRM-04,104000,0,11000,115000,12,0,
TICK-000168,BKG-000084,ITI-000084,P00211,1,1,TRIP-000163,RTE-09,TRM-09,TRM-10,248000,0,27000,275000,28,0,
TICK-000169,BKG-000085,ITI-000085,P02921,1,2,TRIP-000164,RTE-23,TRM-23,TRM-24,149000,15000,15000,149000,15,0,EARLY10
TICK-000170,BKG-000085,ITI-000085,P02921,2,2,TRIP-000165,RTE-24,TRM-24,TRM-25,232000,23000,23000,232000,23,0,EARLY10
TICK-000171,BKG-000086,ITI-000086,P03473,1,2,TRIP-000166,RTE-22,TRM-22,TRM-23,178000,0,20000,198000,20,0,
TICK-000172,BKG-000086,ITI-000086,P03473,2,2,TRIP-000167,RTE-23,TRM-23,TRM-24,178000,0,20000,198000,20,0,
TICK-000173,BKG-000087,ITI-000087,P00825,1,3,TRIP-000168,RTE-17,TRM-17,TRM-18,65000,0,7000,72000,7,0,
TICK-000174,BKG-000087,ITI-000087,P00825,2,3,TRIP-000169,RTE-18,TRM-18,TRM-19,235000,0,26000,261000,26,0,
TICK-000175,BKG-000087,ITI-000087,P00825,3,3,TRIP-000170,RTE-19,TRM-19,TRM-20,90000,0,10000,100000,10,0,
TICK-000176,BKG-000088,ITI-000088,P00881,1,3,TRIP-000128,RTE-22,TRM-22,TRM-23,222000,0,24000,246000,25,0,
TICK-000177,BKG-000088,ITI-000088,P00881,2,3,TRIP-000171,RTE-23,TRM-23,TRM-24,178000,0,20000,198000,20,0,
TICK-000178,BKG-000088,ITI-000088,P00881,3,3,TRIP-000172,RTE-24,TRM-24,TRM-25,279000,0,31000,310000,31,0,
TICK-000179,BKG-000089,ITI-000089,P02501,1,1,TRIP-000173,RTE-24,TRM-24,TRM-25,232000,0,26000,258000,26,0,
TICK-000180,BKG-000090,ITI-000090,P00064,1,2,TRIP-000138,RTE-04,TRM-04,TRM-05,197000,20000,19000,196000,20,0,EARLY10
TICK-000181,BKG-000090,ITI-000090,P00064,2,2,TRIP-000174,RTE-27,TRM-05,TRM-10,279000,28000,28000,279000,28,0,EARLY10
TICK-000182,BKG-000091,ITI-000091,P00267,1,2,TRIP-000008,RTE-24,TRM-24,TRM-25,348000,35000,34000,347000,35,0,EARLY10
TICK-000183,BKG-000091,ITI-000091,P00267,2,2,TRIP-000009,RTE-25,TRM-25,TRM-01,257000,26000,25000,256000,26,0,EARLY10
TICK-000184,BKG-000092,ITI-000092,P01312,1,2,TRIP-000175,RTE-23,TRM-23,TRM-24,223000,11000,23000,235000,24,0,APP5
TICK-000185,BKG-000092,ITI-000092,P01312,2,2,TRIP-000176,RTE-24,TRM-24,TRM-25,279000,14000,29000,294000,29,0,APP5
TICK-000186,BKG-000093,ITI-000093,P03988,1,1,TRIP-000177,RTE-28,TRM-10,TRM-15,237000,0,26000,263000,26,0,
TICK-000187,BKG-000094,ITI-000094,P02113,1,2,TRIP-000178,RTE-06,TRM-06,TRM-07,81000,0,9000,90000,9,20,
TICK-000188,BKG-000094,ITI-000094,P02113,2,2,TRIP-000179,RTE-07,TRM-07,TRM-08,330000,0,36000,366000,37,0,
