passenger_id,loyalty_tier,effective_start_date,effective_end_date
P00316,Basic,2024-08-19,2025-08-22
P00316,Gold,2025-08-22,
P00317,Basic,2024-09-20,
P00318,Gold,2024-10-15,
P00319,Basic,2024-05-10,
P00320,Basic,2024-01-15,
P00321,Basic,2024-03-18,
P00322,Basic,2023-12-26,
P00323,Basic,2023-01-10,
P00324,Basic,2023-09-20,
P00325,Basic,2024-05-10,
P00326,Gold,2023-12-16,
P00327,Basic,2023-02-20,
P00328,Gold,2023-08-14,2025-08-02
P00328,Platinum,2025-08-02,
P00329,Gold,2024-07-06,
P00330,Gold,2023-02-11,
P00331,Basic,2024-03-29,
P00332,Basic,2024-04-28,
P00333,Basic,2023-06-11,2025-10-18
P00333,Gold,2025-10-18,
P00334,Basic,2023-02-13,2025-08-03
P00334,Gold,2025-08-03,
P00335,Gold,2024-01-22,
P00336,Basic,2023-05-13,2025-06-06
P00336,Gold,2025-06-06,
P00337,Basic,2024-04-26,
P00338,Basic,2023-07-20,
P00339,Basic,2023-12-30,
P00340,Basic,2024-05-25,2025-09-02
P00340,Gold,2025-09-02,
P00341,Basic,2024-01-21,
P00342,Gold,2024-02-26,
P00343,Basic,2024-08-31,
P00344,Basic,2023-08-15,
P00345,Basic,2023-06-14,
P00346,Basic,2024-08-02,
P00347,Gold,2023-06-17,2025-05-24
P00347,Platinum,2025-05-24,
P00348,Gold,2024-01-12,
P00349,Basic,2024-11-19,
P00350,Gold,2024-02-26,
P00351,Gold,2024-09-17,2025-09-23
P00351,Platinum,2025-09-23,
P00352,Basic,2024-11-24,
P00353,Gold,2023-10-16,
P00354,Basic,2024-12-02,
P00355,Basic,2024-10-20,
P00356,Basic,2023-07-20,2025-03-29
P00356,Gold,2025-03-29,
P00357,Basic,2024-10-11,
P00358,Platinum,2024-05-11,
P00359,Basic,2024-05-12,
P00360,Basic,2023-08-31,
P00361,Platinum,2023-09-29,
P00362,Basic,2024-08-17,2025-03-23
P00362,Gold,2025-03-23,
P00363,Basic,2024-05-26,
P00364,Gold,2024-10-13,2025-04-23
P00364,Platinum,2025-04-23,
P00365,Basic,2024-11-25,
P00366,Gold,2024-09-05,
P00367,Basic,2023-12-09,
P00368,Gold,2024-09-10,2025-06-22
P00368,Platinum,2025-06-22,
P00369,Gold,2024-08-29,
P00370,Basic,2023-08-30,
P00371,Basic,2023-03-25,
P00372,Basic,2024-05-08,
P00373,Basic,2024-05-22,2025-04-03
P00373,Gold,2025-04-03,
P00374,Gold,2023-01-02,
P00375,Gold,2023-05-11,2025-07-29
P00375,Platinum,2025-07-29,
P00376,Basic,2023-04-04,
P00377,Basic,2024-11-09,
P00378,Basic,2024-03-11,
P00379,Gold,2024-04-11,2025-07-07
P00379,Platinum,2025-07-07,
P00380,Basic,2023-06-21,
P00381,Basic,2023-08-16,
P00382,Basic,2024-03-05,
P00383,Basic,2023-01-05,
P00384,Basic,2023-10-13,2025-09-25
P00384,Gold,2025-09-25,
P00385,Platinum,2024-11-07,
P00386,Basic,2024-06-07,
P00387,Basic,2024-07-18,
P00388,Basic,2024-11-05,2025-04-12
P00388,Gold,2025-04-12,
P00389,Basic,2023-08-12,2025-10-13
P00389,Gold,2025-10-13,
P00390,Basic,2023-04-04,
P00391,Basic,2023-02-09,
P00392,Basic,2023-05-14,
P00393,Gold,2023-08-17,2025-03-28
P00393,Platinum,2025-03-28,
P00394,Basic,2023-03-03,
P00395,Gold,2023-11-25,
P00396,Basic,2023-02-11,
P00397,Basic,2023-08-11,2025-07-10
P00397,Gold,2025-07-10,
P00398,Basic,2023-04-10,2025-03-26
P00398,Gold,2025-03-26,
P00399,Basic,2023-12-15,
P00400,Basic,2024-07-24,
P00401,Basic,2023-04-19,
P00402,Basic,2024-04-20,
P00403,Gold,2024-01-11,2025-04-22
P00403,Platinum,2025-04-22,
P00404,Basic,2023-11-28,
P00405,Basic,2024-10-09,
P00406,Basic,2024-09-21,
P00407,Platinum,2024-09-19,
P00408,Basic,2024-03-01,
P00409,Basic,2023-12-22,2025-10-09
P00409,Gold,2025-10-09,
P00410,Platinum,2023-10-13,
P00411,Basic,2024-03-18,
P00412,Gold,2023-03-01,2025-05-30
P00412,Platinum,2025-05-30,
P00413,Basic,2024-08-13,2025-06-04
P00413,Gold,2025-06-04,
P00414,Basic,2024-08-04,
P00415,Basic,2023-02-04,2025-07-10
P00415,Gold,2025-07-10,
P00416,Basic,2024-02-11,2025-07-15
P00416,Gold,2025-07-15,
P00417,Platinum,2024-04-27,
P00418,Basic,2024-04-14,2025-03-31
P00418,Gold,2025-03-31,
P00419,Basic,2024-07-22,
P00420,Gold,2023-06-17,
P00421,Basic,2023-06-06,
P00422,Basic,2024-11-20,
P00423,Basic,2023-11-02,
P00424,Basic,2024-03-15,
P00425,Basic,2024-09-21,2025-09-25
P00425,Gold,2025-09-25,
P00426,Gold,2023-02-28,
P00427,Basic,2023-09-04,2025-09-30
P00427,Gold,2025-09-30,
P00428,Basic,2023-08-12,
P00429,Basic,2024-10-11,
P00430,Basic,2023-10-26,
P00431,Basic,2024-10-14,
P00432,Basic,2024-05-08,
P00433,Basic,2023-03-27,
P00434,Basic,2024-08-13,
P00435,Basic,2024-02-18,
P00436,Gold,2024-10-18,
P00437,Basic,2023-10-02,
P00438,Basic,2023-09-29,
P00439,Basic,2023-12-21,
P00440,Basic,2024-09-12,
P00441,Basic,2023-05-07,2025-10-15
P00441,Gold,2025-10-15,
P00442,Basic,2023-09-18,2025-07-28
P00442,Gold,2025-07-28,
P00443,Basic,2023-09-07,
P00444,Basic,2023-03-12,2025-03-08
P00444,Gold,2025-03-08,
P00445,Basic,2023-06-21,
P00446,Basic,2024-11-02,
P00447,Gold,2024-11-20,2025-03-24
P00447,Platinum,2025-03-24,
P00448,Platinum,2023-09-25,
P00449,Basic,2024-03-10,
P00450,Basic,2024-10-11,
P00451,Gold,2024-02-23,2025-10-04
P00451,Platinum,2025-10-04,
P00452,Basic,2023-09-10,
P00453,Basic,2024-05-01,2025-06-20
P00453,Gold,2025-06-20,
P00454,Basic,2023-09-09,2025-05-14
P00454,Gold,2025-05-14,
P00455,Gold,2023-11-17,2025-09-12
P00455,Platinum,2025-09-12,
P00456,Basic,2024-01-31,
P00457,Basic,2023-10-26,
P00458,Basic,2024-09-29,
P00459,Basic,2024-05-01,2025-09-04
P00459,Gold,2025-09-04,
P00460,Basic,2023-10-24,
P00461,Basic,2024-06-15,2025-07-14
P00461,Gold,2025-07-14,
P00462,Basic,2024-08-03,
P00463,Basic,2023-07-21,
P00464,Basic,2023-01-16,
P00465,Basic,2024-07-02,2025-05-16
P00465,Gold,2025-05-16,
P00466,Platinum,2023-11-04,
P00467,Basic,2023-08-10,
P00468,Basic,2024-01-03,
P00469,Gold,2023-09-22,
P00470,Basic,2024-09-21,
P00471,Basic,2024-02-13,
P00472,Gold,2023-11-29,
P00473,Basic,2024-10-16,
P00474,Basic,2024-01-06,
P00475,Basic,2024-12-02,
P00476,Basic,2023-11-17,
P00477,Basic,2023-05-15,2025-06-28
P00477,Gold,2025-06-28,
P00478,Basic,2024-09-20,
P00479,Basic,2023-03-07,
P00480,Basic,2024-09-30,
P00481,Basic,2023-12-23,
P00482,Basic,2024-01-21,
P00483,Basic,2023-07-22,
P00484,Basic,2023-02-21,2025-08-20
P00484,Gold,2025-08-20,
P00485,Basic,2024-02-09,
P00486,Gold,2023-03-19,2025-08-15
P00486,Platinum,2025-08-15,
P00487,Basic,2023-05-19,
P00488,Basic,2024-10-03,
P00489,Gold,2024-09-16,2025-07-04
P00489,Platinum,2025-07-04,
P00490,Basic,2024-04-26,
P00491,Basic,2023-05-03,
P00492,Gold,2024-01-03,
P00493,Basic,2024-01-27,
P00494,Basic,2023-04-16,
P00495,Basic,2023-11-11,
P00496,Basic,2023-09-12,
P00497,Basic,2024-05-31,
P00498,Platinum,2024-09-16,
P00499,Basic,2024-04-27,
P00500,Basic,2024-04-25,
P00501,Basic,2023-04-13,2025-08-15
P00501,Gold,2025-08-15,
P00502,Basic,2023-03-07,2025-05-19
P00502,Gold,2025-05-19,
P00503,Basic,2024-03-25,
P00504,Basic,2024-02-27,2025-05-11
P00504,Gold,2025-05-11,
P00505,Basic,2023-09-05,
P00506,Basic,2023-06-20,
P00507,Basic,2024-11-21,
P00508,Basic,2024-09-17,
P00509,Basic,2024-04-10,
P00510,Basic,2023-09-23,
P00511,Platinum,2024-08-17,
P00512,Platinum,2023-11-29,
P00513,Basic,2024-08-11,
P00514,Basic,2023-12-10,
P00515,Platinum,2024-07-07,
P00516,Basic,2024-02-03,
P00517,Basic,2024-11-19,
P00518,Basic,2024-07-24,
P00519,Basic,2024-06-25,
P00520,Gold,2023-03-14,
P00521,Basic,2023-07-24,
P00522,Basic,2023-04-27,
P00523,Basic,2024-08-02,
P00524,Basic,2023-02-08,
P00525,Basic,2024-11-21,
P00526,Basic,2023-02-15,
P00527,Basic,2023-01-22,
P00528,Basic,2023-02-16,2025-07-19
P00528,Gold,2025-07-19,
P00529,Basic,2023-07-07,2025-10-16
P00529,Gold,2025-10-16,
P00530,Gold,2024-01-26,
P00531,Basic,2024-03-11,
P00532,Basic,2024-02-21,2025-03-05
P00532,Gold,2025-03-05,
P00533,Basic,2024-09-05,
P00534,Gold,2024-05-07,
P00535,Basic,2023-06-08,
P00536,Basic,2023-12-23,
P00537,Basic,2024-11-02,
P00538,Basic,2023-04-23,
P00539,Basic,2023-06-08,
P00540,Basic,2024-02-19,2025-09-05
P00540,Gold,2025-09-05,
P00541,Gold,2024-01-10,2025-07-27
P00541,Platinum,2025-07-27,
P00542,Basic,2023-02-21,2025-06-13
P00542,Gold,2025-06-13,
P00543,Basic,2024-01-24,
P00544,Basic,2024-07-14,2025-09-11
P00544,Gold,2025-09-11,
P00545,Platinum,2024-07-16,
P00546,Basic,2023-07-22,2025-09-04
P00546,Gold,2025-09-04,
P00547,Gold,2024-03-20,
P00548,Basic,2024-10-23,
P00549,Basic,2024-06-22,
P00550,Platinum,2024-07-30,
P00551,Basic,2023-04-22,
P00552,Gold,2024-05-05,2025-05-15
P00552,Platinum,2025-05-15,
P00553,Gold,2023-12-27,
P00554,Basic,2024-02-07,
P00555,Basic,2023-11-07,
P00556,Basic,2024-07-16,
P00557,Basic,2024-02-01,
P00558,Gold,2024-09-13,
P00559,Basic,2023-11-01,
P00560,Basic,2023-12-21,
P00561,Gold,2023-03-17,2025-09-25
P00561,Platinum,2025-09-25,
P00562,Basic,2023-11-29,
P00563,Basic,2023-04-18,2025-05-29
P00563,Gold,2025-05-29,
P00564,Basic,2023-02-26,2025-10-04
P00564,Gold,2025-10-04,
P00565,Basic,2023-08-27,
P00566,Platinum,2023-11-25,
P00567,Basic,2024-06-12,
P00568,Basic,2024-04-10,
P00569,Basic,2023-12-17,
P00570,Basic,2023-06-17,2025-09-23
P00570,Gold,2025-09-23,
P00571,Gold,2024-12-02,
P00572,Basic,2024-11-29,2025-08-06
P00572,Gold,2025-08-06,
P00573,Basic,2023-09-08,2025-05-25
P00573,Gold,2025-05-25,
P00574,Gold,2024-04-02,
P00575,Basic,2023-01-25,
P00576,Gold,2024-01-10,
P00577,Basic,2023-03-08,
P00578,Gold,2023-04-02,
P00579,Gold,2024-10-17,2025-06-14
P00579,Platinum,2025-06-14,
P00580,Basic,2024-05-21,
P00581,Basic,2024-03-25,2025-10-21
P00581,Gold,2025-10-21,
P00582,Basic,2024-11-25,
P00583,Basic,2024-01-02,2025-08-23
P00583,Gold,2025-08-23,
P00584,Basic,2023-05-15,
P00585,Basic,2023-10-14,
P00586,Gold,2023-05-12,
P00587,Basic,2023-08-06,2025-03-11
P00587,Gold,2025-03-11,
P00588,Basic,2023-08-08,
P00589,Basic,2023-06-01,2025-06-29
P00589,Gold,2025-06-29,
P00590,Basic,2023-09-28,
P00591,Platinum,2024-02-05,
P00592,Basic,2024-11-21,2025-05-15
P00592,Gold,2025-05-15,
P00593,Basic,2024-08-20,
P00594,Basic,2023-01-06,
P00595,Basic,2024-01-09,2025-08-14
P00595,Gold,2025-08-14,
P00596,Basic,2023-10-21,
P00597,Platinum,2024-06-28,
P00598,Basic,2024-09-04,
P00599,Gold,2023-04-22,
P00600,Basic,2023-04-11,2025-06-24
P00600,Gold,2025-06-24,
P00601,Basic,2023-03-26,
P00602,Basic,2023-07-11,
P00603,Basic,2024-08-02,
P00604,Basic,2023-11-04,
P00605,Gold,2023-08-27,2025-06-20
P00605,Platinum,2025-06-20,
P00606,Gold,2023-01-21,2025-09-06
P00606,Platinum,2025-09-06,
P00607,Basic,2023-09-17,2025-05-15
P00607,Gold,2025-05-15,
P00608,Basic,2024-05-21,
P00609,Basic,2023-11-11,
P00610,Basic,2023-09-10,
P00611,Platinum,2023-12-31,
P00612,Basic,2024-04-23,
P00613,Basic,2024-04-08,
P00614,Basic,2024-05-23,
P00615,Basic,2023-10-26,
P00616,Gold,2023-07-03,2025-03-27
P00616,Platinum,2025-03-27,
P00617,Gold,2024-05-28,
P00618,Basic,2023-02-16,2025-04-26
P00618,Gold,2025-04-26,
P00619,Basic,2023-10-04,
P00620,Basic,2024-02-12,
P00621,Basic,2023-02-10,
P00622,Basic,2023-07-30,
P00623,Basic,2023-07-13,
P00624,Basic,2023-01-07,2025-05-20
P00624,Gold,2025-05-20,
P00625,Basic,2024-07-24,
P00626,Basic,2024-09-06,
P00627,Gold,2023-10-31,
P00628,Basic,2023-10-01,
P00629,Basic,2023-03-18,
P00630,Gold,2023-07-26,2025-05-10
P00630,Platinum,2025-05-10,
P00631,Basic,2024-08-23,
P00632,Basic,2024-11-01,
P00633,Basic,2023-08-08,
P00634,Basic,2024-02-10,
P00635,Basic,2023-12-02,
P00636,Basic,2023-09-03,
P00637,Basic,2023-05-21,
P00638,Basic,2023-03-24,
P00639,Basic,2024-04-25,
P00640,Basic,2024-03-19,
P00641,Basic,2024-08-22,2025-06-21
P00641,Gold,2025-06-21,
P00642,Gold,2023-06-04,
P00643,Gold,2023-04-04,
P00644,Platinum,2023-08-30,
P00645,Basic,2023-07-29,
P00646,Basic,2023-01-18,
P00647,Basic,2023-10-23,
P00648,Basic,2024-06-01,2025-08-18
P00648,Gold,2025-08-18,
P00649,Basic,2023-02-11,
P00650,Basic,2023-07-15,
P00651,Basic,2024-07-21,
P00652,Basic,2024-03-09,2025-04-13
P00652,Gold,2025-04-13,
P00653,Gold,2023-12-18,
P00654,Basic,2024-01-02,
P00655,Basic,2024-10-19,
P00656,Basic,2023-09-06,2025-10-17
P00656,Gold,2025-10-17,
P00657,Basic,2023-03-30,
P00658,Gold,2024-08-22,
P00659,Gold,2024-09-14,
P00660,Gold,2024-04-05,
P00661,Basic,2023-06-26,2025-03-10
P00661,Gold,2025-03-10,
P00662,Gold,2024-05-30,
P00663,Gold,2023-08-26,
P00664,Basic,2023-06-06,2025-08-26
P00664,Gold,2025-08-26,
P00665,Basic,2023-07-05,2025-04-22
P00665,Gold,2025-04-22,
P00666,Gold,2023-03-17,2025-06-20
P00666,Platinum,2025-06-20,
P00667,Platinum,2024-03-03,
P00668,Basic,2024-09-10,2025-09-17
P00668,Gold,2025-09-17,
