trip_id,route_id,bus_fleet_id,scheduled_departure_ts,scheduled_arrival_ts
TRIP-000023,RTE-07,BUS-022,2025-06-09 00:00:00,2025-06-09 09:42:00
TRIP-000024,RTE-08,BUS-065,2025-06-09 12:00:00,2025-06-09 18:05:00
TRIP-000025,RTE-19,BUS-043,2025-10-08 18:00:00,2025-10-08 21:11:00
TRIP-000026,RTE-20,BUS-001,2025-10-09 00:00:00,2025-10-09 06:10:00
TRIP-000027,RTE-21,BUS-015,2025-10-09 06:00:00,2025-10-09 14:11:00
TRIP-000028,RTE-18,BUS-009,2025-07-08 12:00:00,2025-07-08 21:00:00
TRIP-000029,RTE-19,BUS-035,2025-07-09 00:00:00,2025-07-09 03:11:00
TRIP-000030,RTE-26,BUS-073,2025-10-08 06:00:00,2025-10-08 10:00:00
TRIP-000031,RTE-05,BUS-079,2025-10-08 12:00:00,2025-10-09 00:23:00
TRIP-000032,RTE-03,BUS-005,2025-12-22 18:00:00,2025-12-22 21:02:00
TRIP-000033,RTE-07,BUS-022,2025-06-22 12:00:00,2025-06-22 21:42:00
TRIP-000034,RTE-08,BUS-008,2025-06-23 00:00:00,2025-06-23 06:05:00
TRIP-000035,RTE-16,BUS-043,2025-07-22 18:00:00,2025-07-23 01:34:00
TRIP-000036,RTE-17,BUS-006,2025-07-23 06:00:00,2025-07-23 08:39:00
TRIP-000037,RTE-10,BUS-010,2025-02-22 12:00:00,2025-02-22 20:41:00
TRIP-000038,RTE-20,BUS-010,2025-06-08 18:00:00,2025-06-09 00:10:00
TRIP-000039,RTE-21,BUS-065,2025-06-09 00:00:00,2025-06-09 08:11:00
TRIP-000040,RTE-20,BUS-037,2025-07-08 12:00:00,2025-07-08 18:10:00
TRIP-000041,RTE-21,BUS-038,2025-07-08 18:00:00,2025-07-09 02:11:00
TRIP-000042,RTE-06,BUS-005,2025-12-22 06:00:00,2025-12-22 09:36:00
TRIP-000043,RTE-07,BUS-048,2025-12-22 12:00:00,2025-12-22 21:42:00
TRIP-000044,RTE-08,BUS-017,2025-12-23 00:00:00,2025-12-23 06:05:00
TRIP-000045,RTE-06,BUS-047,2025-03-22 06:00:00,2025-03-22 09:36:00
TRIP-000046,RTE-07,BUS-073,2025-03-22 12:00:00,2025-03-22 21:42:00
TRIP-000047,RTE-16,BUS-031,2025-07-08 12:00:00,2025-07-08 19:34:00
TRIP-000048,RTE-17,BUS-022,2025-07-09 00:00:00,2025-07-09 02:39:00
TRIP-000049,RTE-19,BUS-079,2025-07-22 06:00:00,2025-07-22 09:11:00
TRIP-000050,RTE-30,BUS-040,2025-07-22 12:00:00,2025-07-23 00:25:00
TRIP-000051,RTE-22,BUS-025,2025-06-22 06:00:00,2025-06-22 12:10:00
TRIP-000052,RTE-04,BUS-061,2025-02-22 18:00:00,2025-02-23 00:03:00
TRIP-000053,RTE-05,BUS-006,2025-02-23 00:00:00,2025-02-23 12:23:00
TRIP-000054,RTE-21,BUS-009,2025-09-08 18:00:00,2025-09-09 02:11:00
TRIP-000055,RTE-22,BUS-060,2025-09-09 06:00:00,2025-09-09 12:10:00
TRIP-000056,RTE-23,BUS-005,2025-09-09 12:00:00,2025-09-09 19:32:00
TRIP-000057,RTE-14,BUS-035,2025-07-08 12:00:00,2025-07-09 00:02:00
TRIP-000058,RTE-29,BUS-079,2025-07-09 00:00:00,2025-07-09 10:43:00
TRIP-000059,RTE-20,BUS-014,2025-07-09 12:00:00,2025-07-09 18:10:00
TRIP-000060,RTE-13,BUS-036,2025-04-22 18:00:00,2025-04-23 00:37:00
TRIP-000061,RTE-14,BUS-014,2025-04-23 06:00:00,2025-04-23 18:02:00
TRIP-000062,RTE-21,BUS-047,2025-09-08 12:00:00,2025-09-08 20:11:00
TRIP-000063,RTE-22,BUS-005,2025-09-09 00:00:00,2025-09-09 06:10:00
TRIP-000064,RTE-23,BUS-063,2025-09-09 06:00:00,2025-09-09 13:32:00
TRIP-000065,RTE-02,BUS-019,2025-07-08 12:00:00,2025-07-08 14:46:00
TRIP-000066,RTE-21,BUS-074,2025-06-08 06:00:00,2025-06-08 14:11:00
TRIP-000067,RTE-22,BUS-008,2025-06-08 18:00:00,2025-06-09 00:10:00
TRIP-000068,RTE-15,BUS-021,2025-12-08 12:00:00,2025-12-08 17:11:00
TRIP-000069,RTE-06,BUS-080,2025-11-22 06:00:00,2025-11-22 09:36:00
TRIP-000070,RTE-07,BUS-011,2025-11-22 12:00:00,2025-11-22 21:42:00
TRIP-000071,RTE-08,BUS-022,2025-11-23 00:00:00,2025-11-23 06:05:00
TRIP-000072,RTE-09,BUS-008,2025-02-08 06:00:00,2025-02-08 13:49:00
TRIP-000073,RTE-28,BUS-048,2025-02-08 18:00:00,2025-02-09 02:59:00
TRIP-000074,RTE-29,BUS-037,2025-02-09 06:00:00,2025-02-09 16:43:00
TRIP-000075,RTE-11,BUS-054,2025-10-08 18:00:00,2025-10-09 02:14:00
TRIP-000076,RTE-12,BUS-071,2025-10-09 06:00:00,2025-10-09 10:27:00
TRIP-000077,RTE-04,BUS-065,2025-02-22 12:00:00,2025-02-22 18:03:00
TRIP-000078,RTE-23,BUS-056,2025-01-08 18:00:00,2025-01-09 01:32:00
TRIP-000079,RTE-24,BUS-021,2025-01-09 06:00:00,2025-01-09 17:14:00
TRIP-000080,RTE-12,BUS-054,2025-04-22 12:00:00,2025-04-22 16:27:00
TRIP-000081,RTE-20,BUS-008,2025-11-22 12:00:00,2025-11-22 18:10:00
TRIP-000082,RTE-21,BUS-001,2025-11-22 18:00:00,2025-11-23 02:11:00
TRIP-000083,RTE-26,BUS-063,2025-06-08 12:00:00,2025-06-08 16:00:00
TRIP-000084,RTE-05,BUS-025,2025-06-08 18:00:00,2025-06-09 06:23:00
TRIP-000085,RTE-07,BUS-076,2025-12-22 18:00:00,2025-12-23 03:42:00
TRIP-000086,RTE-08,BUS-002,2025-12-23 06:00:00,2025-12-23 12:05:00
TRIP-000087,RTE-28,BUS-006,2025-05-22 18:00:00,2025-05-23 02:59:00
TRIP-000088,RTE-29,BUS-032,2025-05-23 06:00:00,2025-05-23 16:43:00
TRIP-000089,RTE-20,BUS-018,2025-05-23 18:00:00,2025-05-24 00:10:00
TRIP-000090,RTE-19,BUS-072,2025-07-08 06:00:00,2025-07-08 09:11:00
TRIP-000091,RTE-12,BUS-066,2025-12-22 18:00:00,2025-12-22 22:27:00
TRIP-000092,RTE-13,BUS-073,2025-12-23 00:00:00,2025-12-23 06:37:00
TRIP-000093,RTE-03,BUS-079,2025-11-22 12:00:00,2025-11-22 15:02:00
TRIP-000094,RTE-29,BUS-045,2025-06-22 06:00:00,2025-06-22 16:43:00
TRIP-000095,RTE-30,BUS-047,2025-06-22 18:00:00,2025-06-23 06:25:00
TRIP-000096,RTE-13,BUS-026,2025-11-08 06:00:00,2025-11-08 12:37:00
TRIP-000097,RTE-14,BUS-072,2025-11-08 18:00:00,2025-11-09 06:02:00
TRIP-000098,RTE-23,BUS-072,2025-12-08 12:00:00,2025-12-08 19:32:00
TRIP-000099,RTE-24,BUS-011,2025-12-09 00:00:00,2025-12-09 11:14:00
TRIP-000100,RTE-22,BUS-004,2025-01-08 12:00:00,2025-01-08 18:10:00
TRIP-000101,RTE-04,BUS-037,2025-07-08 12:00:00,2025-07-08 18:03:00
TRIP-000102,RTE-05,BUS-043,2025-07-08 18:00:00,2025-07-09 06:23:00
TRIP-000103,RTE-06,BUS-075,2025-07-09 06:00:00,2025-07-09 09:36:00
TRIP-000104,RTE-11,BUS-056,2025-10-08 06:00:00,2025-10-08 14:14:00
TRIP-000105,RTE-12,BUS-039,2025-10-08 18:00:00,2025-10-08 22:27:00
TRIP-000106,RTE-05,BUS-036,2025-08-08 18:00:00,2025-08-09 06:23:00
TRIP-000107,RTE-03,BUS-074,2025-07-08 18:00:00,2025-07-08 21:02:00
TRIP-000108,RTE-04,BUS-075,2025-07-09 00:00:00,2025-07-09 06:03:00
TRIP-000109,RTE-22,BUS-039,2025-03-08 06:00:00,2025-03-08 12:10:00
TRIP-000110,RTE-23,BUS-054,2025-03-08 12:00:00,2025-03-08 19:32:00
TRIP-000111,RTE-15,BUS-059,2025-11-08 06:00:00,2025-11-08 11:11:00
TRIP-000112,RTE-16,BUS-007,2025-11-08 12:00:00,2025-11-08 19:34:00
TRIP-000113,RTE-21,BUS-020,2025-07-22 12:00:00,2025-07-22 20:11:00
TRIP-000114,RTE-25,BUS-080,2025-07-22 18:00:00,2025-07-23 03:38:00
TRIP-000115,RTE-26,BUS-002,2025-07-23 06:00:00,2025-07-23 10:00:00
TRIP-000116,RTE-01,BUS-078,2025-03-08 12:00:00,2025-03-08 19:44:00
TRIP-000117,RTE-29,BUS-008,2025-07-08 12:00:00,2025-07-08 22:43:00
TRIP-000118,RTE-30,BUS-037,2025-07-09 00:00:00,2025-07-09 12:25:00
TRIP-000119,RTE-20,BUS-041,2025-07-22 06:00:00,2025-07-22 12:10:00
TRIP-000120,RTE-09,BUS-043,2025-11-08 06:00:00,2025-11-08 13:49:00
TRIP-000121,RTE-10,BUS-063,2025-11-08 18:00:00,2025-11-09 02:41:00
TRIP-000122,RTE-24,BUS-030,2025-10-22 06:00:00,2025-10-22 17:14:00
TRIP-000123,RTE-08,BUS-054,2025-06-08 12:00:00,2025-06-08 18:05:00
TRIP-000124,RTE-09,BUS-022,2025-06-08 18:00:00,2025-06-09 01:49:00
TRIP-000125,RTE-28,BUS-065,2025-06-09 06:00:00,2025-06-09 14:59:00
TRIP-000126,RTE-16,BUS-025,2025-06-08 12:00:00,2025-06-08 19:34:00
TRIP-000127,RTE-21,BUS-041,2025-07-08 06:00:00,2025-07-08 14:11:00
TRIP-000128,RTE-22,BUS-071,2025-07-08 18:00:00,2025-07-09 00:10:00
TRIP-000129,RTE-18,BUS-041,2025-09-22 12:00:00,2025-09-22 21:00:00
TRIP-000130,RTE-19,BUS-016,2025-09-23 00:00:00,2025-09-23 03:11:00
TRIP-000131,RTE-30,BUS-009,2025-09-23 06:00:00,2025-09-23 18:25:00
TRIP-000132,RTE-23,BUS-015,2025-04-08 06:00:00,2025-04-08 13:32:00
TRIP-000133,RTE-24,BUS-002,2025-04-08 18:00:00,2025-04-09 05:14:00
TRIP-000134,RTE-21,BUS-034,2025-08-08 12:00:00,2025-08-08 20:11:00
TRIP-000135,RTE-22,BUS-045,2025-08-09 00:00:00,2025-08-09 06:10:00
TRIP-000136,RTE-23,BUS-014,2025-08-09 06:00:00,2025-08-09 13:32:00
TRIP-000137,RTE-03,BUS-036,2025-12-22 06:00:00,2025-12-22 09:02:00
TRIP-000138,RTE-04,BUS-062,2025-12-22 12:00:00,2025-12-22 18:03:00
TRIP-000139,RTE-05,BUS-022,2025-12-22 18:00:00,2025-12-23 06:23:00
TRIP-000140,RTE-22,BUS-013,2025-12-22 06:00:00,2025-12-22 12:10:00
TRIP-000141,RTE-06,BUS-020,2025-06-08 06:00:00,2025-06-08 09:36:00
TRIP-000142,RTE-07,BUS-039,2025-06-08 12:00:00,2025-06-08 21:42:00
TRIP-000143,RTE-28,BUS-035,2025-09-08 06:00:00,2025-09-08 14:59:00
TRIP-000144,RTE-29,BUS-030,2025-09-08 18:00:00,2025-09-09 04:43:00
TRIP-000145,RTE-25,BUS-048,2025-01-08 06:00:00,2025-01-08 15:38:00
TRIP-000146,RTE-26,BUS-039,2025-01-08 18:00:00,2025-01-08 22:00:00
TRIP-000147,RTE-27,BUS-006,2025-01-09 00:00:00,2025-01-09 11:39:00
TRIP-000148,RTE-05,BUS-043,2025-10-08 06:00:00,2025-10-08 18:23:00
TRIP-000149,RTE-06,BUS-015,2025-10-08 18:00:00,2025-10-08 21:36:00
TRIP-000150,RTE-14,BUS-036,2025-07-22 06:00:00,2025-07-22 18:02:00
TRIP-000151,RTE-12,BUS-045,2025-07-08 18:00:00,2025-07-08 22:27:00
TRIP-000152,RTE-13,BUS-069,2025-07-09 00:00:00,2025-07-09 06:37:00
TRIP-000153,RTE-09,BUS-056,2025-06-08 06:00:00,2025-06-08 13:49:00
TRIP-000154,RTE-13,BUS-004,2025-10-22 06:00:00,2025-10-22 12:37:00
TRIP-000155,RTE-14,BUS-073,2025-10-22 18:00:00,2025-10-23 06:02:00
TRIP-000156,RTE-29,BUS-010,2025-10-23 06:00:00,2025-10-23 16:43:00
TRIP-000157,RTE-11,BUS-049,2025-11-22 12:00:00,2025-11-22 20:14:00
TRIP-000158,RTE-12,BUS-017,2025-11-23 00:00:00,2025-11-23 04:27:00
TRIP-000159,RTE-13,BUS-048,2025-11-23 06:00:00,2025-11-23 12:37:00
TRIP-000160,RTE-28,BUS-032,2025-07-22 12:00:00,2025-07-22 20:59:00
TRIP-000161,RTE-02,BUS-024,2025-06-08 12:00:00,2025-06-08 14:46:00
TRIP-000162,RTE-03,BUS-064,2025-06-08 18:00:00,2025-06-08 21:02:00
TRIP-000163,RTE-09,BUS-071,2025-06-22 12:00:00,2025-06-22 19:49:00
TRIP-000164,RTE-23,BUS-023,2025-10-08 06:00:00,2025-10-08 13:32:00
TRIP-000165,RTE-24,BUS-050,2025-10-08 18:00:00,2025-10-09 05:14:00
TRIP-000166,RTE-22,BUS-016,2025-06-22 12:00:00,2025-06-22 18:10:00
TRIP-000167,RTE-23,BUS-045,2025-06-22 18:00:00,2025-06-23 01:32:00
TRIP-000168,RTE-17,BUS-037,2025-06-22 12:00:00,2025-06-22 14:39:00
TRIP-000169,RTE-18,BUS-034,2025-06-22 18:00:00,2025-06-23 03:00:00
TRIP-000170,RTE-19,BUS-035,2025-06-23 06:00:00,2025-06-23 09:11:00
TRIP-000171,RTE-23,BUS-019,2025-07-09 00:00:00,2025-07-09 07:32:00
TRIP-000172,RTE-24,BUS-057,2025-07-09 12:00:00,2025-07-09 23:14:00
TRIP-000173,RTE-24,BUS-037,2025-05-22 18:00:00,2025-05-23 05:14:00
TRIP-000174,RTE-27,BUS-045,2025-12-22 18:00:00,2025-12-23 05:39:00
TRIP-000175,RTE-23,BUS-076,2025-12-22 18:00:00,2025-12-23 01:32:00
TRIP-000176,RTE-24,BUS-042,2025-12-23 06:00:00,2025-12-23 17:14:00
TRIP-000177,RTE-28,BUS-047,2025-08-08 12:00:00,2025-08-08 20:59:00
TRIP-000178,RTE-06,BUS-041,2025-08-08 12:00:00,2025-08-08 15:36:00
TRIP-000179,RTE-07,BUS-054,2025-08-08 18:00:00,2025-08-09 03:42:00
TRIP-000180,RTE-17,BUS-021,2025-08-22 18:00:00,2025-08-22 20:39:00
TRIP-000181,RTE-26,BUS-029,2025-06-22 18:00:00,2025-06-22 22:00:00
TRIP-000182,RTE-05,BUS-018,2025-06-23 00:00:00,2025-06-23 12:23:00
TRIP-000183,RTE-11,BUS-053,2025-11-08 18:00:00,2025-11-09 02:14:00
TRIP-000184,RTE-12,BUS-015,2025-11-09 06:00:00,2025-11-09 10:27:00
TRIP-000185,RTE-27,BUS-061,2025-07-08 12:00:00,2025-07-08 23:39:00
TRIP-000186,RTE-14,BUS-072,2025-10-08 18:00:00,2025-10-09 06:02:00
TRIP-000187,RTE-29,BUS-049,2025-10-09 06:00:00,2025-10-09 16:43:00
TRIP-000188,RTE-20,BUS-025,2025-10-09 18:00:00,2025-10-10 00:10:00
TRIP-000189,RTE-04,BUS-017,2025-07-08 06:00:00,2025-07-08 12:03:00
TRIP-000190,RTE-05,BUS-070,2025-07-08 12:00:00,2025-07-09 00:23:00
TRIP-000191,RTE-18,BUS-071,2025-06-22 12:00:00,2025-06-22 21:00:00
TRIP-000192,RTE-09,BUS-064,2025-11-22 18:00:00,2025-11-23 01:49:00
TRIP-000193,RTE-10,BUS-010,2025-11-23 06:00:00,2025-11-23 14:41:00
TRIP-000194,RTE-11,BUS-060,2025-11-23 18:00:00,2025-11-24 02:14:00
TRIP-000195,RTE-06,BUS-001,2025-02-22 06:00:00,2025-02-22 09:36:00
TRIP-000196,RTE-07,BUS-067,2025-02-22 12:00:00,2025-02-22 21:42:00
TRIP-000197,RTE-08,BUS-030,2025-02-23 00:00:00,2025-02-23 06:05:00
TRIP-000198,RTE-17,BUS-063,2025-11-22 06:00:00,2025-11-22 08:39:00
TRIP-000199,RTE-18,BUS-015,2025-11-22 12:00:00,2025-11-22 21:00:00
TRIP-000200,RTE-19,BUS-035,2025-11-23 00:00:00,2025-11-23 03:11:00
TRIP-000201,RTE-15,BUS-038,2025-07-08 06:00:00,2025-07-08 11:11:00
TRIP-000202,RTE-11,BUS-044,2025-06-22 18:00:00,2025-06-23 02:14:00
TRIP-000203,RTE-12,BUS-019,2025-06-23 06:00:00,2025-06-23 10:27:00
TRIP-000204,RTE-13,BUS-050,2025-06-23 12:00:00,2025-06-23 18:37:00
TRIP-000205,RTE-24,BUS-049,2025-07-08 12:00:00,2025-07-08 23:14:00
TRIP-000206,RTE-25,BUS-080,2025-07-09 00:00:00,2025-07-09 09:38:00
TRIP-000207,RTE-01,BUS-017,2025-07-09 12:00:00,2025-07-09 19:44:00
TRIP-000208,RTE-16,BUS-054,2025-12-08 18:00:00,2025-12-09 01:34:00
TRIP-000209,RTE-17,BUS-002,2025-12-09 06:00:00,2025-12-09 08:39:00
TRIP-000210,RTE-12,BUS-023,2025-07-22 18:00:00,2025-07-22 22:27:00
TRIP-000211,RTE-06,BUS-068,2025-12-22 18:00:00,2025-12-22 21:36:00
TRIP-000212,RTE-07,BUS-054,2025-12-23 00:00:00,2025-12-23 09:42:00
TRIP-000213,RTE-26,BUS-043,2025-12-08 12:00:00,2025-12-08 16:00:00
TRIP-000214,RTE-16,BUS-004,2025-01-08 12:00:00,2025-01-08 19:34:00
TRIP-000215,RTE-17,BUS-001,2025-01-09 00:00:00,2025-01-09 02:39:00
TRIP-000216,RTE-25,BUS-065,2025-06-08 12:00:00,2025-06-08 21:38:00
TRIP-000217,RTE-14,BUS-014,2025-10-22 12:00:00,2025-10-23 00:02:00
TRIP-000218,RTE-29,BUS-032,2025-10-23 00:00:00,2025-10-23 10:43:00
TRIP-000219,RTE-13,BUS-007,2025-09-08 18:00:00,2025-09-09 00:37:00
TRIP-000220,RTE-14,BUS-008,2025-09-09 06:00:00,2025-09-09 18:02:00
TRIP-000221,RTE-22,BUS-078,2025-01-08 06:00:00,2025-01-08 12:10:00
TRIP-000222,RTE-23,BUS-052,2025-01-08 12:00:00,2025-01-08 19:32:00
TRIP-000223,RTE-24,BUS-010,2025-01-09 00:00:00,2025-01-09 11:14:00
TRIP-000224,RTE-02,BUS-004,2025-06-08 06:00:00,2025-06-08 08:46:00
TRIP-000225,RTE-03,BUS-069,2025-06-08 12:00:00,2025-06-08 15:02:00
TRIP-000226,RTE-30,BUS-058,2025-08-08 12:00:00,2025-08-09 00:25:00
TRIP-000227,RTE-25,BUS-049,2025-08-09 00:00:00,2025-08-09 09:38:00
TRIP-000228,RTE-26,BUS-009,2025-08-09 12:00:00,2025-08-09 16:00:00
TRIP-000229,RTE-14,BUS-048,2025-06-08 18:00:00,2025-06-09 06:02:00
TRIP-000230,RTE-15,BUS-024,2025-06-09 06:00:00,2025-06-09 11:11:00
TRIP-000231,RTE-11,BUS-011,2025-09-08 12:00:00,2025-09-08 20:14:00
TRIP-000232,RTE-12,BUS-060,2025-09-09 00:00:00,2025-09-09 04:27:00
TRIP-000233,RTE-18,BUS-031,2025-02-08 06:00:00,2025-02-08 15:00:00
TRIP-000234,RTE-19,BUS-067,2025-02-08 18:00:00,2025-02-08 21:11:00
TRIP-000235,RTE-30,BUS-018,2025-02-09 00:00:00,2025-02-09 12:25:00
TRIP-000236,RTE-14,BUS-022,2025-05-08 18:00:00,2025-05-09 06:02:00
TRIP-000237,RTE-15,BUS-067,2025-05-09 06:00:00,2025-05-09 11:11:00
TRIP-000238,RTE-08,BUS-024,2025-10-22 06:00:00,2025-10-22 12:05:00
TRIP-000239,RTE-08,BUS-029,2025-07-08 12:00:00,2025-07-08 18:05:00
TRIP-000240,RTE-09,BUS-016,2025-07-08 18:00:00,2025-07-09 01:49:00
TRIP-000241,RTE-25,BUS-033,2025-08-22 06:00:00,2025-08-22 15:38:00
TRIP-000242,RTE-09,BUS-031,2025-10-22 18:00:00,2025-10-23 01:49:00
TRIP-000243,RTE-28,BUS-038,2025-10-23 06:00:00,2025-10-23 14:59:00
TRIP-000244,RTE-15,BUS-024,2025-09-22 18:00:00,2025-09-22 23:11:00
TRIP-000245,RTE-16,BUS-011,2025-09-23 00:00:00,2025-09-23 07:34:00
TRIP-000246,RTE-17,BUS-026,2025-09-23 12:00:00,2025-09-23 14:39:00
TRIP-000247,RTE-13,BUS-048,2025-08-08 18:00:00,2025-08-09 00:37:00
TRIP-000248,RTE-14,BUS-067,2025-01-22 12:00:00,2025-01-23 00:02:00
TRIP-000249,RTE-15,BUS-057,2025-01-23 00:00:00,2025-01-23 05:11:00
TRIP-000250,RTE-16,BUS-025,2025-01-23 06:00:00,2025-01-23 13:34:00
TRIP-000251,RTE-16,BUS-009,2025-10-08 12:00:00,2025-10-08 19:34:00
TRIP-000252,RTE-17,BUS-071,2025-10-09 00:00:00,2025-10-09 02:39:00
TRIP-000253,RTE-18,BUS-037,2025-10-09 06:00:00,2025-10-09 15:00:00
TRIP-000254,RTE-20,BUS-054,2025-06-22 12:00:00,2025-06-22 18:10:00
TRIP-000255,RTE-21,BUS-013,2025-06-22 18:00:00,2025-06-23 02:11:00
TRIP-000256,RTE-24,BUS-032,2025-06-22 12:00:00,2025-06-22 23:14:00
TRIP-000257,RTE-25,BUS-009,2025-06-23 00:00:00,2025-06-23 09:38:00
TRIP-000258,RTE-12,BUS-032,2025-07-08 12:00:00,2025-07-08 16:27:00
TRIP-000259,RTE-13,BUS-074,2025-07-08 18:00:00,2025-07-09 00:37:00
TRIP-000260,RTE-21,BUS-035,2025-12-08 12:00:00,2025-12-08 20:11:00
TRIP-000261,RTE-11,BUS-041,2025-12-08 12:00:00,2025-12-08 20:14:00
TRIP-000262,RTE-12,BUS-041,2025-12-09 00:00:00,2025-12-09 04:27:00
TRIP-000263,RTE-13,BUS-059,2025-12-09 06:00:00,2025-12-09 12:37:00
TRIP-000264,RTE-23,BUS-020,2025-01-08 06:00:00,2025-01-08 13:32:00
TRIP-000265,RTE-24,BUS-020,2025-01-08 18:00:00,2025-01-09 05:14:00
TRIP-000266,RTE-02,BUS-058,2025-09-22 12:00:00,2025-09-22 14:46:00
TRIP-000267,RTE-14,BUS-008,2025-03-08 06:00:00,2025-03-08 18:02:00
TRIP-000268,RTE-21,BUS-078,2025-11-22 12:00:00,2025-11-22 20:11:00
TRIP-000269,RTE-26,BUS-073,2025-05-22 06:00:00,2025-05-22 10:00:00
TRIP-000270,RTE-27,BUS-029,2025-05-22 12:00:00,2025-05-22 23:39:00
TRIP-000271,RTE-11,BUS-036,2025-06-22 12:00:00,2025-06-22 20:14:00
TRIP-000272,RTE-12,BUS-054,2025-06-23 00:00:00,2025-06-23 04:27:00
TRIP-000273,RTE-13,BUS-034,2025-06-23 06:00:00,2025-06-23 12:37:00
TRIP-000274,RTE-12,BUS-011,2025-10-08 12:00:00,2025-10-08 16:27:00
TRIP-000275,RTE-13,BUS-059,2025-10-08 18:00:00,2025-10-09 00:37:00
TRIP-000276,RTE-03,BUS-010,2025-07-22 06:00:00,2025-07-22 09:02:00
TRIP-000277,RTE-13,BUS-025,2025-07-23 00:00:00,2025-07-23 06:37:00
TRIP-000278,RTE-08,BUS-001,2025-07-08 06:00:00,2025-07-08 12:05:00
TRIP-000279,RTE-09,BUS-049,2025-07-08 12:00:00,2025-07-08 19:49:00
TRIP-000280,RTE-02,BUS-019,2025-01-08 18:00:00,2025-01-08 20:46:00
TRIP-000281,RTE-03,BUS-020,2025-01-09 00:00:00,2025-01-09 03:02:00
TRIP-000282,RTE-28,BUS-053,2025-07-08 06:00:00,2025-07-08 14:59:00
TRIP-000283,RTE-15,BUS-079,2025-07-08 18:00:00,2025-07-08 23:11:00
TRIP-000284,RTE-28,BUS-048,2025-08-08 18:00:00,2025-08-09 02:59:00
TRIP-000285,RTE-26,BUS-069,2025-06-22 06:00:00,2025-06-22 10:00:00
TRIP-000286,RTE-05,BUS-024,2025-06-22 12:00:00,2025-06-23 00:23:00
TRIP-000287,RTE-19,BUS-071,2025-01-08 18:00:00,2025-01-08 21:11:00
TRIP-000288,RTE-20,BUS-004,2025-01-09 00:00:00,2025-01-09 06:10:00
TRIP-000289,RTE-21,BUS-041,2025-01-09 06:00:00,2025-01-09 14:11:00
TRIP-000290,RTE-11,BUS-069,2025-12-22 12:00:00,2025-12-22 20:14:00
TRIP-000291,RTE-12,BUS-021,2025-12-23 00:00:00,2025-12-23 04:27:00
TRIP-000292,RTE-13,BUS-075,2025-12-23 06:00:00,2025-12-23 12:37:00
TRIP-000293,RTE-05,BUS-002,2025-08-22 18:00:00,2025-08-23 06:23:00
TRIP-000294,RTE-24,BUS-017,2025-03-09 00:00:00,2025-03-09 11:14:00
TRIP-000295,RTE-25,BUS-072,2025-03-09 12:00:00,2025-03-09 21:38:00
TRIP-000296,RTE-11,BUS-040,2025-04-08 18:00:00,2025-04-09 02:14:00
TRIP-000297,RTE-12,BUS-063,2025-04-09 06:00:00,2025-04-09 10:27:00
TRIP-000298,RTE-17,BUS-022,2025-01-08 06:00:00,2025-01-08 08:39:00
TRIP-000299,RTE-18,BUS-052,2025-01-08 12:00:00,2025-01-08 21:00:00
TRIP-000300,RTE-15,BUS-013,2025-11-08 12:00:00,2025-11-08 17:11:00
TRIP-000301,RTE-12,BUS-048,2025-12-08 18:00:00,2025-12-08 22:27:00
TRIP-000302,RTE-13,BUS-018,2025-12-09 00:00:00,2025-12-09 06:37:00
