ticket_number,passenger_id,trip_id,travel_status,check_in_ts,boarding_ts,scheduled_connection_minutes,actual_connection_minutes,missed_connection_count
TICK-000033,P03194,TRIP-000033,COMPLETED,2025-06-22 10:34:00,2025-06-22 11:33:00,,,0
TICK-000034,P03194,TRIP-000034,COMPLETED,2025-06-22 23:02:00,2025-06-22 23:49:00,138,139,0
TICK-000035,P00012,TRIP-000035,COMPLETED,2025-07-22 16:57:00,2025-07-22 17:42:00,,,0
TICK-000036,P00012,TRIP-000036,COMPLETED,2025-07-23 04:48:00,2025-07-23 05:30:00,266,272,0
TICK-000037,P02987,TRIP-000037,COMPLETED,2025-02-22 10:59:00,2025-02-22 11:47:00,,,0
TICK-000038,P00261,TRIP-000038,COMPLETED,2025-06-08 16:32:00,2025-06-08 17:50:00,,,0
TICK-000039,P00261,TRIP-000039,MISSED_CONNECTION,,,-10,-10,1
TICK-000040,P03318,TRIP-000040,COMPLETED,2025-07-08 10:49:00,2025-07-08 11:47:00,,,0
TICK-000041,P03318,TRIP-000041,MISSED_CONNECTION,,,-10,2,1
TICK-000042,P01144,TRIP-000042,COMPLETED,2025-12-22 05:21:00,2025-12-22 05:31:00,,,0
TICK-000043,P01144,TRIP-000043,COMPLETED,2025-12-22 11:25:00,2025-12-22 11:40:00,144,146,0
TICK-000044,P01144,TRIP-000044,COMPLETED,2025-12-22 23:23:00,2025-12-22 23:38:00,138,110,0
TICK-000045,P01478,TRIP-000045,COMPLETED,2025-03-22 04:39:00,2025-03-22 05:45:00,,,0
TICK-000046,P01478,TRIP-000046,COMPLETED,2025-03-22 10:40:00,2025-03-22 11:42:00,144,143,0
TICK-000047,P02038,TRIP-000047,COMPLETED,2025-07-08 11:24:00,2025-07-08 11:44:00,,,0
TICK-000048,P02038,TRIP-000048,COMPLETED,2025-07-08 22:48:00,2025-07-08 23:41:00,266,219,0
TICK-000049,P00350,TRIP-000049,COMPLETED,2025-07-22 05:17:00,2025-07-22 05:41:00,,,0
TICK-000050,P00350,TRIP-000050,COMPLETED,2025-07-22 11:17:00,2025-07-22 11:30:00,169,139,0
TICK-000051,P00229,TRIP-000051,COMPLETED,2025-06-22 04:31:00,2025-06-22 05:48:00,,,0
TICK-000052,P00559,TRIP-000052,COMPLETED,2025-02-22 17:13:00,2025-02-22 17:40:00,,,0
TICK-000053,P00559,TRIP-000053,COMPLETED,2025-02-22 22:58:00,2025-02-22 23:35:00,-3,33,0
TICK-000054,P00121,TRIP-000032,COMPLETED,2025-12-22 17:04:00,2025-12-22 17:33:00,,,0
TICK-000055,P01407,TRIP-000054,COMPLETED,2025-09-08 17:22:00,2025-09-08 17:50:00,,,0
TICK-000056,P01407,TRIP-000055,COMPLETED,2025-09-09 05:09:00,2025-09-09 05:41:00,229,174,0
TICK-000057,P01407,TRIP-000056,MISSED_CONNECTION,,,-10,2,1
TICK-000058,P02454,TRIP-000057,COMPLETED,2025-07-08 11:17:00,2025-07-08 11:37:00,,,0
TICK-000059,P02454,TRIP-000058,MISSED_CONNECTION,,,-2,-85,1
TICK-000060,P02454,TRIP-000059,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000061,P03676,TRIP-000060,COMPLETED,2025-04-22 16:51:00,2025-04-22 17:44:00,,,0
TICK-000062,P03676,TRIP-000061,COMPLETED,2025-04-23 05:01:00,2025-04-23 05:49:00,323,298,0
TICK-000063,P03608,TRIP-000062,COMPLETED,2025-09-08 11:12:00,2025-09-08 11:30:00,,,0
TICK-000064,P03608,TRIP-000063,COMPLETED,2025-09-08 23:13:00,2025-09-08 23:33:00,229,233,0
TICK-000065,P03608,TRIP-000064,COMPLETED,2025-09-09 04:33:00,2025-09-09 05:32:00,-10,22,0
TICK-000066,P02077,TRIP-000065,COMPLETED,2025-07-08 10:46:00,2025-07-08 11:33:00,,,0
TICK-000067,P02682,TRIP-000066,COMPLETED,2025-06-08 05:18:00,2025-06-08 05:39:00,,,0
TICK-000068,P02682,TRIP-000067,COMPLETED,2025-06-08 16:57:00,2025-06-08 17:47:00,229,237,0
TICK-000069,P02965,TRIP-000068,COMPLETED,2025-12-08 10:44:00,2025-12-08 11:40:00,,,0
TICK-000070,P03778,TRIP-000069,COMPLETED,2025-11-22 04:41:00,2025-11-22 05:33:00,,,0
TICK-000071,P03778,TRIP-000070,COMPLETED,2025-11-22 10:40:00,2025-11-22 11:44:00,144,144,0
TICK-000072,P03778,TRIP-000071,COMPLETED,2025-11-22 23:16:00,2025-11-22 23:30:00,138,148,0
TICK-000073,P03097,TRIP-000072,COMPLETED,2025-02-08 05:21:00,2025-02-08 05:42:00,,,0
TICK-000074,P03097,TRIP-000073,COMPLETED,2025-02-08 17:09:00,2025-02-08 17:43:00,251,225,0
TICK-000075,P03097,TRIP-000074,COMPLETED,2025-02-09 05:06:00,2025-02-09 05:39:00,181,198,0
TICK-000076,P01640,TRIP-000075,COMPLETED,2025-10-08 16:51:00,2025-10-08 17:43:00,,,0
TICK-000077,P01640,TRIP-000076,COMPLETED,2025-10-09 05:10:00,2025-10-09 05:38:00,226,203,0
TICK-000078,P02088,TRIP-000077,COMPLETED,2025-02-22 11:20:00,2025-02-22 11:41:00,,,0
TICK-000079,P03224,TRIP-000078,COMPLETED,2025-01-08 17:09:00,2025-01-08 17:32:00,,,0
TICK-000080,P03224,TRIP-000079,COMPLETED,2025-01-09 05:08:00,2025-01-09 05:47:00,268,283,0
TICK-000081,P03004,TRIP-000080,COMPLETED,2025-04-22 11:07:00,2025-04-22 11:48:00,,,0
TICK-000082,P03004,TRIP-000060,COMPLETED,2025-04-22 16:32:00,2025-04-22 17:38:00,93,99,0
TICK-000083,P03269,TRIP-000081,COMPLETED,2025-11-22 10:54:00,2025-11-22 11:44:00,,,0
TICK-000084,P03269,TRIP-000082,MISSED_CONNECTION,,,-10,-18,1
TICK-000085,P02900,TRIP-000083,COMPLETED,2025-06-08 10:46:00,2025-06-08 11:47:00,,,0
TICK-000086,P02900,TRIP-000084,COMPLETED,2025-06-08 17:00:00,2025-06-08 17:45:00,120,135,0
TICK-000087,P00093,TRIP-000085,COMPLETED,2025-12-22 17:11:00,2025-12-22 17:46:00,,,0
TICK-000088,P00093,TRIP-000086,COMPLETED,2025-12-23 04:46:00,2025-12-23 05:32:00,138,142,0
TICK-000089,P00539,TRIP-000087,COMPLETED,2025-05-22 17:08:00,2025-05-22 17:35:00,,,0
TICK-000090,P00539,TRIP-000088,COMPLETED,2025-05-23 04:47:00,2025-05-23 05:30:00,181,152,0
TICK-000091,P00539,TRIP-000089,COMPLETED,2025-05-23 17:16:00,2025-05-23 17:50:00,77,71,0
TICK-000092,P00760,TRIP-000090,COMPLETED,2025-07-08 05:09:00,2025-07-08 05:47:00,,,0
TICK-000093,P03901,TRIP-000091,COMPLETED,2025-12-22 17:25:00,2025-12-22 17:37:00,,,0
TICK-000094,P03901,TRIP-000092,COMPLETED,2025-12-22 23:16:00,2025-12-22 23:33:00,93,91,0
TICK-000095,P03763,TRIP-000093,COMPLETED,2025-11-22 10:33:00,2025-11-22 11:30:00,,,0
TICK-000096,P01837,TRIP-000094,COMPLETED,2025-06-22 04:49:00,2025-06-22 05:49:00,,,0
TICK-000097,P01837,TRIP-000095,COMPLETED,2025-06-22 16:56:00,2025-06-22 17:50:00,77,77,0
TICK-000098,P01969,TRIP-000096,COMPLETED,2025-11-08 04:37:00,2025-11-08 05:50:00,,,0
TICK-000099,P01969,TRIP-000097,COMPLETED,2025-11-08 17:07:00,2025-11-08 17:39:00,323,355,0
TICK-000100,P03984,TRIP-000098,COMPLETED,2025-12-08 11:23:00,2025-12-08 11:33:00,,,0
TICK-000101,P03984,TRIP-000099,COMPLETED,2025-12-08 22:38:00,2025-12-08 23:45:00,268,292,0
TICK-000102,P00854,TRIP-000100,COMPLETED,2025-01-08 10:39:00,2025-01-08 11:40:00,,,0
TICK-000103,P00854,TRIP-000078,MISSED_CONNECTION,,,-10,-3,1
TICK-000104,P02447,TRIP-000101,COMPLETED,2025-07-08 10:43:00,2025-07-08 11:31:00,,,0
TICK-000105,P02447,TRIP-000102,MISSED_CONNECTION,,,-3,-9,1
TICK-000106,P02447,TRIP-000103,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000107,P00789,TRIP-000104,COMPLETED,2025-10-08 05:09:00,2025-10-08 05:44:00,,,0
TICK-000108,P00789,TRIP-000105,COMPLETED,2025-10-08 16:37:00,2025-10-08 17:42:00,226,185,0
TICK-000109,P02386,TRIP-000106,COMPLETED,2025-08-08 16:30:00,2025-08-08 17:43:00,,,0
TICK-000110,P00370,TRIP-000065,COMPLETED,2025-07-08 10:44:00,2025-07-08 11:44:00,,,0
TICK-000111,P00370,TRIP-000107,COMPLETED,2025-07-08 17:19:00,2025-07-08 17:36:00,194,171,0
TICK-000112,P00370,TRIP-000108,COMPLETED,2025-07-08 23:23:00,2025-07-08 23:32:00,178,187,0
TICK-000113,P03650,TRIP-000109,COMPLETED,2025-03-08 04:34:00,2025-03-08 05:34:00,,,0
TICK-000114,P03650,TRIP-000110,COMPLETED,2025-03-08 11:19:00,2025-03-08 11:49:00,-10,21,0
TICK-000115,P01498,TRIP-000111,COMPLETED,2025-11-08 04:50:00,2025-11-08 05:30:00,,,0
TICK-000116,P01498,TRIP-000112,COMPLETED,2025-11-08 10:32:00,2025-11-08 11:47:00,49,50,0
TICK-000117,P00383,TRIP-000113,COMPLETED,2025-07-22 11:04:00,2025-07-22 11:48:00,,,0
TICK-000118,P02861,TRIP-000114,COMPLETED,2025-07-22 16:39:00,2025-07-22 17:32:00,,,0
TICK-000119,P02861,TRIP-000115,COMPLETED,2025-07-23 04:48:00,2025-07-23 05:49:00,142,157,0
TICK-000120,P00122,TRIP-000116,COMPLETED,2025-03-08 10:31:00,2025-03-08 11:49:00,,,0
TICK-000121,P01770,TRIP-000117,COMPLETED,2025-07-08 10:49:00,2025-07-08 11:39:00,,,0
TICK-000122,P01770,TRIP-000118,COMPLETED,2025-07-08 23:03:00,2025-07-08 23:45:00,77,111,0
TICK-000123,P01330,TRIP-000119,COMPLETED,2025-07-22 05:17:00,2025-07-22 05:31:00,,,0
TICK-000124,P01330,TRIP-000113,MISSED_CONNECTION,,,-10,-45,1
TICK-000125,P01387,TRIP-000120,COMPLETED,2025-11-08 04:39:00,2025-11-08 05:41:00,,,0
TICK-000126,P01387,TRIP-000121,COMPLETED,2025-11-08 17:18:00,2025-11-08 17:49:00,251,188,0
TICK-000127,P02463,TRIP-000122,COMPLETED,2025-10-22 04:32:00,2025-10-22 05:35:00,,,0
TICK-000128,P00627,TRIP-000123,COMPLETED,2025-06-08 10:54:00,2025-06-08 11:48:00,,,0
TICK-000129,P00627,TRIP-000124,MISSED_CONNECTION,,,-5,-5,1
TICK-000130,P00627,TRIP-000125,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000131,P01075,TRIP-000126,COMPLETED,2025-06-08 10:32:00,2025-06-08 11:41:00,,,0
TICK-000132,P02884,TRIP-000127,COMPLETED,2025-07-08 05:02:00,2025-07-08 05:49:00,,,0
TICK-000133,P02884,TRIP-000128,COMPLETED,2025-07-08 17:04:00,2025-07-08 17:44:00,229,194,0
TICK-000134,P02517,TRIP-000129,COMPLETED,2025-09-22 10:47:00,2025-09-22 11:46:00,,,0
TICK-000135,P02517,TRIP-000130,COMPLETED,2025-09-22 23:06:00,2025-09-22 23:33:00,180,177,0
TICK-000136,P02517,TRIP-000131,COMPLETED,2025-09-23 05:17:00,2025-09-23 05:49:00,169,191,0
TICK-000137,P00806,TRIP-000132,COMPLETED,2025-04-08 05:18:00,2025-04-08 05:50:00,,,0
TICK-000138,P00806,TRIP-000133,COMPLETED,2025-04-08 16:47:00,2025-04-08 17:49:00,268,243,0
TICK-000139,P00717,TRIP-000134,COMPLETED,2025-08-08 10:55:00,2025-08-08 11:34:00,,,0
TICK-000140,P00717,TRIP-000135,COMPLETED,2025-08-08 23:13:00,2025-08-08 23:38:00,229,204,0
TICK-000141,P00717,TRIP-000136,MISSED_CONNECTION,,,-10,9,1
TICK-000142,P01726,TRIP-000137,COMPLETED,2025-12-22 05:22:00,2025-12-22 05:42:00,,,0
TICK-000143,P01726,TRIP-000138,COMPLETED,2025-12-22 10:42:00,2025-12-22 11:34:00,178,139,0
TICK-000144,P01726,TRIP-000139,MISSED_CONNECTION,,,-3,-37,1
TICK-000145,P01358,TRIP-000140,COMPLETED,2025-12-22 04:45:00,2025-12-22 05:35:00,,,0
TICK-000146,P01148,TRIP-000141,COMPLETED,2025-06-08 04:41:00,2025-06-08 05:47:00,,,0
TICK-000147,P01148,TRIP-000142,COMPLETED,2025-06-08 11:13:00,2025-06-08 11:41:00,144,180,0
TICK-000148,P00236,TRIP-000143,COMPLETED,2025-09-08 04:57:00,2025-09-08 05:44:00,,,0
TICK-000149,P00236,TRIP-000144,MISSED_CONNECTION,,,181,-3,1
TICK-000150,P01394,TRIP-000145,COMPLETED,2025-01-08 04:57:00,2025-01-08 05:34:00,,,0
TICK-000151,P01394,TRIP-000146,COMPLETED,2025-01-08 16:41:00,2025-01-08 17:35:00,142,145,0
TICK-000152,P01394,TRIP-000147,COMPLETED,2025-01-08 23:14:00,2025-01-08 23:39:00,120,110,0
TICK-000153,P00188,TRIP-000148,COMPLETED,2025-10-08 05:03:00,2025-10-08 05:31:00,,,0
TICK-000154,P00188,TRIP-000149,MISSED_CONNECTION,,,-23,-37,1
TICK-000155,P02743,TRIP-000150,COMPLETED,2025-07-22 05:03:00,2025-07-22 05:45:00,,,0
TICK-000156,P03504,TRIP-000151,COMPLETED,2025-07-08 16:59:00,2025-07-08 17:31:00,,,0
TICK-000157,P03504,TRIP-000152,COMPLETED,2025-07-08 23:19:00,2025-07-08 23:31:00,93,55,0
TICK-000158,P02080,TRIP-000153,COMPLETED,2025-06-08 04:33:00,2025-06-08 05:41:00,,,0
TICK-000159,P03150,TRIP-000154,COMPLETED,2025-10-22 04:33:00,2025-10-22 05:37:00,,,0
TICK-000160,P03150,TRIP-000155,COMPLETED,2025-10-22 17:10:00,2025-10-22 17:49:00,323,323,0
TICK-000161,P03150,TRIP-000156,MISSED_CONNECTION,,,-2,-2,1
TICK-000162,P03328,TRIP-000157,COMPLETED,2025-11-22 11:10:00,2025-11-22 11:49:00,,,0
TICK-000163,P03328,TRIP-000158,COMPLETED,2025-11-22 23:03:00,2025-11-22 23:34:00,226,213,0
TICK-000164,P03328,TRIP-000159,COMPLETED,2025-11-23 04:52:00,2025-11-23 05:41:00,93,105,0
TICK-000165,P00401,TRIP-000160,COMPLETED,2025-07-22 10:39:00,2025-07-22 11:30:00,,,0
TICK-000166,P01222,TRIP-000161,COMPLETED,2025-06-08 10:54:00,2025-06-08 11:50:00,,,0
TICK-000167,P01222,TRIP-000162,COMPLETED,2025-06-08 16:46:00,2025-06-08 17:41:00,194,195,0
TICK-000168,P00211,TRIP-000163,COMPLETED,2025-06-22 10:40:00,2025-06-22 11:46:00,,,0
TICK-000169,P02921,TRIP-000164,COMPLETED,2025-10-08 05:13:00,2025-10-08 05:30:00,,,0
TICK-000170,P02921,TRIP-000165,COMPLETED,2025-10-08 16:47:00,2025-10-08 17:45:00,268,268,0
TICK-000171,P03473,TRIP-000166,COMPLETED,2025-06-22 10:48:00,2025-06-22 11:34:00,,,0
TICK-000172,P03473,TRIP-000167,MISSED_CONNECTION,,,-10,-39,1
TICK-000173,P00825,TRIP-000168,COMPLETED,2025-06-22 11:15:00,2025-06-22 11:50:00,,,0
TICK-000174,P00825,TRIP-000169,COMPLETED,2025-06-22 16:56:00,2025-06-22 17:50:00,201,210,0
TICK-000175,P00825,TRIP-000170,COMPLETED,2025-06-23 04:51:00,2025-06-23 05:38:00,180,112,0
TICK-000176,P00881,TRIP-000128,COMPLETED,2025-07-08 16:52:00,2025-07-08 17:42:00,,,0
TICK-000177,P00881,TRIP-000171,MISSED_CONNECTION,,,-10,-21,1
TICK-000178,P00881,TRIP-000172,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000179,P02501,TRIP-000173,COMPLETED,2025-05-22 17:08:00,2025-05-22 17:47:00,,,0
TICK-000180,P00064,TRIP-000138,COMPLETED,2025-12-22 11:20:00,2025-12-22 11:30:00,,,0
TICK-000181,P00064,TRIP-000174,MISSED_CONNECTION,,,-3,0,1
TICK-000182,P00267,TRIP-000008,COMPLETED,2025-12-08 04:51:00,2025-12-08 05:42:00,,,0
TICK-000183,P00267,TRIP-000009,COMPLETED,2025-12-08 16:51:00,2025-12-08 17:41:00,46,70,0
TICK-000184,P01312,TRIP-000175,COMPLETED,2025-12-22 17:09:00,2025-12-22 17:49:00,,,0
TICK-000185,P01312,TRIP-000176,COMPLETED,2025-12-23 04:36:00,2025-12-23 05:34:00,268,246,0
TICK-000186,P03988,TRIP-000177,COMPLETED,2025-08-08 10:50:00,2025-08-08 11:36:00,,,0
TICK-000187,P02113,TRIP-000178,COMPLETED,2025-08-08 11:08:00,2025-08-08 11:35:00,,,0
TICK-000188,P02113,TRIP-000179,COMPLETED,2025-08-08 16:47:00,2025-08-08 17:50:00,144,94,0
TICK-000189,P02327,TRIP-000038,COMPLETED,2025-06-08 16:39:00,2025-06-08 17:50:00,,,0
TICK-000190,P01030,TRIP-000012,COMPLETED,2025-06-08 10:37:00,2025-06-08 11:30:00,,,0
TICK-000191,P01030,TRIP-000013,COMPLETED,2025-06-08 22:39:00,2025-06-08 23:32:00,180,220,0
TICK-000192,P02892,TRIP-000180,COMPLETED,2025-08-22 16:39:00,2025-08-22 17:35:00,,,0
TICK-000193,P03052,TRIP-000181,COMPLETED,2025-06-22 17:18:00,2025-06-22 17:40:00,,,0
TICK-000194,P03052,TRIP-000182,COMPLETED,2025-06-22 22:44:00,2025-06-22 23:41:00,120,143,0
TICK-000195,P00330,TRIP-000183,COMPLETED,2025-11-08 17:10:00,2025-11-08 17:48:00,,,0
TICK-000196,P00330,TRIP-000184,COMPLETED,2025-11-09 04:42:00,2025-11-09 05:36:00,226,214,0
TICK-000197,P02960,TRIP-000185,COMPLETED,2025-07-08 10:55:00,2025-07-08 11:35:00,,,0
TICK-000198,P01292,TRIP-000186,COMPLETED,2025-10-08 16:37:00,2025-10-08 17:36:00,,,0
TICK-000199,P01292,TRIP-000187,MISSED_CONNECTION,,,-2,-2,1
TICK-000200,P01292,TRIP-000188,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000201,P03183,TRIP-000189,COMPLETED,2025-07-08 05:24:00,2025-07-08 05:35:00,,,0
TICK-000202,P03183,TRIP-000190,MISSED_CONNECTION,,,-3,-2,1
TICK-000203,P02178,TRIP-000191,COMPLETED,2025-06-22 10:46:00,2025-06-22 11:47:00,,,0
TICK-000204,P00223,TRIP-000192,COMPLETED,2025-11-22 17:02:00,2025-11-22 17:44:00,,,0
TICK-000205,P00223,TRIP-000193,COMPLETED,2025-11-23 04:49:00,2025-11-23 05:43:00,251,218,0
TICK-000206,P00223,TRIP-000194,COMPLETED,2025-11-23 17:05:00,2025-11-23 17:30:00,199,189,0
TICK-000207,P01136,TRIP-000195,COMPLETED,2025-02-22 04:59:00,2025-02-22 05:38:00,,,0
TICK-000208,P01136,TRIP-000196,COMPLETED,2025-02-22 10:42:00,2025-02-22 11:33:00,144,133,0
TICK-000209,P01136,TRIP-000197,COMPLETED,2025-02-22 22:39:00,2025-02-22 23:49:00,138,130,0
TICK-000210,P00666,TRIP-000198,COMPLETED,2025-11-22 04:34:00,2025-11-22 05:46:00,,,0
TICK-000211,P00666,TRIP-000199,COMPLETED,2025-11-22 11:15:00,2025-11-22 11:40:00,201,201,0
TICK-000212,P00666,TRIP-000200,COMPLETED,2025-11-22 22:34:00,2025-11-22 23:49:00,180,206,0
TICK-000213,P00868,TRIP-000201,COMPLETED,2025-07-08 05:10:00,2025-07-08 05:38:00,,,0
TICK-000214,P00868,TRIP-000047,COMPLETED,2025-07-08 11:14:00,2025-07-08 11:34:00,49,75,0
TICK-000215,P00868,TRIP-000048,COMPLETED,2025-07-08 22:49:00,2025-07-08 23:44:00,266,219,0
TICK-000216,P01610,TRIP-000202,COMPLETED,2025-06-22 16:43:00,2025-06-22 17:35:00,,,0
TICK-000217,P01610,TRIP-000203,COMPLETED,2025-06-23 05:23:00,2025-06-23 05:45:00,226,226,0
TICK-000218,P01610,TRIP-000204,COMPLETED,2025-06-23 10:37:00,2025-06-23 11:41:00,93,92,0
TICK-000219,P02078,TRIP-000205,COMPLETED,2025-07-08 11:08:00,2025-07-08 11:50:00,,,0
TICK-000220,P02078,TRIP-000206,COMPLETED,2025-07-08 23:25:00,2025-07-08 23:42:00,46,66,0
TICK-000221,P02078,TRIP-000207,COMPLETED,2025-07-09 11:22:00,2025-07-09 11:47:00,142,158,0
TICK-000222,P01004,TRIP-000068,COMPLETED,2025-12-08 11:18:00,2025-12-08 11:35:00,,,0
TICK-000223,P01004,TRIP-000208,COMPLETED,2025-12-08 16:59:00,2025-12-08 17:44:00,49,60,0
TICK-000224,P01004,TRIP-000209,COMPLETED,2025-12-09 05:06:00,2025-12-09 05:45:00,266,297,0
TICK-000225,P02043,TRIP-000210,COMPLETED,2025-07-22 16:57:00,2025-07-22 17:35:00,,,0
TICK-000226,P02808,TRIP-000211,COMPLETED,2025-12-22 16:49:00,2025-12-22 17:40:00,,,0
TICK-000227,P02808,TRIP-000212,COMPLETED,2025-12-22 23:10:00,2025-12-22 23:45:00,144,108,0
TICK-000228,P02559,TRIP-000213,COMPLETED,2025-12-08 10:31:00,2025-12-08 11:39:00,,,0
TICK-000229,P02884,TRIP-000214,COMPLETED,2025-01-08 10:39:00,2025-01-08 11:33:00,,,0
TICK-000230,P02884,TRIP-000215,COMPLETED,2025-01-08 23:25:00,2025-01-08 23:36:00,266,266,0
TICK-000231,P01653,TRIP-000216,COMPLETED,2025-06-08 10:53:00,2025-06-08 11:41:00,,,0
TICK-000232,P01871,TRIP-000217,COMPLETED,2025-10-22 10:46:00,2025-10-22 11:34:00,,,0
TICK-000233,P01871,TRIP-000218,MISSED_CONNECTION,,,-2,-36,1
TICK-000234,P01658,TRIP-000219,COMPLETED,2025-09-08 17:03:00,2025-09-08 17:32:00,,,0
TICK-000235,P01658,TRIP-000220,COMPLETED,2025-09-09 05:20:00,2025-09-09 05:44:00,323,337,0
TICK-000236,P03403,TRIP-000221,COMPLETED,2025-01-08 04:47:00,2025-01-08 05:39:00,,,0
TICK-000237,P03403,TRIP-000222,MISSED_CONNECTION,,,-10,-10,1
TICK-000238,P03403,TRIP-000223,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000239,P02987,TRIP-000224,COMPLETED,2025-06-08 04:53:00,2025-06-08 05:33:00,,,0
TICK-000240,P02987,TRIP-000225,COMPLETED,2025-06-08 10:43:00,2025-06-08 11:38:00,194,199,0
TICK-000241,P01644,TRIP-000226,COMPLETED,2025-08-08 11:15:00,2025-08-08 11:44:00,,,0
TICK-000242,P01644,TRIP-000227,MISSED_CONNECTION,,,-25,-41,1
TICK-000243,P01644,TRIP-000228,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000244,P03736,TRIP-000229,COMPLETED,2025-06-08 16:41:00,2025-06-08 17:30:00,,,0
TICK-000245,P03736,TRIP-000230,COMPLETED,2025-06-09 04:56:00,2025-06-09 05:32:00,-2,38,0
TICK-000246,P02607,TRIP-000231,COMPLETED,2025-09-08 11:07:00,2025-09-08 11:34:00,,,0
TICK-000247,P02607,TRIP-000232,COMPLETED,2025-09-08 23:23:00,2025-09-08 23:32:00,226,245,0
TICK-000248,P00370,TRIP-000233,COMPLETED,2025-02-08 05:12:00,2025-02-08 05:50:00,,,0
TICK-000249,P00370,TRIP-000234,COMPLETED,2025-02-08 16:53:00,2025-02-08 17:35:00,180,151,0
TICK-000250,P00370,TRIP-000235,COMPLETED,2025-02-08 23:07:00,2025-02-08 23:48:00,169,153,0
TICK-000251,P03694,TRIP-000236,COMPLETED,2025-05-08 17:24:00,2025-05-08 17:44:00,,,0
TICK-000252,P03694,TRIP-000237,COMPLETED,2025-05-09 05:13:00,2025-05-09 05:39:00,-2,46,0
