claim_id,ticket_number,claim_type,refund_amount,compensation_amount,rebooking_cost,rebooking_ts,claim_submitted_ts,claim_resolution_ts,claim_status
CLM-000044,TICK-000462,Missed Connection,240000,75000,152000,2025-06-09 05:32:00,2025-06-09 01:32:00,2025-06-11 01:32:00,Approved
CLM-000045,TICK-000476,Missed Connection,112000,50000,78000,2025-05-23 05:06:00,2025-05-22 23:06:00,,Pending
CLM-000046,TICK-000480,Missed Connection,40000,75000,28000,2025-08-23 16:23:00,2025-08-23 11:23:00,2025-08-28 11:23:00,Approved
CLM-000047,TICK-000487,Missed Connection,115000,100000,72000,2025-09-09 14:29:00,2025-09-09 12:29:00,,Pending
CLM-000048,TICK-000498,Missed Connection,78000,75000,49000,2025-10-09 10:02:00,2025-10-09 05:02:00,2025-10-13 05:02:00,Rejected
CLM-000049,TICK-000500,Missed Connection,62000,75000,39000,2025-10-23 08:42:00,2025-10-23 06:42:00,2025-10-25 06:42:00,Approved
CLM-000050,TICK-000503,Missed Connection,142000,50000,90000,2025-06-09 17:25:00,2025-06-09 11:25:00,2025-06-14 11:25:00,Approved
CLM-000051,TICK-000514,Missed Connection,49000,75000,34000,2025-06-10 00:59:00,2025-06-09 21:59:00,,Pending
CLM-000052,TICK-000527,Missed Connection,70000,75000,47000,2025-06-23 14:01:00,2025-06-23 09:01:00,2025-06-27 09:01:00,Approved
CLM-000053,TICK-000537,Missed Connection,82000,50000,52000,2025-03-09 09:50:00,2025-03-09 01:50:00,2025-03-10 01:50:00,Approved
CLM-000054,TICK-000552,Missed Connection,142000,100000,95000,2025-05-23 02:03:00,2025-05-22 21:03:00,2025-05-26 21:03:00,Approved
CLM-000055,TICK-000557,Missed Connection,82000,50000,52000,2025-11-22 17:21:00,2025-11-22 15:21:00,2025-11-27 15:21:00,Approved
CLM-000056,TICK-000572,Missed Connection,240000,100000,152000,2025-12-23 15:48:00,2025-12-23 14:48:00,2025-12-24 14:48:00,Approved
CLM-000057,TICK-000575,Missed Connection,158000,100000,111000,2025-12-09 23:15:00,2025-12-09 17:15:00,2025-12-12 17:15:00,Approved
CLM-000058,TICK-000581,Missed Connection,82000,100000,52000,2025-04-23 19:45:00,2025-04-23 13:45:00,2025-04-24 13:45:00,Approved
CLM-000059,TICK-000592,Missed Connection,99000,75000,62000,2025-06-09 02:10:00,2025-06-09 01:10:00,2025-06-13 01:10:00,Approved
CLM-000060,TICK-000596,Missed Connection,141000,75000,93000,2025-04-09 18:04:00,2025-04-09 17:04:00,2025-04-14 17:04:00,Approved
CLM-000061,TICK-000613,Missed Connection,92000,75000,58000,2025-09-08 19:50:00,2025-09-08 14:50:00,2025-09-10 14:50:00,Approved
CLM-000062,TICK-000617,Missed Connection,112000,50000,75000,2025-08-09 13:41:00,2025-08-09 12:41:00,2025-08-14 12:41:00,Approved
CLM-000063,TICK-000626,Missed Connection,254000,75000,160000,2025-11-23 09:46:00,2025-11-23 06:46:00,2025-11-25 06:46:00,Approved
CLM-000064,TICK-000634,Missed Connection,158000,75000,99000,2025-12-09 18:20:00,2025-12-09 13:20:00,2025-12-14 13:20:00,Approved
CLM-000065,TICK-000637,Missed Connection,181000,50000,114000,2025-06-09 02:39:00,2025-06-08 18:39:00,2025-06-10 18:39:00,Approved
CLM-000066,TICK-000639,Missed Connection,99000,75000,62000,2025-06-23 04:39:00,2025-06-23 02:39:00,2025-06-24 02:39:00,Approved
CLM-000067,TICK-000648,Missed Connection,176000,75000,117000,2025-12-09 04:07:00,2025-12-09 01:07:00,2025-12-13 01:07:00,Approved
CLM-000068,TICK-000677,Missed Connection,140000,50000,88000,2025-04-23 07:14:00,2025-04-23 06:14:00,2025-04-26 06:14:00,Approved
CLM-000069,TICK-000694,Missed Connection,142000,50000,99000,2025-12-09 23:20:00,2025-12-09 18:20:00,2025-12-10 18:20:00,Approved
CLM-000070,TICK-000710,Missed Connection,82000,75000,58000,2025-09-23 04:16:00,2025-09-22 20:16:00,2025-09-24 20:16:00,Approved
CLM-000071,TICK-000713,Missed Connection,56000,75000,36000,2025-04-23 07:45:00,2025-04-22 23:45:00,2025-04-27 23:45:00,Approved
CLM-000072,TICK-000716,Missed Connection,98000,50000,65000,2025-08-23 15:10:00,2025-08-23 07:10:00,2025-08-26 07:10:00,Approved
CLM-000073,TICK-000733,Missed Connection,105000,75000,70000,2025-07-09 17:05:00,2025-07-09 10:05:00,2025-07-13 10:05:00,Approved
CLM-000074,TICK-000736,Missed Connection,92000,50000,58000,2025-09-23 12:49:00,2025-09-23 09:49:00,2025-09-28 09:49:00,Approved
CLM-000075,TICK-000754,Missed Connection,188000,50000,119000,2025-05-23 11:25:00,2025-05-23 04:25:00,2025-05-28 04:25:00,Approved
CLM-000076,TICK-000757,Missed Connection,156000,75000,98000,2025-08-10 04:26:00,2025-08-10 01:26:00,2025-08-14 01:26:00,Approved
CLM-000077,TICK-000766,Missed Connection,124000,75000,78000,2025-07-24 01:24:00,2025-07-23 18:24:00,2025-07-27 18:24:00,Approved
CLM-000078,TICK-000769,Missed Connection,82000,75000,55000,2025-10-09 04:10:00,2025-10-09 01:10:00,2025-10-13 01:10:00,Approved
CLM-000079,TICK-000771,Missed Connection,86000,50000,61000,2025-05-08 22:32:00,2025-05-08 21:32:00,2025-05-13 21:32:00,Approved
CLM-000080,TICK-000780,Missed Connection,119000,100000,75000,2025-08-23 05:04:00,2025-08-22 22:04:00,2025-08-24 22:04:00,Approved
CLM-000081,TICK-000791,Missed Connection,138000,75000,87000,2025-12-23 00:19:00,2025-12-22 19:19:00,2025-12-26 19:19:00,Approved
CLM-000082,TICK-000809,Missed Connection,99000,50000,62000,2025-12-23 18:48:00,2025-12-23 12:48:00,2025-12-24 12:48:00,Approved
CLM-000083,TICK-000817,Missed Connection,148000,75000,93000,2025-12-23 19:17:00,2025-12-23 14:17:00,2025-12-27 14:17:00,Approved
CLM-000084,TICK-000830,Missed Connection,188000,50000,119000,2025-05-23 10:25:00,2025-05-23 02:25:00,2025-05-26 02:25:00,Approved
CLM-000085,TICK-000836,Missed Connection,178000,75000,112000,2025-12-23 05:34:00,2025-12-23 02:34:00,2025-12-28 02:34:00,Approved
CLM-000086,TICK-000841,Missed Connection,174000,75000,115000,2025-10-23 08:06:00,2025-10-23 02:06:00,2025-10-27 02:06:00,Approved
CLM-000087,TICK-000843,Missed Connection,119000,50000,75000,2025-03-23 03:05:00,2025-03-23 01:05:00,2025-03-25 01:05:00,Approved
CLM-000088,TICK-000849,Missed Connection,92000,75000,58000,2025-01-09 06:47:00,2025-01-09 05:47:00,2025-01-10 05:47:00,Approved
CLM-000089,TICK-000854,Missed Connection,104000,75000,65000,2025-06-09 14:10:00,2025-06-09 12:10:00,2025-06-12 12:10:00,Approved
CLM-000090,TICK-000857,Missed Connection,148000,75000,93000,2025-04-09 10:46:00,2025-04-09 07:46:00,2025-04-10 07:46:00,Approved
CLM-000091,TICK-000863,Missed Connection,124000,75000,78000,2025-12-09 12:10:00,2025-12-09 05:10:00,2025-12-14 05:10:00,Approved
CLM-000092,TICK-000874,Missed Connection,145000,50000,102000,2025-05-09 06:03:00,2025-05-08 22:03:00,2025-05-11 22:03:00,Approved
CLM-000093,TICK-000878,Missed Connection,123000,50000,78000,2025-06-23 13:28:00,2025-06-23 12:28:00,2025-06-26 12:28:00,Approved
CLM-000094,TICK-000884,Missed Connection,99000,75000,62000,2025-12-23 10:49:00,2025-12-23 03:49:00,2025-12-26 03:49:00,Rejected
CLM-000095,TICK-000888,Missed Connection,115000,75000,72000,2025-09-23 05:16:00,2025-09-23 00:16:00,2025-09-25 00:16:00,Approved
CLM-000096,TICK-000895,Missed Connection,155000,75000,98000,2025-07-09 07:45:00,2025-07-09 02:45:00,2025-07-13 02:45:00,Approved
CLM-000097,TICK-000898,Missed Connection,84000,100000,53000,2025-06-09 13:49:00,2025-06-09 08:49:00,2025-06-13 08:49:00,Approved
CLM-000098,TICK-000903,Missed Connection,170000,75000,119000,2025-03-09 01:49:00,2025-03-08 17:49:00,2025-03-09 17:49:00,Approved
CLM-000099,TICK-000905,Missed Connection,112000,75000,78000,2025-12-23 07:10:00,2025-12-22 23:10:00,2025-12-24 23:10:00,Approved
CLM-000100,TICK-000916,Missed Connection,188000,50000,132000,2025-02-23 13:34:00,2025-02-23 07:34:00,2025-02-27 07:34:00,Approved
CLM-000101,TICK-000919,Missed Connection,170000,75000,112000,2025-12-23 13:28:00,2025-12-23 09:28:00,2025-12-26 09:28:00,Approved
CLM-000102,TICK-000934,Missed Connection,87000,100000,58000,2025-08-24 05:30:00,2025-08-24 00:30:00,2025-08-29 00:30:00,Approved
CLM-000103,TICK-000938,Missed Connection,131000,100000,87000,2025-12-22 18:19:00,2025-12-22 14:19:00,2025-12-25 14:19:00,Approved
CLM-000104,TICK-000946,Missed Connection,167000,75000,105000,2025-07-09 05:10:00,2025-07-08 23:10:00,2025-07-12 23:10:00,Approved
CLM-000105,TICK-000951,Missed Connection,235000,75000,164000,2025-07-08 23:09:00,2025-07-08 19:09:00,2025-07-11 19:09:00,Approved
CLM-000106,TICK-000960,Missed Connection,98000,50000,65000,2025-11-09 00:47:00,2025-11-08 19:47:00,2025-11-10 19:47:00,Approved
CLM-000107,TICK-000970,Missed Connection,155000,100000,98000,2025-03-09 19:20:00,2025-03-09 18:20:00,2025-03-10 18:20:00,Approved
CLM-000108,TICK-000972,Missed Connection,198000,50000,132000,2025-03-23 21:34:00,2025-03-23 14:34:00,2025-03-25 14:34:00,Approved
CLM-000109,TICK-000975,Missed Connection,142000,50000,90000,2025-12-23 19:16:00,2025-12-23 16:16:00,2025-12-26 16:16:00,Approved
CLM-000110,TICK-000989,Missed Connection,103000,75000,65000,2025-01-08 19:10:00,2025-01-08 16:10:00,2025-01-13 16:10:00,Approved
CLM-000111,TICK-000994,Missed Connection,261000,50000,164000,2025-12-22 22:13:00,2025-12-22 20:13:00,2025-12-24 20:13:00,Approved
CLM-000112,TICK-001027,Missed Connection,45000,75000,28000,2025-11-23 13:40:00,2025-11-23 07:40:00,2025-11-26 07:40:00,Approved
CLM-000113,TICK-001045,Missed Connection,102000,50000,68000,2025-02-23 02:29:00,2025-02-22 23:29:00,2025-02-23 23:29:00,Approved
CLM-000114,TICK-001057,Missed Connection,86000,50000,57000,2025-08-09 14:16:00,2025-08-09 10:16:00,2025-08-13 10:16:00,Approved
CLM-000115,TICK-001066,Missed Connection,140000,75000,88000,2025-03-09 09:39:00,2025-03-09 05:39:00,2025-03-11 05:39:00,Approved
CLM-000116,TICK-001073,Missed Connection,68000,100000,43000,2025-12-23 08:23:00,2025-12-23 01:23:00,2025-12-28 01:23:00,Approved
CLM-000117,TICK-001077,Missed Connection,162000,100000,114000,2025-06-23 13:40:00,2025-06-23 11:40:00,2025-06-24 11:40:00,Approved
CLM-000118,TICK-001082,Missed Connection,86000,75000,55000,2025-01-09 07:10:00,2025-01-09 00:10:00,2025-01-10 00:10:00,Approved
CLM-000119,TICK-001088,Missed Connection,133000,75000,93000,2025-05-23 16:42:00,2025-05-23 11:42:00,2025-05-26 11:42:00,Approved
CLM-000120,TICK-001093,Missed Connection,131000,50000,87000,2025-07-09 13:48:00,2025-07-09 09:48:00,2025-07-14 09:48:00,Rejected
CLM-000121,TICK-001098,Missed Connection,54000,50000,34000,2025-12-23 21:23:00,2025-12-23 18:23:00,2025-12-28 18:23:00,Approved
CLM-000122,TICK-001103,Missed Connection,124000,50000,78000,2025-06-09 04:48:00,2025-06-09 02:48:00,2025-06-13 02:48:00,Approved
CLM-000123,TICK-001107,Missed Connection,74000,100000,52000,2025-05-09 14:04:00,2025-05-09 12:04:00,2025-05-11 12:04:00,Approved
CLM-000124,TICK-001126,Missed Connection,62000,75000,39000,2025-08-23 20:52:00,2025-08-23 15:52:00,2025-08-26 15:52:00,Approved
CLM-000125,TICK-001140,Missed Connection,74000,75000,49000,2025-04-23 02:47:00,2025-04-22 20:47:00,2025-04-24 20:47:00,Approved
CLM-000126,TICK-001150,Missed Connection,178000,50000,112000,2025-06-09 07:02:00,2025-06-09 04:02:00,2025-06-12 04:02:00,Approved
CLM-000127,TICK-001163,Missed Connection,148000,75000,93000,2025-11-09 05:57:00,2025-11-09 01:57:00,2025-11-14 01:57:00,Approved
CLM-000128,TICK-001167,Missed Connection,154000,100000,97000,2025-06-09 16:10:00,2025-06-09 10:10:00,2025-06-11 10:10:00,Approved
CLM-000129,TICK-001169,Missed Connection,140000,50000,98000,2025-12-09 11:35:00,2025-12-09 04:35:00,2025-12-10 04:35:00,Approved
CLM-000130,TICK-001171,Missed Connection,188000,50000,119000,2025-04-23 00:00:00,2025-04-22 23:00:00,2025-04-26 23:00:00,Approved
CLM-000131,TICK-001175,Missed Connection,170000,75000,119000,2025-10-09 01:18:00,2025-10-09 00:18:00,2025-10-12 00:18:00,Approved
CLM-000132,TICK-001186,Missed Connection,56000,75000,36000,2025-05-23 00:23:00,2025-05-22 20:23:00,2025-05-27 20:23:00,Approved
CLM-000133,TICK-001189,Missed Connection,161000,75000,102000,2025-05-09 01:03:00,2025-05-08 22:03:00,2025-05-11 22:03:00,Approved
CLM-000134,TICK-001208,Missed Connection,119000,75000,75000,2025-02-23 00:04:00,2025-02-22 21:04:00,2025-02-25 21:04:00,Approved
CLM-000135,TICK-001211,Missed Connection,56000,50000,36000,2025-05-23 21:19:00,2025-05-23 18:19:00,2025-05-28 18:19:00,Approved
CLM-000136,TICK-001226,Missed Connection,92000,75000,58000,2025-02-23 14:33:00,2025-02-23 09:33:00,2025-02-26 09:33:00,Approved
CLM-000137,TICK-001244,Missed Connection,74000,75000,49000,2025-11-24 09:03:00,2025-11-24 01:03:00,,Pending
CLM-000138,TICK-001254,Missed Connection,124000,50000,78000,2025-07-23 20:24:00,2025-07-23 19:24:00,2025-07-26 19:24:00,Approved
CLM-000139,TICK-001258,Missed Connection,93000,50000,65000,2025-07-23 02:10:00,2025-07-22 21:10:00,2025-07-24 21:10:00,Approved
CLM-000140,TICK-001264,Missed Connection,82000,75000,52000,2025-02-09 11:47:00,2025-02-09 06:47:00,2025-02-10 06:47:00,Approved
CLM-000141,TICK-001274,Missed Connection,178000,50000,112000,2025-06-09 17:44:00,2025-06-09 10:44:00,2025-06-11 10:44:00,Approved
CLM-000142,TICK-001288,Missed Connection,110000,50000,70000,2025-07-23 03:06:00,2025-07-23 00:06:00,2025-07-26 00:06:00,Approved
CLM-000143,TICK-001293,Missed Connection,99000,100000,62000,2025-07-09 18:41:00,2025-07-09 10:41:00,2025-07-11 10:41:00,Approved
CLM-000144,TICK-001296,Missed Connection,146000,75000,92000,2025-02-09 07:10:00,2025-02-09 05:10:00,2025-02-13 05:10:00,Approved
CLM-000145,TICK-001307,Missed Connection,193000,50000,122000,2025-12-08 18:17:00,2025-12-08 14:17:00,2025-12-12 14:17:00,Approved
CLM-000146,TICK-001318,Missed Connection,167000,75000,105000,2025-07-23 14:13:00,2025-07-23 10:13:00,2025-07-26 10:13:00,Approved
CLM-000147,TICK-001326,Missed Connection,138000,50000,87000,2025-06-22 15:05:00,2025-06-22 14:05:00,,Pending
CLM-000148,TICK-001329,Missed Connection,74000,50000,47000,2025-12-09 04:11:00,2025-12-09 03:11:00,2025-12-14 03:11:00,Approved
CLM-000149,TICK-001339,Missed Connection,45000,50000,28000,2025-09-09 19:52:00,2025-09-09 17:52:00,2025-09-10 17:52:00,Approved
CLM-000150,TICK-001346,Missed Connection,79000,100000,52000,2025-08-23 18:48:00,2025-08-23 13:48:00,,Pending
CLM-000151,TICK-001362,Missed Connection,87000,50000,58000,2025-08-23 15:30:00,2025-08-23 09:30:00,2025-08-25 09:30:00,Approved
CLM-000152,TICK-001382,Missed Connection,62000,50000,39000,2025-02-23 16:34:00,2025-02-23 10:34:00,2025-02-26 10:34:00,Approved
CLM-000153,TICK-001390,Missed Connection,97000,50000,68000,2025-04-23 01:10:00,2025-04-23 00:10:00,2025-04-25 00:10:00,Approved
CLM-000154,TICK-001393,Missed Connection,87000,50000,58000,2025-04-09 22:17:00,2025-04-09 16:17:00,2025-04-14 16:17:00,Approved
CLM-000155,TICK-001401,Missed Connection,45000,100000,28000,2025-11-23 07:40:00,2025-11-23 06:40:00,2025-11-25 06:40:00,Approved
CLM-000156,TICK-001413,Missed Connection,148000,100000,93000,2025-06-23 23:01:00,2025-06-23 17:01:00,2025-06-24 17:01:00,Approved
CLM-000157,TICK-001426,Missed Connection,131000,50000,87000,2025-12-23 07:19:00,2025-12-22 23:19:00,2025-12-23 23:19:00,Approved
CLM-000158,TICK-001430,Missed Connection,107000,100000,75000,2025-09-09 20:06:00,2025-09-09 13:06:00,2025-09-10 13:06:00,Approved
CLM-000159,TICK-001444,Missed Connection,200000,75000,126000,2025-02-09 21:25:00,2025-02-09 13:25:00,2025-02-11 13:25:00,Approved
CLM-000160,TICK-001463,Missed Connection,118000,50000,78000,2025-07-23 08:10:00,2025-07-23 01:10:00,2025-07-28 01:10:00,Approved
CLM-000161,TICK-001493,Missed Connection,167000,100000,105000,2025-12-09 18:35:00,2025-12-09 12:35:00,,Pending
CLM-000162,TICK-001498,Missed Connection,86000,50000,55000,2025-05-09 05:38:00,2025-05-09 01:38:00,2025-05-10 01:38:00,Approved
CLM-000163,TICK-001506,Missed Connection,94000,100000,66000,2025-09-09 16:22:00,2025-09-09 10:22:00,2025-09-12 10:22:00,Approved
CLM-000164,TICK-001509,Missed Connection,218000,50000,137000,2025-10-09 09:40:00,2025-10-09 05:40:00,2025-10-10 05:40:00,Approved
CLM-000165,TICK-001520,Missed Connection,188000,50000,119000,2025-01-09 07:23:00,2025-01-08 23:23:00,2025-01-13 23:23:00,Approved
CLM-000166,TICK-001538,Missed Connection,87000,75000,58000,2025-01-09 00:05:00,2025-01-08 23:05:00,2025-01-10 23:05:00,Approved
CLM-000167,TICK-001563,Missed Connection,105000,50000,70000,2025-12-23 17:27:00,2025-12-23 11:27:00,,Pending
CLM-000168,TICK-001589,Missed Connection,92000,50000,58000,2025-05-09 05:05:00,2025-05-09 01:05:00,2025-05-12 01:05:00,Approved
CLM-000169,TICK-001594,Missed Connection,136000,75000,95000,2025-04-09 06:39:00,2025-04-09 00:39:00,2025-04-12 00:39:00,Approved
CLM-000170,TICK-001596,Missed Connection,118000,50000,78000,2025-06-09 05:48:00,2025-06-09 04:48:00,2025-06-10 04:48:00,Approved
CLM-000171,TICK-001603,Missed Connection,174000,75000,122000,2025-07-23 08:17:00,2025-07-23 05:17:00,2025-07-27 05:17:00,Approved
CLM-000172,TICK-001605,Missed Connection,196000,50000,137000,2025-09-23 08:13:00,2025-09-23 05:13:00,2025-09-27 05:13:00,Rejected
CLM-000173,TICK-001614,Missed Connection,112000,50000,79000,2025-07-23 08:02:00,2025-07-23 04:02:00,2025-07-25 04:02:00,Approved
CLM-000174,TICK-001616,Missed Connection,82000,50000,52000,2025-03-23 00:00:00,2025-03-22 23:00:00,2025-03-24 23:00:00,Approved
CLM-000175,TICK-001627,Missed Connection,104000,75000,65000,2025-12-09 01:40:00,2025-12-08 20:40:00,2025-12-11 20:40:00,Approved
CLM-000176,TICK-001646,Missed Connection,167000,75000,105000,2025-12-09 07:35:00,2025-12-09 05:35:00,2025-12-12 05:35:00,Approved
CLM-000177,TICK-001663,Missed Connection,115000,75000,72000,2025-09-23 13:16:00,2025-09-23 06:16:00,2025-09-26 06:16:00,Approved
CLM-000178,TICK-001666,Missed Connection,142000,50000,90000,2025-06-23 17:57:00,2025-06-23 12:57:00,2025-06-27 12:57:00,Approved
CLM-000179,TICK-001679,Missed Connection,150000,100000,95000,2025-02-22 23:14:00,2025-02-22 18:14:00,2025-02-24 18:14:00,Approved
CLM-000180,TICK-001683,Missed Connection,124000,75000,78000,2025-05-09 03:30:00,2025-05-09 00:30:00,2025-05-13 00:30:00,Approved
CLM-000181,TICK-001687,Missed Connection,82000,50000,52000,2025-10-09 10:34:00,2025-10-09 08:34:00,2025-10-13 08:34:00,Approved
CLM-000182,TICK-001699,Missed Connection,138000,75000,87000,2025-07-09 12:48:00,2025-07-09 08:48:00,2025-07-10 08:48:00,Approved
CLM-000183,TICK-001712,Missed Connection,95000,50000,66000,2025-05-09 12:39:00,2025-05-09 06:39:00,2025-05-11 06:39:00,Approved
CLM-000184,TICK-001716,Missed Connection,103000,50000,72000,2025-01-23 12:11:00,2025-01-23 07:11:00,2025-01-25 07:11:00,Approved
CLM-000185,TICK-001743,Missed Connection,167000,50000,105000,2025-06-23 05:24:00,2025-06-23 01:24:00,2025-06-25 01:24:00,Approved
CLM-000186,TICK-001745,Missed Connection,56000,50000,36000,2025-05-23 08:23:00,2025-05-23 03:23:00,2025-05-24 03:23:00,Approved
CLM-000187,TICK-001760,Missed Connection,56000,75000,36000,2025-02-09 10:49:00,2025-02-09 07:49:00,2025-02-12 07:49:00,Approved
CLM-000188,TICK-001763,Missed Connection,124000,50000,78000,2025-05-09 05:30:00,2025-05-08 23:30:00,2025-05-10 23:30:00,Approved
CLM-000189,TICK-001771,Missed Connection,148000,75000,93000,2025-06-09 19:02:00,2025-06-09 11:02:00,2025-06-11 11:02:00,Approved
CLM-000190,TICK-001776,Missed Connection,102000,75000,68000,2025-11-22 22:41:00,2025-11-22 19:41:00,2025-11-26 19:41:00,Approved
CLM-000191,TICK-001784,Missed Connection,136000,50000,90000,2025-06-23 02:57:00,2025-06-23 01:57:00,2025-06-28 01:57:00,Approved
