trip_id,actual_departure_ts,actual_arrival_ts,departure_delay_minutes,arrival_delay_minutes,disruption_reason,severity_level
TRIP-000157,2025-11-22 12:07:00,2025-11-22 20:27:00,7,13,,
TRIP-000158,2025-11-23 00:00:00,2025-11-23 04:29:00,0,2,,
TRIP-000159,2025-11-23 06:14:00,2025-11-23 12:38:00,14,1,,
TRIP-000160,2025-07-22 12:13:00,2025-07-22 21:01:00,13,2,,
TRIP-000161,2025-06-08 12:06:00,2025-06-08 15:14:00,6,28,,
TRIP-000162,2025-06-08 18:29:00,2025-06-08 22:03:00,29,61,,
TRIP-000163,2025-06-22 12:18:00,2025-06-22 20:12:00,18,23,,
TRIP-000164,2025-10-08 06:00:00,2025-10-08 13:32:00,0,0,,
TRIP-000165,2025-10-08 18:00:00,2025-10-09 05:24:00,0,10,,
TRIP-000166,2025-06-22 12:22:00,2025-06-22 18:39:00,22,29,,
TRIP-000167,2025-06-22 18:00:00,2025-06-23 01:45:00,0,13,,
TRIP-000168,2025-06-22 12:18:00,2025-06-22 15:15:00,18,36,,
TRIP-000169,2025-06-22 18:45:00,2025-06-23 04:08:00,45,68,,
TRIP-000170,2025-06-23 06:00:00,2025-06-23 09:20:00,0,9,,
TRIP-000171,2025-07-09 00:20:00,2025-07-09 07:52:00,20,20,,
TRIP-000172,2025-07-09 12:00:00,2025-07-09 23:32:00,0,18,,
TRIP-000173,2025-05-22 18:00:00,2025-05-23 05:31:00,0,17,,
TRIP-000174,2025-12-22 18:39:00,2025-12-23 06:33:00,39,54,,
TRIP-000175,2025-12-22 18:00:00,2025-12-23 02:03:00,0,31,,
TRIP-000176,2025-12-23 06:09:00,2025-12-23 17:14:00,9,0,,
TRIP-000177,2025-08-08 12:20:00,2025-08-08 21:22:00,20,23,,
TRIP-000178,2025-08-08 12:16:00,2025-08-08 16:26:00,16,50,,
TRIP-000179,2025-08-08 18:00:00,2025-08-09 04:03:00,0,21,,
TRIP-000180,2025-08-22 18:02:00,2025-08-22 20:43:00,2,4,,
TRIP-000181,2025-06-22 18:01:00,2025-06-22 22:00:00,1,0,,
TRIP-000182,2025-06-23 00:23:00,2025-06-23 13:30:00,23,67,,
TRIP-000183,2025-11-08 18:19:00,2025-11-09 02:26:00,19,12,,
TRIP-000184,2025-11-09 06:00:00,2025-11-09 10:27:00,0,0,,
TRIP-000185,2025-07-08 12:15:00,2025-07-08 23:42:00,15,3,,
TRIP-000186,2025-10-08 18:42:00,2025-10-09 06:02:00,42,0,,
TRIP-000187,2025-10-09 06:00:00,2025-10-09 16:43:00,0,0,,
TRIP-000188,2025-10-09 18:06:00,2025-10-10 00:35:00,6,25,,
TRIP-000189,2025-07-08 06:21:00,2025-07-08 12:35:00,21,32,,
TRIP-000190,2025-07-08 12:33:00,2025-07-09 01:24:00,33,61,,
TRIP-000191,2025-06-22 12:18:00,2025-06-22 21:07:00,18,7,,
TRIP-000192,2025-11-22 18:00:00,2025-11-23 02:22:00,0,33,,
TRIP-000193,2025-11-23 06:00:00,2025-11-23 14:51:00,0,10,,
TRIP-000194,2025-11-23 18:00:00,2025-11-24 02:14:00,0,0,,
TRIP-000195,2025-02-22 06:00:00,2025-02-22 10:01:00,0,25,,
TRIP-000196,2025-02-22 12:14:00,2025-02-22 22:01:00,14,19,,
TRIP-000197,2025-02-23 00:11:00,2025-02-23 06:09:00,11,4,,
TRIP-000198,2025-11-22 06:00:00,2025-11-22 08:39:00,0,0,,
TRIP-000199,2025-11-22 12:00:00,2025-11-22 21:04:00,0,4,,
TRIP-000200,2025-11-23 00:30:00,2025-11-23 03:17:00,30,6,,
TRIP-000201,2025-07-08 06:16:00,2025-07-08 11:26:00,16,15,,
TRIP-000202,2025-06-22 18:14:00,2025-06-23 02:14:00,14,0,,
TRIP-000203,2025-06-23 06:00:00,2025-06-23 10:30:00,0,3,,
TRIP-000204,2025-06-23 12:02:00,2025-06-23 18:43:00,2,6,,
TRIP-000205,2025-07-08 12:00:00,2025-07-08 23:14:00,0,0,,
TRIP-000206,2025-07-09 00:20:00,2025-07-09 09:38:00,20,0,,
TRIP-000207,2025-07-09 12:16:00,2025-07-09 19:44:00,16,0,,
TRIP-000208,2025-12-08 18:12:00,2025-12-09 01:34:00,12,0,,
TRIP-000209,2025-12-09 06:31:00,2025-12-09 08:58:00,31,19,,
TRIP-000210,2025-07-22 18:01:00,2025-07-23 03:03:00,1,276,Kemacetan,High
TRIP-000211,2025-12-22 18:36:00,2025-12-22 22:16:00,36,40,,
TRIP-000212,2025-12-23 00:04:00,2025-12-23 09:43:00,4,1,,
TRIP-000213,2025-12-08 12:15:00,2025-12-08 16:26:00,15,26,,
TRIP-000214,2025-01-08 12:12:00,2025-01-08 20:04:00,12,30,,
TRIP-000215,2025-01-09 00:30:00,2025-01-09 03:07:00,30,28,,
TRIP-000216,2025-06-08 12:00:00,2025-06-08 21:58:00,0,20,,
TRIP-000217,2025-10-22 12:00:00,2025-10-23 00:36:00,0,34,,
TRIP-000218,2025-10-23 00:00:00,2025-10-23 10:43:00,0,0,,
TRIP-000219,2025-09-08 18:02:00,2025-09-09 00:37:00,2,0,,
TRIP-000220,2025-09-09 06:14:00,2025-09-09 18:14:00,14,12,,
TRIP-000221,2025-01-08 06:01:00,2025-01-08 12:10:00,1,0,,
TRIP-000222,2025-01-08 12:00:00,2025-01-08 19:36:00,0,4,,
TRIP-000223,2025-01-09 00:00:00,2025-01-09 11:14:00,0,0,,
TRIP-000224,2025-06-08 06:00:00,2025-06-08 08:46:00,0,0,,
TRIP-000225,2025-06-08 12:05:00,2025-06-08 15:20:00,5,18,,
TRIP-000226,2025-08-08 12:19:00,2025-08-09 00:41:00,19,16,,
TRIP-000227,2025-08-09 00:00:00,2025-08-09 14:09:00,0,271,Kerusakan Mesin,High
TRIP-000228,2025-08-09 12:00:00,2025-08-09 16:17:00,0,17,,
TRIP-000229,2025-06-08 18:00:00,2025-06-09 06:02:00,0,0,,
TRIP-000230,2025-06-09 06:40:00,2025-06-09 11:48:00,40,37,,
TRIP-000231,2025-09-08 12:00:00,2025-09-08 20:30:00,0,16,,
TRIP-000232,2025-09-09 00:35:00,2025-09-09 04:37:00,35,10,,
TRIP-000233,2025-02-08 06:16:00,2025-02-08 15:50:00,16,50,,
TRIP-000234,2025-02-08 18:21:00,2025-02-08 21:42:00,21,31,,
TRIP-000235,2025-02-09 00:15:00,2025-02-09 13:26:00,15,61,,
TRIP-000236,2025-05-08 18:00:00,2025-05-09 06:02:00,0,0,,
TRIP-000237,2025-05-09 06:48:00,2025-05-09 11:24:00,48,13,,
TRIP-000238,2025-10-22 06:22:00,2025-10-22 12:57:00,22,52,,
TRIP-000239,2025-07-08 12:29:00,2025-07-08 18:43:00,29,38,,
TRIP-000240,2025-07-08 18:01:00,2025-07-09 02:09:00,1,20,,
TRIP-000241,2025-08-22 06:36:00,2025-08-22 16:45:00,36,67,,
TRIP-000242,2025-10-22 18:25:00,2025-10-23 01:56:00,25,7,,
TRIP-000243,2025-10-23 06:07:00,2025-10-23 15:26:00,7,27,,
TRIP-000244,2025-09-22 18:09:00,2025-09-22 23:54:00,9,43,,
TRIP-000245,2025-09-23 00:00:00,2025-09-23 07:34:00,0,0,,
TRIP-000246,2025-09-23 12:13:00,2025-09-23 15:18:00,13,39,,
TRIP-000247,2025-08-08 18:00:00,2025-08-09 00:50:00,0,13,,
TRIP-000248,2025-01-22 12:04:00,2025-01-23 00:11:00,4,9,,
TRIP-000249,2025-01-23 00:26:00,2025-01-23 05:53:00,26,42,,
TRIP-000250,2025-01-23 06:00:00,2025-01-23 13:34:00,0,0,,
TRIP-000251,2025-10-08 12:13:00,2025-10-08 19:34:00,13,0,,
TRIP-000252,2025-10-09 00:03:00,2025-10-09 03:05:00,3,26,,
TRIP-000253,2025-10-09 06:11:00,2025-10-09 15:10:00,11,10,,
TRIP-000254,2025-06-22 12:07:00,2025-06-22 18:27:00,7,17,,
TRIP-000255,2025-06-22 18:09:00,2025-06-23 02:23:00,9,12,,
TRIP-000256,2025-06-22 12:37:00,2025-06-22 23:48:00,37,34,,
TRIP-000257,2025-06-23 00:12:00,2025-06-23 09:58:00,12,20,,
TRIP-000258,2025-07-08 12:24:00,2025-07-08 16:27:00,24,0,,
TRIP-000259,2025-07-08 18:12:00,2025-07-09 00:52:00,12,15,,
TRIP-000260,2025-12-08 12:44:00,2025-12-08 20:52:00,44,41,,
TRIP-000261,2025-12-08 12:07:00,2025-12-08 20:24:00,7,10,,
TRIP-000262,2025-12-09 00:00:00,2025-12-09 05:04:00,0,37,,
TRIP-000263,2025-12-09 06:26:00,2025-12-09 13:25:00,26,48,,
TRIP-000264,2025-01-08 06:08:00,2025-01-08 13:46:00,8,14,,
TRIP-000265,2025-01-08 18:05:00,2025-01-09 05:32:00,5,18,,
TRIP-000266,2025-09-22 12:08:00,2025-09-22 14:46:00,8,0,,
TRIP-000267,2025-03-08 06:02:00,2025-03-08 18:02:00,2,0,,
TRIP-000268,2025-11-22 12:00:00,2025-11-22 20:32:00,0,21,,
TRIP-000269,2025-05-22 06:35:00,2025-05-22 10:39:00,35,39,,
TRIP-000270,2025-05-22 12:13:00,2025-05-23 00:24:00,13,45,,
TRIP-000271,2025-06-22 12:28:00,2025-06-22 20:51:00,28,37,,
TRIP-000272,2025-06-23 00:19:00,2025-06-23 04:38:00,19,11,,
TRIP-000273,2025-06-23 06:00:00,2025-06-23 12:37:00,0,0,,
TRIP-000274,2025-10-08 12:13:00,2025-10-08 16:27:00,13,0,,
TRIP-000275,2025-10-08 18:00:00,2025-10-09 00:37:00,0,0,,
TRIP-000276,2025-07-22 06:35:00,2025-07-22 09:39:00,35,37,,
TRIP-000277,2025-07-23 00:00:00,2025-07-23 06:37:00,0,0,,
TRIP-000278,2025-07-08 06:19:00,2025-07-08 12:16:00,19,11,,
TRIP-000279,2025-07-08 12:10:00,2025-07-08 20:01:00,10,12,,
TRIP-000280,2025-01-08 18:00:00,2025-01-08 20:46:00,0,0,,
TRIP-000281,2025-01-09 00:16:00,2025-01-09 03:55:00,16,53,,
TRIP-000282,2025-07-08 06:12:00,2025-07-08 15:17:00,12,18,,
TRIP-000283,2025-07-08 18:13:00,2025-07-08 23:36:00,13,25,,
TRIP-000284,2025-08-08 18:41:00,2025-08-09 04:06:00,41,67,,
TRIP-000285,2025-06-22 06:16:00,2025-06-22 11:04:00,16,64,,
TRIP-000286,2025-06-22 12:31:00,2025-06-23 00:50:00,31,27,,
TRIP-000287,2025-01-08 18:22:00,2025-01-08 21:59:00,22,48,,
TRIP-000288,2025-01-09 00:00:00,2025-01-09 06:10:00,0,0,,
TRIP-000289,2025-01-09 06:00:00,2025-01-09 14:11:00,0,0,,
TRIP-000290,2025-12-22 12:00:00,2025-12-22 20:34:00,0,20,,
TRIP-000291,2025-12-23 00:10:00,2025-12-23 04:57:00,10,30,,
TRIP-000292,2025-12-23 06:38:00,2025-12-23 13:31:00,38,54,,
TRIP-000293,2025-08-22 18:15:00,2025-08-23 06:26:00,15,3,,
TRIP-000294,2025-03-09 00:05:00,2025-03-09 11:50:00,5,36,,
TRIP-000295,2025-03-09 12:47:00,2025-03-09 22:37:00,47,59,,
TRIP-000296,2025-04-08 18:21:00,2025-04-09 03:16:00,21,62,,
TRIP-000297,2025-04-09 06:28:00,2025-04-09 11:01:00,28,34,,
TRIP-000298,2025-01-08 06:00:00,2025-01-08 09:07:00,0,28,,
TRIP-000299,2025-01-08 12:00:00,2025-01-08 21:21:00,0,21,,
TRIP-000300,2025-11-08 12:27:00,2025-11-08 18:03:00,27,52,,
TRIP-000301,2025-12-08 18:00:00,2025-12-08 23:01:00,0,34,,
TRIP-000302,2025-12-09 00:00:00,2025-12-09 07:08:00,0,31,,
TRIP-000303,2025-10-22 06:19:00,2025-10-22 14:26:00,19,52,,
TRIP-000304,2025-10-22 18:00:00,2025-10-22 21:10:00,0,31,,
TRIP-000305,2025-10-23 00:02:00,2025-10-23 09:48:00,2,48,,
TRIP-000306,2025-07-22 18:13:00,2025-07-23 06:39:00,13,37,,
TRIP-000307,2025-07-23 06:40:00,2025-07-23 12:32:00,40,81,,
TRIP-000308,2025-07-23 12:30:00,2025-07-23 20:30:00,30,56,,
TRIP-000309,2025-09-08 18:00:00,2025-09-09 03:58:00,0,129,Kemacetan,Medium
TRIP-000310,2025-12-23 06:31:00,2025-12-23 09:43:00,31,7,,
TRIP-000311,2025-05-08 06:28:00,2025-05-08 11:11:00,28,71,,
TRIP-000312,2025-05-08 12:35:00,2025-05-09 00:39:00,35,60,,
TRIP-000313,2025-10-08 12:18:00,2025-10-08 23:28:00,18,45,,
TRIP-000314,2025-12-22 12:16:00,2025-12-22 18:09:00,16,4,,
TRIP-000315,2025-12-22 18:00:00,2025-12-23 01:49:00,0,0,,
TRIP-000316,2025-12-23 06:17:00,2025-12-23 14:56:00,17,15,,
TRIP-000317,2025-07-08 12:11:00,2025-07-08 20:30:00,11,16,,
TRIP-000318,2025-07-09 00:00:00,2025-07-09 04:27:00,0,0,,
TRIP-000319,2025-07-23 00:25:00,2025-07-23 10:11:00,25,33,,
TRIP-000320,2025-07-23 12:07:00,2025-07-23 16:03:00,7,3,,
TRIP-000321,2025-12-22 12:00:00,2025-12-22 20:02:00,0,13,,
TRIP-000322,2025-11-23 06:15:00,2025-11-23 12:51:00,15,41,,
TRIP-000323,2025-04-22 12:00:00,2025-04-22 19:32:00,0,0,,
TRIP-000324,2025-04-23 00:00:00,2025-04-23 11:22:00,0,8,,
TRIP-000325,2025-01-08 06:15:00,2025-01-08 15:57:00,15,15,,
TRIP-000326,2025-01-08 18:24:00,2025-01-09 00:14:00,24,9,,
TRIP-000327,2025-06-22 06:00:00,2025-06-22 14:59:00,0,0,,
TRIP-000328,2025-06-22 18:00:00,2025-06-23 04:43:00,0,0,,
TRIP-000329,2025-10-22 12:10:00,2025-10-23 01:39:00,10,120,Kerusakan Mesin,Medium
TRIP-000330,2025-12-22 12:09:00,2025-12-22 20:52:00,9,11,,
TRIP-000331,2025-12-23 00:32:00,2025-12-23 09:04:00,32,50,,
TRIP-000332,2025-11-22 18:17:00,2025-11-23 00:46:00,17,43,,
TRIP-000333,2025-03-22 18:12:00,2025-03-23 01:06:00,12,29,,
TRIP-000334,2025-03-23 06:00:00,2025-03-23 18:02:00,0,0,,
TRIP-000335,2025-10-22 12:07:00,2025-10-22 20:21:00,7,10,,
TRIP-000336,2025-10-23 00:08:00,2025-10-23 06:10:00,8,0,,
TRIP-000337,2025-08-22 12:15:00,2025-08-22 15:04:00,15,18,,
TRIP-000338,2025-08-22 18:07:00,2025-08-22 21:21:00,7,19,,
TRIP-000339,2025-06-22 06:15:00,2025-06-22 12:56:00,15,19,,
TRIP-000340,2025-06-22 18:28:00,2025-06-23 07:01:00,28,59,,
TRIP-000341,2025-04-08 06:20:00,2025-04-08 16:09:00,20,27,,
TRIP-000342,2025-04-08 18:08:00,2025-04-09 00:07:00,8,2,,
TRIP-000343,2025-12-09 00:06:00,2025-12-09 06:10:00,6,0,,
TRIP-000344,2025-06-08 06:29:00,2025-06-08 17:51:00,29,68,,
TRIP-000345,2025-06-08 18:00:00,2025-06-09 06:25:00,0,0,,
