booking_id,itinerary_id,passenger_id,booking_ts,booking_channel,fare_class,payment_method,is_refundable,total_legs
BKG-000037,ITI-000037,P01640,2025-10-05 16:32:00,Website,Regular,Card,True,2
BKG-000038,ITI-000038,P02088,2025-02-11 20:52:00,Mobile App,Regular,Card,True,1
BKG-000039,ITI-000039,P03224,2025-01-02 08:32:00,Counter,Regular,E-Wallet,True,2
BKG-000040,ITI-000040,P03004,2025-04-13 19:14:00,Website,Regular,E-Wallet,True,2
BKG-000041,ITI-000041,P03269,2025-11-02 07:23:00,Website,Regular,Bank Transfer,True,2
BKG-000042,ITI-000042,P02900,2025-05-24 08:44:00,Mobile App,Flexi,E-Wallet,True,2
BKG-000043,ITI-000043,P00093,2025-12-09 16:26:00,Counter,Promo,Cash,False,2
BKG-000044,ITI-000044,P00539,2025-04-29 15:48:00,Mobile App,Regular,Card,True,3
BKG-000045,ITI-000045,P00760,2025-07-07 12:49:00,Website,Flexi,Bank Transfer,True,1
BKG-000046,ITI-000046,P03901,2025-12-17 21:16:00,Mobile App,Regular,E-Wallet,True,2
BKG-000047,ITI-000047,P03763,2025-11-11 07:47:00,Mobile App,Regular,Card,True,1
BKG-000048,ITI-000048,P01837,2025-06-13 10:31:00,Counter,Regular,E-Wallet,True,2
BKG-000049,ITI-000049,P01969,2025-10-09 08:32:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000050,ITI-000050,P03984,2025-11-11 07:27:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000051,ITI-000051,P00854,2024-12-18 11:56:00,Website,Regular,Cash,True,2
BKG-000052,ITI-000052,P02447,2025-06-27 16:45:00,Agent,Regular,E-Wallet,True,3
BKG-000053,ITI-000053,P00789,2025-10-01 10:54:00,Agent,Flexi,Card,True,2
BKG-000054,ITI-000054,P02386,2025-07-28 11:23:00,Counter,Regular,Card,True,1
BKG-000055,ITI-000055,P00370,2025-07-04 13:29:00,Website,Regular,E-Wallet,True,3
BKG-000056,ITI-000056,P03650,2025-02-17 21:08:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000057,ITI-000057,P01498,2025-10-20 21:19:00,Counter,Regular,E-Wallet,True,2
BKG-000058,ITI-000058,P00383,2025-07-17 12:34:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000059,ITI-000059,P02861,2025-07-16 18:02:00,Agent,Regular,Card,True,2
BKG-000060,ITI-000060,P00122,2025-02-07 15:47:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000061,ITI-000061,P01770,2025-07-06 13:52:00,Website,Regular,E-Wallet,True,2
BKG-000062,ITI-000062,P01330,2025-07-06 09:26:00,Mobile App,Regular,E-Wallet,True,2
BKG-000063,ITI-000063,P01387,2025-10-11 11:00:00,Website,Regular,Bank Transfer,True,2
BKG-000064,ITI-000064,P02463,2025-10-02 09:04:00,Website,Promo,Bank Transfer,False,1
BKG-000065,ITI-000065,P00627,2025-05-31 16:23:00,Mobile App,Regular,Card,True,3
BKG-000066,ITI-000066,P01075,2025-05-25 16:23:00,Counter,Flexi,Card,True,1
BKG-000067,ITI-000067,P02884,2025-06-17 18:04:00,Mobile App,Regular,E-Wallet,True,2
BKG-000068,ITI-000068,P02517,2025-09-08 12:16:00,Counter,Promo,E-Wallet,False,3
BKG-000069,ITI-000069,P00806,2025-03-27 17:49:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000070,ITI-000070,P00717,2025-08-04 08:10:00,Mobile App,Flexi,Cash,True,3
BKG-000071,ITI-000071,P01726,2025-11-30 13:32:00,Website,Flexi,Bank Transfer,True,3
BKG-000072,ITI-000072,P01358,2025-12-01 18:40:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000073,ITI-000073,P01148,2025-05-25 12:10:00,Website,Flexi,E-Wallet,True,2
BKG-000074,ITI-000074,P00236,2025-08-17 19:23:00,Agent,Regular,E-Wallet,True,2
BKG-000075,ITI-000075,P01394,2025-01-06 07:24:00,Mobile App,Regular,E-Wallet,True,3
BKG-000076,ITI-000076,P00188,2025-09-18 13:29:00,Mobile App,Regular,E-Wallet,True,2
BKG-000077,ITI-000077,P02743,2025-06-27 10:21:00,Website,Regular,Card,True,1
BKG-000078,ITI-000078,P03504,2025-07-04 15:45:00,Mobile App,Flexi,Card,True,2
BKG-000079,ITI-000079,P02080,2025-06-02 10:33:00,Website,Regular,Cash,True,1
BKG-000080,ITI-000080,P03150,2025-10-06 11:30:00,Agent,Regular,E-Wallet,True,3
BKG-000081,ITI-000081,P03328,2025-11-20 09:31:00,Website,Flexi,E-Wallet,True,3
BKG-000082,ITI-000082,P00401,2025-06-22 12:01:00,Website,Regular,Bank Transfer,True,1
BKG-000083,ITI-000083,P01222,2025-05-28 09:31:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000084,ITI-000084,P00211,2025-05-31 13:15:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000085,ITI-000085,P02921,2025-09-18 20:33:00,Agent,Regular,Cash,True,2
BKG-000086,ITI-000086,P03473,2025-06-21 07:01:00,Agent,Flexi,Bank Transfer,True,2
BKG-000087,ITI-000087,P00825,2025-05-30 08:04:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000088,ITI-000088,P00881,2025-07-07 17:17:00,Mobile App,Promo,E-Wallet,False,3
BKG-000089,ITI-000089,P02501,2025-05-04 17:25:00,Mobile App,Regular,Card,True,1
BKG-000090,ITI-000090,P00064,2025-12-03 21:21:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000091,ITI-000091,P00267,2025-12-02 11:36:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000092,ITI-000092,P01312,2025-12-05 14:19:00,Agent,Regular,Bank Transfer,True,2
BKG-000093,ITI-000093,P03988,2025-07-12 17:25:00,Website,Regular,Card,True,1
BKG-000094,ITI-000094,P02113,2025-07-30 13:15:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000095,ITI-000095,P02327,2025-05-12 09:13:00,Website,Regular,Bank Transfer,True,1
BKG-000096,ITI-000096,P01030,2025-06-02 07:31:00,Mobile App,Regular,E-Wallet,True,2
BKG-000097,ITI-000097,P02892,2025-08-20 10:54:00,Mobile App,Regular,Card,True,1
BKG-000098,ITI-000098,P03052,2025-06-21 12:52:00,Mobile App,Regular,E-Wallet,True,2
BKG-000099,ITI-000099,P00330,2025-10-18 10:00:00,Counter,Regular,Bank Transfer,True,2
BKG-000100,ITI-000100,P02960,2025-06-24 07:01:00,Mobile App,Promo,Bank Transfer,False,1
BKG-000101,ITI-000101,P01292,2025-09-30 19:52:00,Agent,Regular,E-Wallet,True,3
BKG-000102,ITI-000102,P03183,2025-06-21 08:39:00,Website,Regular,Bank Transfer,True,2
BKG-000103,ITI-000103,P02178,2025-06-18 10:44:00,Agent,Regular,Bank Transfer,True,1
BKG-000104,ITI-000104,P00223,2025-10-28 20:21:00,Website,Promo,Cash,False,3
BKG-000105,ITI-000105,P01136,2025-02-04 11:21:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000106,ITI-000106,P00666,2025-10-27 07:06:00,Mobile App,Regular,E-Wallet,True,3
BKG-000107,ITI-000107,P00868,2025-06-10 16:57:00,Agent,Flexi,E-Wallet,True,3
BKG-000108,ITI-000108,P01610,2025-05-29 21:04:00,Website,Flexi,Card,True,3
BKG-000109,ITI-000109,P02078,2025-06-29 13:24:00,Website,Flexi,Bank Transfer,True,3
BKG-000110,ITI-000110,P01004,2025-11-20 17:31:00,Website,Regular,Bank Transfer,True,3
BKG-000111,ITI-000111,P02043,2025-06-22 10:00:00,Website,Promo,E-Wallet,False,1
BKG-000112,ITI-000112,P02808,2025-12-21 16:25:00,Website,Flexi,Card,True,2
BKG-000113,ITI-000113,P02559,2025-12-04 07:27:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000114,ITI-000114,P02884,2024-12-10 10:33:00,Mobile App,Regular,E-Wallet,True,2
BKG-000115,ITI-000115,P01653,2025-05-20 17:07:00,Website,Regular,Card,True,1
BKG-000116,ITI-000116,P01871,2025-09-24 10:51:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000117,ITI-000117,P01658,2025-08-18 08:11:00,Mobile App,Regular,Card,True,2
BKG-000118,ITI-000118,P03403,2024-12-22 18:04:00,Mobile App,Regular,Card,True,3
BKG-000119,ITI-000119,P02987,2025-06-05 07:47:00,Agent,Promo,E-Wallet,False,2
BKG-000120,ITI-000120,P01644,2025-07-11 21:05:00,Website,Regular,Bank Transfer,True,3
BKG-000121,ITI-000121,P03736,2025-05-16 12:31:00,Agent,Regular,Bank Transfer,True,2
BKG-000122,ITI-000122,P02607,2025-09-07 19:26:00,Mobile App,Promo,Bank Transfer,False,2
BKG-000123,ITI-000123,P00370,2025-02-03 10:46:00,Mobile App,Regular,E-Wallet,True,3
BKG-000124,ITI-000124,P03694,2025-04-13 21:43:00,Mobile App,Regular,Card,True,2
BKG-000125,ITI-000125,P03632,2025-12-15 07:28:00,Counter,Flexi,E-Wallet,True,2
BKG-000126,ITI-000126,P00495,2025-10-14 14:50:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000127,ITI-000127,P00747,2025-07-17 07:26:00,Website,Promo,E-Wallet,False,2
BKG-000128,ITI-000128,P00593,2025-06-25 20:44:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000129,ITI-000129,P00032,2025-07-31 15:17:00,Website,Regular,E-Wallet,True,1
BKG-000130,ITI-000130,P03073,2025-10-19 11:40:00,Agent,Regular,E-Wallet,True,2
BKG-000131,ITI-000131,P02295,2025-08-27 16:14:00,Website,Promo,Card,False,3
BKG-000132,ITI-000132,P02742,2025-07-29 07:09:00,Mobile App,Regular,E-Wallet,True,1
BKG-000133,ITI-000133,P02683,2024-12-26 13:02:00,Website,Regular,Card,True,3
BKG-000134,ITI-000134,P03456,2025-05-28 18:47:00,Website,Regular,Card,True,1
BKG-000135,ITI-000135,P03164,2025-09-21 10:34:00,Mobile App,Flexi,Bank Transfer,True,3
BKG-000136,ITI-000136,P03635,2025-06-04 15:29:00,Website,Regular,Card,True,2
BKG-000137,ITI-000137,P03395,2025-06-04 12:38:00,Counter,Regular,E-Wallet,True,2
BKG-000138,ITI-000138,P03183,2025-06-08 15:59:00,Mobile App,Regular,Cash,True,2
BKG-000139,ITI-000139,P03294,2025-11-25 10:39:00,Website,Regular,Bank Transfer,True,1
BKG-000140,ITI-000140,P03223,2025-12-03 13:09:00,Website,Flexi,Card,True,3
BKG-000141,ITI-000141,P03047,2024-12-29 17:37:00,Agent,Regular,E-Wallet,True,2
BKG-000142,ITI-000142,P03478,2025-09-12 15:20:00,Counter,Regular,Bank Transfer,True,1
BKG-000143,ITI-000143,P01352,2025-02-21 12:57:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000144,ITI-000144,P00428,2025-11-05 15:50:00,Mobile App,Flexi,Card,True,1
BKG-000145,ITI-000145,P01538,2025-05-20 17:06:00,Mobile App,Flexi,Card,True,2
BKG-000146,ITI-000146,P03672,2025-06-16 10:32:00,Mobile App,Flexi,E-Wallet,True,3
BKG-000147,ITI-000147,P01540,2025-10-04 07:24:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000148,ITI-000148,P00511,2025-06-23 15:40:00,Mobile App,Flexi,Cash,True,1
BKG-000149,ITI-000149,P02933,2025-06-28 12:26:00,Mobile App,Regular,Card,True,2
BKG-000150,ITI-000150,P03980,2025-06-23 12:30:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000151,ITI-000151,P03663,2024-12-23 16:05:00,Website,Regular,E-Wallet,True,2
BKG-000152,ITI-000152,P03203,2025-06-08 17:10:00,Agent,Regular,E-Wallet,True,2
BKG-000153,ITI-000153,P01211,2025-07-14 16:27:00,Counter,Regular,E-Wallet,True,1
BKG-000154,ITI-000154,P02822,2025-06-02 09:29:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000155,ITI-000155,P03521,2025-06-12 19:02:00,Agent,Promo,E-Wallet,False,1
BKG-000156,ITI-000156,P03850,2024-12-31 16:36:00,Mobile App,Promo,Cash,False,3
BKG-000157,ITI-000157,P00274,2025-12-10 11:55:00,Website,Regular,E-Wallet,True,3
BKG-000158,ITI-000158,P02158,2025-07-28 09:45:00,Mobile App,Flexi,Card,True,1
BKG-000159,ITI-000159,P01030,2025-02-11 14:17:00,Website,Regular,Bank Transfer,True,3
BKG-000160,ITI-000160,P02830,2025-06-09 10:24:00,Website,Regular,E-Wallet,True,2
BKG-000161,ITI-000161,P01928,2025-03-30 10:59:00,Agent,Flexi,Bank Transfer,True,2
BKG-000162,ITI-000162,P02209,2024-12-09 20:07:00,Mobile App,Promo,E-Wallet,False,2
BKG-000163,ITI-000163,P00622,2025-10-14 20:24:00,Mobile App,Regular,Card,True,1
BKG-000164,ITI-000164,P00553,2025-02-21 12:45:00,Mobile App,Promo,E-Wallet,False,2
BKG-000165,ITI-000165,P02195,2025-11-14 11:46:00,Website,Regular,Bank Transfer,True,2
BKG-000166,ITI-000166,P03987,2025-09-23 08:54:00,Agent,Regular,E-Wallet,True,3
BKG-000167,ITI-000167,P02594,2025-04-08 14:50:00,Mobile App,Flexi,E-Wallet,True,2
BKG-000168,ITI-000168,P00807,2025-06-27 15:53:00,Counter,Regular,E-Wallet,True,3
BKG-000169,ITI-000169,P02261,2025-08-15 21:27:00,Agent,Regular,E-Wallet,True,1
BKG-000170,ITI-000170,P01814,2025-12-16 12:27:00,Website,Regular,E-Wallet,True,3
BKG-000171,ITI-000171,P00386,2025-04-28 19:28:00,Mobile App,Regular,Card,True,2
BKG-000172,ITI-000172,P00406,2025-09-16 12:32:00,Agent,Promo,Bank Transfer,False,3
BKG-000173,ITI-000173,P01329,2025-12-21 11:51:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000174,ITI-000174,P00478,2025-06-29 08:17:00,Counter,Regular,E-Wallet,True,2
BKG-000175,ITI-000175,P01867,2025-06-24 13:24:00,Mobile App,Promo,Cash,False,3
BKG-000176,ITI-000176,P01241,2025-12-11 10:45:00,Mobile App,Promo,E-Wallet,False,1
BKG-000177,ITI-000177,P03794,2025-11-21 08:16:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000178,ITI-000178,P02443,2025-03-30 21:29:00,Mobile App,Regular,Cash,True,2
BKG-000179,ITI-000179,P03501,2025-01-04 16:03:00,Website,Regular,Cash,True,2
BKG-000180,ITI-000180,P03699,2025-06-05 10:41:00,Website,Promo,E-Wallet,False,2
BKG-000181,ITI-000181,P02279,2025-10-19 12:52:00,Website,Regular,Card,True,1
BKG-000182,ITI-000182,P01753,2025-12-15 19:08:00,Agent,Regular,Bank Transfer,True,2
BKG-000183,ITI-000183,P02760,2025-11-02 19:15:00,Website,Regular,Bank Transfer,True,2
BKG-000184,ITI-000184,P01274,2025-03-05 11:10:00,Mobile App,Promo,Bank Transfer,False,2
BKG-000185,ITI-000185,P03231,2025-10-16 19:31:00,Mobile App,Regular,E-Wallet,True,2
BKG-000186,ITI-000186,P01032,2025-08-18 15:46:00,Agent,Regular,Bank Transfer,True,2
BKG-000187,ITI-000187,P02061,2025-05-29 09:12:00,Website,Flexi,Bank Transfer,True,2
BKG-000188,ITI-000188,P00150,2025-03-26 18:05:00,Website,Promo,Cash,False,2
BKG-000189,ITI-000189,P03192,2025-12-06 07:44:00,Counter,Regular,Bank Transfer,True,2
BKG-000190,ITI-000190,P03131,2025-05-22 12:16:00,Mobile App,Flexi,E-Wallet,True,3
BKG-000191,ITI-000191,P00399,2025-09-13 08:22:00,Agent,Regular,E-Wallet,True,2
BKG-000192,ITI-000192,P01225,2025-05-25 16:08:00,Mobile App,Promo,Bank Transfer,False,3
BKG-000193,ITI-000193,P02196,2025-10-09 12:35:00,Counter,Regular,E-Wallet,True,1
BKG-000194,ITI-000194,P02392,2025-01-24 13:13:00,Agent,Promo,Card,False,2
BKG-000195,ITI-000195,P03582,2025-11-09 13:32:00,Mobile App,Regular,Card,True,2
BKG-000196,ITI-000196,P03170,2025-12-12 07:41:00,Website,Regular,E-Wallet,True,3
BKG-000197,ITI-000197,P00523,2025-08-09 15:29:00,Mobile App,Regular,E-Wallet,True,3
BKG-000198,ITI-000198,P00384,2025-09-02 17:56:00,Mobile App,Regular,E-Wallet,True,1
BKG-000199,ITI-000199,P00517,2025-05-14 17:57:00,Agent,Regular,Card,True,2
BKG-000200,ITI-000200,P03315,2025-07-03 15:21:00,Agent,Regular,Cash,True,2
BKG-000201,ITI-000201,P01663,2025-05-20 08:41:00,Agent,Regular,Bank Transfer,True,3
BKG-000202,ITI-000202,P02104,2025-06-15 21:23:00,Website,Flexi,Cash,True,2
BKG-000203,ITI-000203,P01694,2025-07-02 18:28:00,Mobile App,Promo,Bank Transfer,False,3
BKG-000204,ITI-000204,P00033,2025-05-27 18:26:00,Mobile App,Regular,Card,True,2
BKG-000205,ITI-000205,P00648,2025-07-13 19:20:00,Website,Promo,E-Wallet,False,1
BKG-000206,ITI-000206,P02139,2025-12-14 09:53:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000207,ITI-000207,P03306,2025-11-29 12:50:00,Mobile App,Flexi,Bank Transfer,True,1
BKG-000208,ITI-000208,P03395,2025-06-30 07:05:00,Agent,Regular,E-Wallet,True,2
BKG-000209,ITI-000209,P03607,2025-09-05 17:16:00,Website,Regular,Bank Transfer,True,1
BKG-000210,ITI-000210,P01202,2025-12-21 20:32:00,Mobile App,Promo,Card,False,3
BKG-000211,ITI-000211,P03302,2025-04-09 10:15:00,Agent,Regular,Card,True,2
BKG-000212,ITI-000212,P01433,2025-10-14 14:20:00,Mobile App,Flexi,Bank Transfer,True,1
BKG-000213,ITI-000213,P02359,2025-07-21 18:34:00,Mobile App,Regular,Card,True,2
BKG-000214,ITI-000214,P03693,2025-04-02 17:56:00,Website,Regular,E-Wallet,True,3
BKG-000215,ITI-000215,P00983,2025-07-23 07:08:00,Mobile App,Regular,E-Wallet,True,2
BKG-000216,ITI-000216,P02737,2025-11-08 17:08:00,Website,Flexi,Bank Transfer,True,3
BKG-000217,ITI-000217,P01765,2024-12-21 11:42:00,Counter,Regular,Card,True,1
BKG-000218,ITI-000218,P03000,2025-07-04 15:40:00,Mobile App,Regular,E-Wallet,True,3
BKG-000219,ITI-000219,P02671,2025-06-04 14:59:00,Website,Regular,E-Wallet,True,2
BKG-000220,ITI-000220,P00555,2025-09-04 19:45:00,Mobile App,Regular,Card,True,2
BKG-000221,ITI-000221,P03826,2025-12-04 19:57:00,Agent,Regular,E-Wallet,True,2
BKG-000222,ITI-000222,P02898,2025-11-20 10:24:00,Website,Flexi,Bank Transfer,True,2
BKG-000223,ITI-000223,P01260,2025-08-26 12:00:00,Agent,Regular,Card,True,3
BKG-000224,ITI-000224,P02923,2025-05-23 17:29:00,Mobile App,Flexi,Card,True,2
BKG-000225,ITI-000225,P02162,2025-08-13 21:50:00,Mobile App,Promo,Bank Transfer,False,2
BKG-000226,ITI-000226,P03549,2025-09-29 21:00:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000227,ITI-000227,P02232,2025-05-20 07:03:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000228,ITI-000228,P03804,2025-05-27 09:44:00,Mobile App,Regular,E-Wallet,True,3
BKG-000229,ITI-000229,P00823,2025-01-14 16:28:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000230,ITI-000230,P02348,2025-07-10 15:27:00,Website,Regular,E-Wallet,True,2
BKG-000231,ITI-000231,P02720,2025-10-30 15:29:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000232,ITI-000232,P02950,2025-06-30 08:00:00,Counter,Regular,Bank Transfer,True,3
BKG-000233,ITI-000233,P02195,2025-03-06 17:15:00,Counter,Promo,Cash,False,2
BKG-000234,ITI-000234,P00780,2025-05-03 10:57:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000235,ITI-000235,P03013,2025-07-21 09:42:00,Website,Regular,E-Wallet,True,1
BKG-000236,ITI-000236,P03189,2025-08-16 19:22:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000237,ITI-000237,P03116,2025-08-05 10:02:00,Agent,Regular,E-Wallet,True,2
BKG-000238,ITI-000238,P01619,2025-06-15 13:30:00,Counter,Flexi,Bank Transfer,True,2
BKG-000239,ITI-000239,P00239,2025-05-12 14:15:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000240,ITI-000240,P03453,2025-08-19 21:45:00,Mobile App,Flexi,Card,True,2
BKG-000241,ITI-000241,P00961,2024-12-23 21:31:00,Mobile App,Regular,E-Wallet,True,2
BKG-000242,ITI-000242,P02436,2025-10-25 20:57:00,Website,Flexi,E-Wallet,True,1
BKG-000243,ITI-000243,P03453,2025-02-26 09:59:00,Website,Regular,E-Wallet,True,2
BKG-000244,ITI-000244,P00229,2025-06-27 15:52:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000245,ITI-000245,P03929,2025-07-06 12:10:00,Website,Regular,Card,True,3
BKG-000246,ITI-000246,P01012,2025-09-14 08:02:00,Mobile App,Promo,E-Wallet,False,2
BKG-000247,ITI-000247,P03710,2025-10-14 13:39:00,Mobile App,Flexi,Bank Transfer,True,2
BKG-000248,ITI-000248,P00193,2025-11-12 16:10:00,Mobile App,Promo,Cash,False,1
BKG-000249,ITI-000249,P00836,2025-05-23 14:11:00,Counter,Promo,Bank Transfer,False,2
BKG-000250,ITI-000250,P00980,2025-08-13 13:51:00,Website,Promo,Card,False,2
BKG-000251,ITI-000251,P00149,2025-01-31 19:29:00,Agent,Flexi,Bank Transfer,True,3
BKG-000252,ITI-000252,P02573,2025-03-24 07:24:00,Website,Flexi,Bank Transfer,True,2
BKG-000253,ITI-000253,P03017,2025-06-21 21:04:00,Mobile App,Regular,Bank Transfer,True,1
BKG-000254,ITI-000254,P01182,2025-05-18 11:11:00,Agent,Flexi,E-Wallet,True,3
BKG-000255,ITI-000255,P01612,2025-05-13 21:31:00,Mobile App,Promo,Card,False,2
BKG-000256,ITI-000256,P03790,2025-07-02 14:52:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000257,ITI-000257,P01564,2025-04-14 19:16:00,Counter,Regular,Bank Transfer,True,2
BKG-000258,ITI-000258,P03981,2025-06-07 10:28:00,Mobile App,Promo,Card,False,2
BKG-000259,ITI-000259,P00653,2025-08-11 07:26:00,Mobile App,Flexi,E-Wallet,True,3
BKG-000260,ITI-000260,P00199,2025-06-16 11:32:00,Website,Regular,Card,True,2
BKG-000261,ITI-000261,P00062,2025-06-24 18:04:00,Website,Flexi,Bank Transfer,True,2
BKG-000262,ITI-000262,P00851,2025-11-24 18:51:00,Mobile App,Regular,E-Wallet,True,3
BKG-000263,ITI-000263,P03039,2025-12-17 11:52:00,Website,Flexi,Bank Transfer,True,1
BKG-000264,ITI-000264,P03879,2025-06-30 10:28:00,Agent,Flexi,Bank Transfer,True,2
BKG-000265,ITI-000265,P02033,2025-02-27 12:21:00,Mobile App,Regular,E-Wallet,True,2
BKG-000266,ITI-000266,P03523,2025-01-31 09:41:00,Website,Regular,E-Wallet,True,2
BKG-000267,ITI-000267,P01305,2025-05-26 16:24:00,Website,Regular,Bank Transfer,True,2
BKG-000268,ITI-000268,P03310,2025-04-26 20:45:00,Mobile App,Flexi,E-Wallet,True,3
BKG-000269,ITI-000269,P03486,2025-02-08 11:32:00,Mobile App,Promo,Card,False,1
BKG-000270,ITI-000270,P00322,2025-04-10 12:57:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000271,ITI-000271,P03392,2025-03-20 07:46:00,Mobile App,Regular,Cash,True,2
BKG-000272,ITI-000272,P01097,2025-01-12 21:03:00,Agent,Regular,Bank Transfer,True,2
BKG-000273,ITI-000273,P03634,2025-05-03 07:35:00,Agent,Regular,E-Wallet,True,3
BKG-000274,ITI-000274,P01840,2025-11-29 12:23:00,Mobile App,Regular,Cash,True,2
BKG-000275,ITI-000275,P02069,2025-11-13 08:04:00,Agent,Regular,Bank Transfer,True,3
BKG-000276,ITI-000276,P01763,2025-11-13 15:28:00,Mobile App,Regular,Card,True,1
