loyalty_transaction_id,passenger_id,transaction_ts,transaction_type,points_transacted,points_balance_after,reference_id
LTX-0000034,P02016,2025-11-13 09:00:00,EARN,18,195,BKG-002067
LTX-0000035,P01618,2025-05-30 09:00:00,EARN,61,61,BKG-000011
LTX-0000036,P01618,2025-12-16 09:00:00,EARN,50,111,BKG-004551
LTX-0000037,P01205,2025-05-11 09:00:00,EARN,34,34,BKG-007396
LTX-0000038,P01205,2025-05-24 09:00:00,EARN,53,87,BKG-008908
LTX-0000039,P01205,2025-09-21 09:00:00,EARN,72,159,BKG-002736
LTX-0000040,P01205,2025-09-26 09:00:00,EARN,43,202,BKG-000012
LTX-0000041,P00522,2025-03-01 09:00:00,EARN,42,42,BKG-008230
LTX-0000042,P00522,2025-05-16 09:00:00,EARN,28,70,BKG-002709
LTX-0000043,P00522,2025-06-16 09:00:00,EARN,36,106,BKG-000013
LTX-0000044,P00522,2025-11-26 09:00:00,EARN,10,116,BKG-002581
LTX-0000045,P01174,2024-12-29 09:00:00,EARN,18,18,BKG-011787
LTX-0000046,P01174,2025-03-25 09:00:00,EARN,18,36,BKG-005973
LTX-0000047,P01174,2025-09-26 09:00:00,EARN,55,91,BKG-000014
LTX-0000048,P02661,2025-05-23 09:00:00,EARN,10,10,BKG-001090
LTX-0000049,P02661,2025-05-23 18:00:00,REDEEM,-10,0,BKG-001090
LTX-0000050,P02661,2025-06-18 09:00:00,EARN,22,22,BKG-002160
LTX-0000051,P02661,2025-06-18 18:00:00,REDEEM,-10,12,BKG-002160
LTX-0000052,P02661,2025-07-02 09:00:00,EARN,44,56,BKG-003660
LTX-0000053,P02661,2025-11-29 09:00:00,EARN,22,78,BKG-012230
LTX-0000054,P02661,2025-12-17 09:00:00,EARN,12,90,BKG-000015
LTX-0000055,P03194,2025-01-16 09:00:00,EARN,34,34,BKG-011191
LTX-0000056,P03194,2025-04-20 09:00:00,EARN,44,78,BKG-007792
LTX-0000057,P03194,2025-05-24 09:00:00,EARN,43,121,BKG-000350
LTX-0000058,P03194,2025-06-09 09:00:00,EARN,62,183,BKG-000016
LTX-0000059,P03194,2025-06-28 09:00:00,EARN,86,269,BKG-004751
LTX-0000060,P00012,2025-03-05 09:00:00,EARN,14,14,BKG-008423
LTX-0000061,P00012,2025-05-27 09:00:00,EARN,7,21,BKG-000326
LTX-0000062,P00012,2025-07-08 09:00:00,EARN,39,60,BKG-000017
LTX-0000063,P00012,2025-07-08 18:00:00,REDEEM,-30,30,BKG-000017
LTX-0000064,P00012,2025-07-12 09:00:00,EARN,63,93,BKG-000378
LTX-0000065,P00012,2025-09-11 09:00:00,EARN,69,162,BKG-003209
LTX-0000066,P02987,2025-02-05 09:00:00,EARN,26,26,BKG-000018
LTX-0000067,P02987,2025-06-05 09:00:00,EARN,19,45,BKG-000119
LTX-0000068,P02987,2025-06-23 09:00:00,EARN,20,65,BKG-003574
LTX-0000069,P00261,2025-06-02 09:00:00,EARN,46,46,BKG-000019
LTX-0000070,P03318,2025-04-15 09:00:00,EARN,57,57,BKG-012341
LTX-0000071,P03318,2025-06-17 09:00:00,EARN,41,98,BKG-000020
LTX-0000072,P03318,2025-07-18 09:00:00,EARN,27,125,BKG-002131
LTX-0000073,P03318,2025-12-16 09:00:00,EARN,45,170,BKG-004886
LTX-0000074,P01144,2025-02-25 09:00:00,EARN,46,46,BKG-006316
LTX-0000075,P01144,2025-06-10 09:00:00,EARN,87,133,BKG-002687
LTX-0000076,P01144,2025-06-13 09:00:00,EARN,78,211,BKG-002870
LTX-0000077,P01144,2025-10-26 09:00:00,EARN,46,257,BKG-010126
LTX-0000078,P01144,2025-10-26 18:00:00,REDEEM,-30,227,BKG-010126
LTX-0000079,P01144,2025-12-13 09:00:00,EARN,57,284,BKG-000021
LTX-0000080,P01478,2025-01-18 09:00:00,EARN,10,10,BKG-007992
LTX-0000081,P01478,2025-03-13 09:00:00,EARN,48,58,BKG-000022
LTX-0000082,P01478,2025-05-22 09:00:00,EARN,48,106,BKG-001344
LTX-0000083,P01478,2025-06-26 09:00:00,EARN,82,188,BKG-006532
LTX-0000084,P02038,2025-05-17 09:00:00,EARN,58,58,BKG-004951
LTX-0000085,P02038,2025-06-20 09:00:00,EARN,32,90,BKG-000023
LTX-0000086,P02038,2025-06-20 18:00:00,REDEEM,-10,80,BKG-000023
LTX-0000087,P02038,2025-07-08 09:00:00,EARN,30,110,BKG-009192
LTX-0000088,P00350,2025-03-29 09:00:00,EARN,38,38,BKG-008141
LTX-0000089,P00350,2025-05-25 09:00:00,EARN,25,63,BKG-000718
LTX-0000090,P00350,2025-05-27 09:00:00,EARN,30,93,BKG-006418
LTX-0000091,P00350,2025-06-22 09:00:00,EARN,60,153,BKG-010895
LTX-0000092,P00350,2025-07-21 09:00:00,EARN,53,206,BKG-000024
LTX-0000093,P00350,2025-12-18 09:00:00,EARN,34,240,BKG-009151
LTX-0000094,P00229,2025-02-14 09:00:00,EARN,41,41,BKG-011340
LTX-0000095,P00229,2025-03-10 09:00:00,EARN,31,72,BKG-008523
LTX-0000096,P00229,2025-06-20 09:00:00,EARN,25,97,BKG-000025
LTX-0000097,P00229,2025-06-27 09:00:00,EARN,28,125,BKG-000244
LTX-0000098,P00229,2025-09-19 09:00:00,EARN,42,167,BKG-006232
LTX-0000099,P00229,2025-10-24 09:00:00,EARN,10,177,BKG-012274
LTX-0000100,P00229,2025-11-22 09:00:00,EARN,19,196,BKG-001295
LTX-0000101,P00559,2025-02-07 09:00:00,EARN,75,75,BKG-000026
LTX-0000102,P00559,2025-11-24 09:00:00,EARN,40,115,BKG-004784
LTX-0000103,P00559,2025-12-02 09:00:00,EARN,72,187,BKG-008005
LTX-0000104,P00121,2025-05-02 09:00:00,EARN,16,16,BKG-006982
LTX-0000105,P00121,2025-12-19 09:00:00,EARN,12,28,BKG-000027
LTX-0000106,P00121,2025-12-19 18:00:00,REDEEM,-20,8,BKG-000027
LTX-0000107,P01407,2025-02-01 09:00:00,EARN,40,40,BKG-011275
LTX-0000108,P01407,2025-04-23 09:00:00,EARN,34,74,BKG-001139
LTX-0000109,P01407,2025-05-25 09:00:00,EARN,10,84,BKG-002758
LTX-0000110,P01407,2025-06-15 09:00:00,EARN,71,155,BKG-004473
LTX-0000111,P01407,2025-06-29 09:00:00,EARN,60,215,BKG-001187
LTX-0000112,P01407,2025-08-27 09:00:00,EARN,56,271,BKG-000028
LTX-0000113,P02454,2025-02-21 09:00:00,EARN,28,28,BKG-011314
LTX-0000114,P02454,2025-06-19 09:00:00,EARN,87,115,BKG-000029
LTX-0000115,P02454,2025-07-10 09:00:00,EARN,32,147,BKG-006059
LTX-0000116,P02454,2025-08-29 09:00:00,EARN,33,180,BKG-012295
LTX-0000117,P02454,2025-09-24 09:00:00,EARN,11,191,BKG-008361
LTX-0000118,P03676,2025-03-23 09:00:00,EARN,40,40,BKG-000030
LTX-0000119,P03676,2025-03-23 18:00:00,REDEEM,-30,10,BKG-000030
LTX-0000120,P03676,2025-10-28 09:00:00,EARN,45,55,BKG-005173
LTX-0000121,P03676,2025-11-03 09:00:00,EARN,16,71,BKG-002358
LTX-0000122,P03676,2025-11-15 09:00:00,EARN,37,108,BKG-003623
LTX-0000123,P03608,2025-05-27 09:00:00,EARN,10,10,BKG-000358
LTX-0000124,P03608,2025-08-10 09:00:00,EARN,63,73,BKG-000031
LTX-0000125,P03608,2025-12-06 09:00:00,EARN,19,92,BKG-012241
LTX-0000126,P02077,2025-04-21 09:00:00,EARN,51,51,BKG-012101
LTX-0000127,P02077,2025-05-13 09:00:00,EARN,66,117,BKG-010352
LTX-0000128,P02077,2025-05-13 18:00:00,REDEEM,-10,107,BKG-010352
LTX-0000129,P02077,2025-06-28 09:00:00,EARN,8,115,BKG-000032
LTX-0000130,P02077,2025-07-03 09:00:00,EARN,48,163,BKG-002409
LTX-0000131,P02077,2025-07-21 09:00:00,EARN,75,238,BKG-012334
LTX-0000132,P02077,2025-08-05 09:00:00,EARN,55,293,BKG-003650
LTX-0000133,P02682,2025-06-01 09:00:00,EARN,59,59,BKG-000033
LTX-0000134,P02965,2025-02-25 09:00:00,EARN,60,60,BKG-004408
LTX-0000135,P02965,2025-03-03 09:00:00,EARN,38,98,BKG-007895
LTX-0000136,P02965,2025-08-03 09:00:00,EARN,30,128,BKG-011581
LTX-0000137,P02965,2025-10-20 09:00:00,EARN,107,235,BKG-000986
LTX-0000138,P02965,2025-11-09 09:00:00,EARN,24,259,BKG-000034
LTX-0000139,P03778,2025-03-11 09:00:00,EARN,8,8,BKG-005400
LTX-0000140,P03778,2025-08-15 09:00:00,EARN,25,33,BKG-007465
LTX-0000141,P03778,2025-10-28 09:00:00,EARN,44,77,BKG-000035
LTX-0000142,P03778,2025-11-03 09:00:00,EARN,38,115,BKG-005731
LTX-0000143,P03778,2025-11-04 09:00:00,EARN,34,149,BKG-011003
LTX-0000144,P03778,2025-11-04 18:00:00,REDEEM,-10,139,BKG-011003
LTX-0000145,P03778,2025-12-04 09:00:00,EARN,48,187,BKG-007422
LTX-0000146,P03097,2025-01-15 09:00:00,EARN,78,78,BKG-000036
LTX-0000147,P03097,2025-04-28 09:00:00,EARN,10,88,BKG-009323
LTX-0000148,P03097,2025-05-20 09:00:00,EARN,57,145,BKG-008537
LTX-0000149,P03097,2025-08-18 09:00:00,EARN,18,163,BKG-011060
LTX-0000150,P03097,2025-11-12 09:00:00,EARN,19,182,BKG-001239
LTX-0000151,P03097,2025-11-17 09:00:00,EARN,116,298,BKG-006968
LTX-0000152,P03097,2025-12-03 09:00:00,EARN,53,351,BKG-011716
LTX-0000153,P01640,2025-04-10 09:00:00,EARN,20,20,BKG-000965
LTX-0000154,P01640,2025-10-05 09:00:00,EARN,45,65,BKG-000037
LTX-0000155,P01640,2025-10-07 09:00:00,EARN,30,95,BKG-004962
LTX-0000156,P02088,2025-02-11 09:00:00,EARN,14,14,BKG-000038
LTX-0000157,P02088,2025-06-19 09:00:00,EARN,27,41,BKG-010443
LTX-0000158,P02088,2025-07-21 09:00:00,EARN,48,89,BKG-011743
LTX-0000159,P02088,2025-10-13 09:00:00,EARN,47,136,BKG-001001
LTX-0000160,P03224,2025-01-02 09:00:00,EARN,60,60,BKG-000039
LTX-0000161,P03224,2025-03-21 09:00:00,EARN,22,82,BKG-007164
LTX-0000162,P03224,2025-03-21 18:00:00,REDEEM,-20,62,BKG-007164
LTX-0000163,P03224,2025-03-23 09:00:00,EARN,47,109,BKG-007139
LTX-0000164,P03224,2025-07-12 09:00:00,EARN,88,197,BKG-007727
LTX-0000165,P03224,2025-08-25 09:00:00,EARN,47,244,BKG-012160
LTX-0000166,P03224,2025-10-01 09:00:00,EARN,7,251,BKG-002170
LTX-0000167,P03004,2025-01-14 09:00:00,EARN,42,42,BKG-004760
LTX-0000168,P03004,2025-04-13 09:00:00,EARN,28,70,BKG-000040
LTX-0000169,P03004,2025-05-25 09:00:00,EARN,65,135,BKG-012377
LTX-0000170,P03004,2025-12-02 09:00:00,EARN,41,176,BKG-006142
LTX-0000171,P03269,2025-02-01 09:00:00,EARN,13,13,BKG-006237
LTX-0000172,P03269,2025-02-07 09:00:00,EARN,28,41,BKG-012265
LTX-0000173,P03269,2025-07-05 09:00:00,EARN,32,73,BKG-012055
LTX-0000174,P03269,2025-10-13 09:00:00,EARN,44,117,BKG-003502
LTX-0000175,P03269,2025-11-02 09:00:00,EARN,50,167,BKG-000041
LTX-0000176,P03269,2025-12-01 09:00:00,EARN,67,234,BKG-010502
LTX-0000177,P02900,2025-05-24 09:00:00,EARN,61,61,BKG-000042
LTX-0000178,P02900,2025-05-29 09:00:00,EARN,36,97,BKG-000996
LTX-0000179,P02900,2025-05-29 18:00:00,REDEEM,-10,87,BKG-000996
LTX-0000180,P02900,2025-12-03 09:00:00,EARN,81,168,BKG-005066
LTX-0000181,P00093,2024-12-22 09:00:00,EARN,52,52,BKG-011347
LTX-0000182,P00093,2025-03-19 09:00:00,EARN,44,96,BKG-003141
LTX-0000183,P00093,2025-05-25 09:00:00,EARN,54,150,BKG-010128
LTX-0000184,P00093,2025-05-27 09:00:00,EARN,93,243,BKG-006733
LTX-0000185,P00093,2025-09-20 09:00:00,EARN,28,271,BKG-005294
LTX-0000186,P00093,2025-12-09 09:00:00,EARN,47,318,BKG-000043
LTX-0000187,P00539,2025-01-30 09:00:00,EARN,54,54,BKG-006384
LTX-0000188,P00539,2025-04-29 09:00:00,EARN,98,152,BKG-000044
LTX-0000189,P00760,2025-06-30 09:00:00,EARN,52,52,BKG-005271
LTX-0000190,P00760,2025-07-02 09:00:00,EARN,28,80,BKG-012141
LTX-0000191,P00760,2025-07-07 09:00:00,EARN,10,90,BKG-000045
LTX-0000192,P00760,2025-08-22 09:00:00,EARN,18,108,BKG-005837
LTX-0000193,P03901,2025-12-17 09:00:00,EARN,50,50,BKG-000046
LTX-0000194,P03763,2025-06-01 09:00:00,EARN,86,86,BKG-011863
LTX-0000195,P03763,2025-07-12 09:00:00,EARN,72,158,BKG-005947
LTX-0000196,P03763,2025-08-17 09:00:00,EARN,31,189,BKG-012399
LTX-0000197,P03763,2025-11-11 09:00:00,EARN,10,199,BKG-000047
LTX-0000198,P01837,2025-05-09 09:00:00,EARN,27,27,BKG-001000
LTX-0000199,P01837,2025-06-13 09:00:00,EARN,76,103,BKG-000048
LTX-0000200,P01837,2025-08-10 09:00:00,EARN,12,115,BKG-001830
LTX-0000201,P01837,2025-11-12 09:00:00,EARN,12,127,BKG-010218
LTX-0000202,P01837,2025-11-27 09:00:00,EARN,68,195,BKG-011872
LTX-0000203,P01969,2024-12-31 09:00:00,EARN,28,28,BKG-009420
LTX-0000204,P01969,2025-01-10 09:00:00,EARN,30,58,BKG-000465
LTX-0000205,P01969,2025-01-12 09:00:00,EARN,36,94,BKG-003483
LTX-0000206,P01969,2025-06-25 09:00:00,EARN,17,111,BKG-006950
LTX-0000207,P01969,2025-07-05 09:00:00,EARN,45,156,BKG-010370
LTX-0000208,P01969,2025-09-16 09:00:00,EARN,42,198,BKG-006673
LTX-0000209,P01969,2025-10-09 09:00:00,EARN,40,238,BKG-000049
LTX-0000210,P01969,2025-11-12 09:00:00,EARN,20,258,BKG-011042
LTX-0000211,P01969,2025-12-20 09:00:00,EARN,47,305,BKG-009265
LTX-0000212,P03984,2025-01-04 09:00:00,EARN,26,26,BKG-005672
LTX-0000213,P03984,2025-02-22 09:00:00,EARN,22,48,BKG-005965
LTX-0000214,P03984,2025-11-11 09:00:00,EARN,46,94,BKG-000050
LTX-0000215,P00854,2024-12-18 09:00:00,EARN,37,37,BKG-000051
LTX-0000216,P02447,2025-06-27 09:00:00,EARN,72,72,BKG-000052
LTX-0000217,P00789,2025-10-01 09:00:00,EARN,26,26,BKG-000053
LTX-0000218,P00789,2025-11-27 09:00:00,EARN,38,64,BKG-011054
LTX-0000219,P02386,2025-02-05 09:00:00,EARN,39,39,BKG-002146
LTX-0000220,P02386,2025-05-08 09:00:00,EARN,14,53,BKG-003071
LTX-0000221,P02386,2025-07-03 09:00:00,EARN,50,103,BKG-009009
LTX-0000222,P02386,2025-07-28 09:00:00,EARN,30,133,BKG-000054
LTX-0000223,P00370,2025-02-03 09:00:00,EARN,71,71,BKG-000123
LTX-0000224,P00370,2025-02-03 18:00:00,REDEEM,-20,51,BKG-000123
LTX-0000225,P00370,2025-05-08 09:00:00,EARN,10,61,BKG-006858
LTX-0000226,P00370,2025-06-10 09:00:00,EARN,19,80,BKG-008366
LTX-0000227,P00370,2025-06-10 18:00:00,REDEEM,-10,70,BKG-008366
LTX-0000228,P00370,2025-06-16 09:00:00,EARN,53,123,BKG-011579
LTX-0000229,P00370,2025-07-04 09:00:00,EARN,41,164,BKG-000055
LTX-0000230,P00370,2025-07-06 09:00:00,EARN,40,204,BKG-000734
LTX-0000231,P00370,2025-07-10 09:00:00,EARN,53,257,BKG-004287
LTX-0000232,P03650,2025-02-12 09:00:00,EARN,32,32,BKG-009838
LTX-0000233,P03650,2025-02-17 09:00:00,EARN,42,74,BKG-000056
LTX-0000234,P03650,2025-11-21 09:00:00,EARN,11,85,BKG-000438
LTX-0000235,P01498,2025-06-15 09:00:00,EARN,83,83,BKG-004543
LTX-0000236,P01498,2025-06-16 09:00:00,EARN,26,109,BKG-011692
LTX-0000237,P01498,2025-06-16 18:00:00,REDEEM,-20,89,BKG-011692
LTX-0000238,P01498,2025-06-17 09:00:00,EARN,67,156,BKG-002281
LTX-0000239,P01498,2025-08-07 09:00:00,EARN,43,199,BKG-007230
LTX-0000240,P01498,2025-08-17 09:00:00,EARN,24,223,BKG-006981
LTX-0000241,P01498,2025-08-17 18:00:00,REDEEM,-20,203,BKG-006981
LTX-0000242,P01498,2025-10-20 09:00:00,EARN,33,236,BKG-000057
LTX-0000243,P00383,2025-06-08 09:00:00,EARN,43,43,BKG-005557
LTX-0000244,P00383,2025-07-17 09:00:00,EARN,21,64,BKG-000058
LTX-0000245,P02861,2025-02-04 09:00:00,EARN,46,46,BKG-003882
LTX-0000246,P02861,2025-03-25 09:00:00,EARN,37,83,BKG-007166
LTX-0000247,P02861,2025-04-19 09:00:00,EARN,42,125,BKG-007994
LTX-0000248,P02861,2025-04-29 09:00:00,EARN,32,157,BKG-006434
LTX-0000249,P02861,2025-07-16 09:00:00,EARN,37,194,BKG-000059
LTX-0000250,P02861,2025-10-01 09:00:00,EARN,76,270,BKG-008575
LTX-0000251,P02861,2025-10-01 18:00:00,REDEEM,-10,260,BKG-008575
LTX-0000252,P02861,2025-12-05 09:00:00,EARN,72,332,BKG-009229
LTX-0000253,P00122,2024-12-30 09:00:00,EARN,26,26,BKG-005198
LTX-0000254,P00122,2025-01-14 09:00:00,EARN,44,70,BKG-004242
LTX-0000255,P00122,2025-02-07 09:00:00,EARN,16,86,BKG-000060
LTX-0000256,P00122,2025-04-28 09:00:00,EARN,68,154,BKG-001067
LTX-0000257,P00122,2025-05-14 09:00:00,EARN,70,224,BKG-011308
LTX-0000258,P00122,2025-05-14 18:00:00,REDEEM,-30,194,BKG-011308
LTX-0000259,P00122,2025-10-10 09:00:00,EARN,9,203,BKG-010826
LTX-0000260,P00122,2025-10-10 18:00:00,REDEEM,-10,193,BKG-010826
LTX-0000261,P00122,2025-11-19 09:00:00,EARN,46,239,BKG-010971
LTX-0000262,P01770,2025-03-23 09:00:00,EARN,6,6,BKG-010335
LTX-0000263,P01770,2025-06-18 09:00:00,EARN,44,50,BKG-012412
LTX-0000264,P01770,2025-07-04 09:00:00,EARN,84,134,BKG-002636
LTX-0000265,P01770,2025-07-06 09:00:00,EARN,88,222,BKG-000061
LTX-0000266,P01770,2025-10-20 09:00:00,EARN,60,282,BKG-012235
LTX-0000267,P01330,2025-02-16 09:00:00,EARN,37,37,BKG-008948
LTX-0000268,P01330,2025-05-03 09:00:00,EARN,39,76,BKG-009085
LTX-0000269,P01330,2025-07-06 09:00:00,EARN,39,115,BKG-000062
LTX-0000270,P01387,2025-02-06 09:00:00,EARN,46,46,BKG-007460
LTX-0000271,P01387,2025-05-29 09:00:00,EARN,68,114,BKG-003035
LTX-0000272,P01387,2025-05-29 18:00:00,REDEEM,-20,94,BKG-003035
LTX-0000273,P01387,2025-06-02 09:00:00,EARN,59,153,BKG-005489
LTX-0000274,P01387,2025-10-11 09:00:00,EARN,49,202,BKG-000063
LTX-0000275,P01387,2025-12-12 09:00:00,EARN,53,255,BKG-004883
LTX-0000276,P02463,2025-05-30 09:00:00,EARN,44,44,BKG-004612
LTX-0000277,P02463,2025-06-22 09:00:00,EARN,47,91,BKG-003185
LTX-0000278,P02463,2025-06-26 09:00:00,EARN,26,117,BKG-009677
LTX-0000279,P02463,2025-10-02 09:00:00,EARN,26,143,BKG-000064
LTX-0000280,P00627,2025-05-31 09:00:00,EARN,82,82,BKG-000065
LTX-0000281,P01075,2025-05-25 09:00:00,EARN,29,29,BKG-000066
LTX-0000282,P01075,2025-05-29 09:00:00,EARN,45,74,BKG-008234
LTX-0000283,P01075,2025-07-03 09:00:00,EARN,28,102,BKG-010511
LTX-0000284,P02884,2024-12-10 09:00:00,EARN,30,30,BKG-000114
LTX-0000285,P02884,2025-06-17 09:00:00,EARN,45,75,BKG-000067
LTX-0000286,P02884,2025-11-09 09:00:00,EARN,12,87,BKG-003793
LTX-0000287,P02517,2025-02-13 09:00:00,EARN,28,28,BKG-009248
LTX-0000288,P02517,2025-03-05 09:00:00,EARN,14,42,BKG-011726
LTX-0000289,P02517,2025-03-20 09:00:00,EARN,58,100,BKG-003090
LTX-0000290,P02517,2025-03-20 18:00:00,REDEEM,-20,80,BKG-003090
LTX-0000291,P02517,2025-05-11 09:00:00,EARN,46,126,BKG-003744
LTX-0000292,P02517,2025-06-16 09:00:00,EARN,19,145,BKG-010507
LTX-0000293,P02517,2025-07-15 09:00:00,EARN,54,199,BKG-000963
LTX-0000294,P02517,2025-09-08 09:00:00,EARN,61,260,BKG-000068
LTX-0000295,P02517,2025-09-08 18:00:00,REDEEM,-10,250,BKG-000068
LTX-0000296,P00806,2024-12-23 09:00:00,EARN,24,24,BKG-003124
LTX-0000297,P00806,2025-02-07 09:00:00,EARN,50,74,BKG-006856
LTX-0000298,P00806,2025-02-07 18:00:00,REDEEM,-30,44,BKG-006856
LTX-0000299,P00806,2025-03-27 09:00:00,EARN,42,86,BKG-000069
LTX-0000300,P00806,2025-03-27 18:00:00,REDEEM,-30,56,BKG-000069
LTX-0000301,P00806,2025-05-17 09:00:00,EARN,59,115,BKG-002601
LTX-0000302,P00806,2025-06-23 09:00:00,EARN,36,151,BKG-001986
LTX-0000303,P00806,2025-06-29 09:00:00,EARN,35,186,BKG-007657
LTX-0000304,P00806,2025-07-27 09:00:00,EARN,56,242,BKG-002593
LTX-0000305,P00806,2025-11-19 09:00:00,EARN,28,270,BKG-003439
LTX-0000306,P00717,2025-08-04 09:00:00,EARN,50,50,BKG-000070
LTX-0000307,P00717,2025-09-28 09:00:00,EARN,62,112,BKG-004433
LTX-0000308,P00717,2025-11-22 09:00:00,EARN,76,188,BKG-010607
LTX-0000309,P01726,2025-03-30 09:00:00,EARN,26,26,BKG-004568
LTX-0000310,P01726,2025-06-16 09:00:00,EARN,38,64,BKG-001580
LTX-0000311,P01726,2025-06-22 09:00:00,EARN,85,149,BKG-008065
LTX-0000312,P01726,2025-09-01 09:00:00,EARN,34,183,BKG-010323
LTX-0000313,P01726,2025-11-30 09:00:00,EARN,73,256,BKG-000071
LTX-0000314,P01358,2025-02-24 09:00:00,EARN,44,44,BKG-009693
LTX-0000315,P01358,2025-03-05 09:00:00,EARN,20,64,BKG-006927
LTX-0000316,P01358,2025-06-01 09:00:00,EARN,30,94,BKG-010313
LTX-0000317,P01358,2025-12-01 09:00:00,EARN,19,113,BKG-000072
LTX-0000318,P01148,2025-05-25 09:00:00,EARN,37,37,BKG-000073
LTX-0000319,P01148,2025-08-16 09:00:00,EARN,48,85,BKG-010974
LTX-0000320,P00236,2025-02-21 09:00:00,EARN,6,6,BKG-000957
LTX-0000321,P00236,2025-06-15 09:00:00,EARN,58,64,BKG-004625
LTX-0000322,P00236,2025-07-19 09:00:00,EARN,41,105,BKG-003121
LTX-0000323,P00236,2025-08-17 09:00:00,EARN,44,149,BKG-000074
LTX-0000324,P00236,2025-11-19 09:00:00,EARN,47,196,BKG-000283
LTX-0000325,P01394,2025-01-06 09:00:00,EARN,79,79,BKG-000075
LTX-0000326,P01394,2025-10-24 09:00:00,EARN,41,120,BKG-004202
LTX-0000327,P01394,2025-11-09 09:00:00,EARN,73,193,BKG-001701
LTX-0000328,P00188,2025-02-27 09:00:00,EARN,34,34,BKG-012105
LTX-0000329,P00188,2025-03-17 09:00:00,EARN,55,89,BKG-011701
LTX-0000330,P00188,2025-04-25 09:00:00,EARN,37,126,BKG-010121
LTX-0000331,P00188,2025-05-03 09:00:00,EARN,37,163,BKG-011106
LTX-0000332,P00188,2025-06-13 09:00:00,EARN,44,207,BKG-012097
LTX-0000333,P00188,2025-07-15 09:00:00,EARN,44,251,BKG-010127
LTX-0000334,P00188,2025-07-15 18:00:00,REDEEM,-30,221,BKG-010127
LTX-0000335,P00188,2025-09-18 09:00:00,EARN,42,263,BKG-000076
LTX-0000336,P02743,2025-01-20 09:00:00,EARN,35,35,BKG-011724
LTX-0000337,P02743,2025-01-30 09:00:00,EARN,14,49,BKG-005693
LTX-0000338,P02743,2025-05-31 09:00:00,EARN,58,107,BKG-000492
LTX-0000339,P02743,2025-06-12 09:00:00,EARN,75,182,BKG-002385
LTX-0000340,P02743,2025-06-27 09:00:00,EARN,30,212,BKG-000077
LTX-0000341,P02743,2025-07-11 09:00:00,EARN,39,251,BKG-004038
LTX-0000342,P02743,2025-11-21 09:00:00,EARN,23,274,BKG-002352
LTX-0000343,P03504,2025-06-12 09:00:00,EARN,72,72,BKG-010786
LTX-0000344,P03504,2025-06-16 09:00:00,EARN,26,98,BKG-011237
LTX-0000345,P03504,2025-07-04 09:00:00,EARN,30,128,BKG-000078
