itinerary_leg_sk,passenger_sk,route_sk,bus_fleet_sk,origin_terminal_sk,destination_terminal_sk,disruption_reason_sk,booking_date_sk,booking_time_sk,scheduled_departure_date_sk,scheduled_departure_time_sk,actual_departure_date_sk,actual_departure_time_sk,scheduled_arrival_date_sk,scheduled_arrival_time_sk,actual_arrival_date_sk,actual_arrival_time_sk,rebooking_date_sk,rebooking_time_sk,claim_resolution_date_sk,claim_resolution_time_sk,booking_id,ticket_number,itinerary_id,trip_id,leg_sequence,total_legs,claim_id,travel_status,claim_status,departure_delay_minutes,arrival_delay_minutes,scheduled_connection_minutes,actual_connection_minutes,missed_connection_count,rebooking_cost,refund_amount,compensation_amount
36,13,17,8,20,21,0,20250708,2118,20250723,600,20250723,612,20250723,839,20250723,844,,,,,BKG-000017,TICK-000036,ITI-000017,TRIP-000036,2,2,,COMPLETED,,12,5,266,272,0,0,0,0
37,3693,10,14,13,14,0,20250205,1224,20250222,1200,20250222,1220,20250222,2041,20250222,2126,,,,,BKG-000018,TICK-000037,ITI-000018,TRIP-000037,1,1,,COMPLETED,,20,45,,,0,0,0,0
38,308,20,14,25,26,0,20250602,2002,20250608,1800,20250608,1805,20250609,10,20250609,10,,,,,BKG-000019,TICK-000038,ITI-000019,TRIP-000038,1,2,,COMPLETED,,5,0,,,0,0,0,0
39,308,21,76,26,27,0,20250602,2002,20250609,0,20250609,0,20250609,811,20250609,837,20250609,910,20250613,610,BKG-000019,TICK-000039,ITI-000019,TRIP-000039,2,2,CLM-000003,MISSED_CONNECTION,Approved,0,26,-10,-10,1,65000,104000,50000
40,4100,20,45,25,26,0,20250617,1944,20250708,1200,20250708,1207,20250708,1810,20250708,1842,,,,,BKG-000020,TICK-000040,ITI-000020,TRIP-000040,1,2,,COMPLETED,,7,32,,,0,0,0,0
41,4100,21,46,26,27,0,20250617,1944,20250708,1800,20250708,1844,20250709,211,20250709,321,20250709,542,20250711,242,BKG-000020,TICK-000041,ITI-000020,TRIP-000041,2,2,CLM-000004,MISSED_CONNECTION,Approved,44,70,-10,2,1,65000,104000,50000
42,1385,6,7,9,10,0,20251213,2004,20251222,600,20251222,608,20251222,936,20251222,945,,,,,BKG-000021,TICK-000042,ITI-000021,TRIP-000042,1,3,,COMPLETED,,8,9,,,0,0,0,0
43,1385,7,57,10,11,0,20251213,2004,20251222,1200,20251222,1211,20251222,2142,20251222,2227,,,,,BKG-000021,TICK-000043,ITI-000021,TRIP-000043,2,3,,COMPLETED,,11,45,144,146,0,0,0,0
44,1385,8,22,11,12,0,20251213,2004,20251223,0,20251223,17,20251223,605,20251223,720,,,,,BKG-000021,TICK-000044,ITI-000021,TRIP-000044,3,3,,COMPLETED,,17,75,138,110,0,0,0,0
45,1799,6,56,9,10,0,20250313,1104,20250322,600,20250322,620,20250322,936,20250322,946,,,,,BKG-000022,TICK-000045,ITI-000022,TRIP-000045,1,2,,COMPLETED,,20,10,,,0,0,0,0
46,1799,7,84,10,11,0,20250313,1104,20250322,1200,20250322,1209,20250322,2142,20250322,2142,,,,,BKG-000022,TICK-000046,ITI-000022,TRIP-000046,2,2,,COMPLETED,,9,0,144,143,0,0,0,0
47,2497,16,39,19,20,0,20250620,1236,20250708,1200,20250708,1241,20250708,1934,20250708,2050,,,,,BKG-000023,TICK-000047,ITI-000023,TRIP-000047,1,2,,COMPLETED,,41,76,,,0,0,0,0
48,2497,17,28,20,21,0,20250620,1236,20250709,0,20250709,29,20250709,239,20250709,330,,,,,BKG-000023,TICK-000048,ITI-000023,TRIP-000048,2,2,,COMPLETED,,29,51,266,219,0,0,0,0
49,414,19,91,24,25,0,20250721,1609,20250722,600,20250722,627,20250722,911,20250722,1009,,,,,BKG-000024,TICK-000049,ITI-000024,TRIP-000049,1,2,,COMPLETED,,27,58,,,0,0,0,0
50,414,30,49,25,30,0,20250721,1609,20250722,1200,20250722,1228,20250723,25,20250723,25,,,,,BKG-000024,TICK-000050,ITI-000024,TRIP-000050,2,2,,COMPLETED,,28,0,169,139,0,0,0,0
51,268,22,32,27,28,0,20250620,1840,20250622,600,20250622,619,20250622,1210,20250622,1211,,,,,BKG-000025,TICK-000051,ITI-000025,TRIP-000051,1,1,,COMPLETED,,19,1,,,0,0,0,0
52,673,4,72,6,7,0,20250207,709,20250222,1800,20250222,1807,20250223,3,20250223,3,,,,,BKG-000026,TICK-000052,ITI-000026,TRIP-000052,1,2,,COMPLETED,,7,0,,,0,0,0,0
53,673,5,8,7,9,0,20250207,709,20250223,0,20250223,36,20250223,1223,20250223,1248,,,,,BKG-000026,TICK-000053,ITI-000026,TRIP-000053,2,2,,COMPLETED,,36,25,-3,33,0,0,0,0
54,140,3,7,5,6,0,20251219,942,20251222,1800,20251222,1839,20251222,2102,20251222,2208,,,,,BKG-000027,TICK-000054,ITI-000027,TRIP-000032,1,1,,COMPLETED,,39,66,,,0,0,0,0
55,1708,21,13,26,27,0,20250827,1251,20250908,1800,20250908,1837,20250909,211,20250909,308,,,,,BKG-000028,TICK-000055,ITI-000028,TRIP-000054,1,3,,COMPLETED,,37,57,,,0,0,0,0
56,1708,22,71,27,28,0,20250827,1251,20250909,600,20250909,602,20250909,1210,20250909,1234,,,,,BKG-000028,TICK-000056,ITI-000028,TRIP-000055,2,3,,COMPLETED,,2,24,229,174,0,0,0,0
57,1708,23,7,28,29,0,20250827,1251,20250909,1200,20250909,1236,20250909,1932,20250909,2039,20250910,434,20250910,2234,BKG-000028,TICK-000057,ITI-000028,TRIP-000056,3,3,CLM-000005,MISSED_CONNECTION,Approved,36,67,-10,2,1,65000,98000,75000
58,3031,14,43,17,18,0,20250619,1925,20250708,1200,20250708,1246,20250709,2,20250709,125,,,,,BKG-000029,TICK-000058,ITI-000029,TRIP-000057,1,3,,COMPLETED,,46,83,,,0,0,0,0
59,3031,29,91,18,25,0,20250619,1925,20250709,0,20250709,0,20250709,1043,20250709,1050,20250709,925,20250711,425,BKG-000029,TICK-000059,ITI-000029,TRIP-000058,2,3,CLM-000006,MISSED_CONNECTION,Approved,0,7,-2,-85,1,117000,186000,75000
60,3031,20,18,25,26,0,20250619,1925,20250709,1200,20250709,1200,20250709,1810,20250709,1832,,,,,BKG-000029,TICK-000060,ITI-000029,TRIP-000059,3,3,,CANCELLED_AFTER_DISRUPTION,,0,22,,,0,0,0,0
61,4545,13,44,16,17,0,20250323,1000,20250422,1800,20250422,1823,20250423,37,20250423,102,,,,,BKG-000030,TICK-000061,ITI-000030,TRIP-000060,1,2,,COMPLETED,,23,25,,,0,0,0,0
62,4545,14,18,17,18,0,20250323,1000,20250423,600,20250423,600,20250423,1802,20250423,1842,,,,,BKG-000030,TICK-000062,ITI-000030,TRIP-000061,2,2,,COMPLETED,,0,40,323,298,0,0,0,0
63,4464,21,56,26,27,0,20250810,2154,20250908,1200,20250908,1200,20250908,2011,20250908,2011,,,,,BKG-000031,TICK-000063,ITI-000031,TRIP-000062,1,3,,COMPLETED,,0,0,,,0,0,0,0
64,4464,22,7,27,28,0,20250810,2154,20250909,0,20250909,4,20250909,610,20250909,610,,,,,BKG-000031,TICK-000064,ITI-000031,TRIP-000063,2,3,,COMPLETED,,4,0,229,233,0,0,0,0
65,4464,23,74,28,29,0,20250810,2154,20250909,600,20250909,632,20250909,1332,20250909,1337,,,,,BKG-000031,TICK-000065,ITI-000031,TRIP-000064,3,3,,COMPLETED,,32,5,-10,22,0,0,0,0
66,2547,2,24,3,5,0,20250628,2109,20250708,1200,20250708,1200,20250708,1446,20250708,1511,,,,,BKG-000032,TICK-000066,ITI-000032,TRIP-000065,1,1,,COMPLETED,,0,25,,,0,0,0,0
67,3311,21,85,26,27,0,20250601,1908,20250608,600,20250608,600,20250608,1411,20250608,1411,,,,,BKG-000033,TICK-000067,ITI-000033,TRIP-000066,1,2,,COMPLETED,,0,0,,,0,0,0,0
68,3311,22,10,27,28,0,20250601,1908,20250608,1800,20250608,1808,20250609,10,20250609,20,,,,,BKG-000033,TICK-000068,ITI-000033,TRIP-000067,2,2,,COMPLETED,,8,10,229,237,0,0,0,0
69,3668,15,26,18,19,0,20251109,849,20251208,1200,20251208,1206,20251208,1711,20251208,1712,,,,,BKG-000034,TICK-000069,ITI-000034,TRIP-000068,1,1,,COMPLETED,,6,1,,,0,0,0,0
70,4671,6,92,9,10,0,20251028,1318,20251122,600,20251122,607,20251122,936,20251122,936,,,,,BKG-000035,TICK-000070,ITI-000035,TRIP-000069,1,3,,COMPLETED,,7,0,,,0,0,0,0
71,4671,7,15,10,11,0,20251028,1318,20251122,1200,20251122,1200,20251122,2142,20251122,2201,,,,,BKG-000035,TICK-000071,ITI-000035,TRIP-000070,2,3,,COMPLETED,,0,19,144,144,0,0,0,0
72,4671,8,28,11,12,6,20251028,1318,20251123,0,20251123,29,20251123,605,20251123,836,,,,,BKG-000035,TICK-000072,ITI-000035,TRIP-000071,3,3,,COMPLETED,,29,151,138,148,0,0,0,0
73,3825,9,10,12,13,0,20250115,1441,20250208,600,20250208,606,20250208,1349,20250208,1415,,,,,BKG-000036,TICK-000073,ITI-000036,TRIP-000072,1,3,,COMPLETED,,6,26,,,0,0,0,0
74,3825,28,57,13,18,0,20250115,1441,20250208,1800,20250208,1800,20250209,259,20250209,259,,,,,BKG-000036,TICK-000074,ITI-000036,TRIP-000073,2,3,,COMPLETED,,0,0,251,225,0,0,0,0
75,3825,29,45,18,25,0,20250115,1441,20250209,600,20250209,617,20250209,1643,20250209,1643,,,,,BKG-000036,TICK-000075,ITI-000036,TRIP-000074,3,3,,COMPLETED,,17,0,181,198,0,0,0,0
76,1997,11,65,14,15,0,20251005,1632,20251008,1800,20251008,1820,20251009,214,20251009,252,,,,,BKG-000037,TICK-000076,ITI-000037,TRIP-000075,1,2,,COMPLETED,,20,38,,,0,0,0,0
77,1997,12,82,15,16,0,20251005,1632,20251009,600,20251009,615,20251009,1027,20251009,1027,,,,,BKG-000037,TICK-000077,ITI-000037,TRIP-000076,2,2,,COMPLETED,,15,0,226,203,0,0,0,0
78,2561,4,76,6,7,0,20250211,2052,20250222,1200,20250222,1200,20250222,1803,20250222,1826,,,,,BKG-000038,TICK-000078,ITI-000038,TRIP-000077,1,1,,COMPLETED,,0,23,,,0,0,0,0
79,3984,23,67,28,29,0,20250102,832,20250108,1800,20250108,1818,20250109,132,20250109,132,,,,,BKG-000039,TICK-000079,ITI-000039,TRIP-000078,1,2,,COMPLETED,,18,0,,,0,0,0,0
80,3984,24,26,29,30,0,20250102,832,20250109,600,20250109,615,20250109,1714,20250109,1725,,,,,BKG-000039,TICK-000080,ITI-000039,TRIP-000079,2,2,,COMPLETED,,15,11,268,283,0,0,0,0
81,3712,12,65,15,16,0,20250413,1914,20250422,1200,20250422,1200,20250422,1627,20250422,1644,,,,,BKG-000040,TICK-000081,ITI-000040,TRIP-000080,1,2,,COMPLETED,,0,17,,,0,0,0,0
82,3712,13,44,16,17,0,20250413,1914,20250422,1800,20250422,1823,20250423,37,20250423,102,,,,,BKG-000040,TICK-000082,ITI-000040,TRIP-000060,2,2,,COMPLETED,,23,25,93,99,0,0,0,0
83,4038,20,11,25,26,0,20251102,723,20251122,1200,20251122,1208,20251122,1810,20251122,1841,,,,,BKG-000041,TICK-000083,ITI-000041,TRIP-000081,1,2,,COMPLETED,,8,31,,,0,0,0,0
84,4038,21,1,26,27,0,20251102,723,20251122,1800,20251122,1823,20251123,211,20251123,240,20251123,941,20251125,541,BKG-000041,TICK-000084,ITI-000041,TRIP-000082,2,2,CLM-000007,MISSED_CONNECTION,Approved,23,29,-10,-18,1,68000,108000,75000
85,3586,26,74,1,7,0,20250524,844,20250608,1200,20250608,1200,20250608,1600,20250608,1628,,,,,BKG-000042,TICK-000085,ITI-000042,TRIP-000083,1,2,,COMPLETED,,0,28,,,0,0,0,0
86,3586,5,32,7,9,0,20250524,844,20250608,1800,20250608,1843,20250609,623,20250609,655,,,,,BKG-000042,TICK-000086,ITI-000042,TRIP-000084,2,2,,COMPLETED,,43,32,120,135,0,0,0,0
87,108,7,87,10,11,0,20251209,1626,20251222,1800,20251222,1810,20251223,342,20251223,352,,,,,BKG-000043,TICK-000087,ITI-000043,TRIP-000085,1,2,,COMPLETED,,10,10,,,0,0,0,0
88,108,8,3,11,12,0,20251209,1626,20251223,600,20251223,614,20251223,1205,20251223,1225,,,,,BKG-000043,TICK-000088,ITI-000043,TRIP-000086,2,2,,COMPLETED,,14,20,138,142,0,0,0,0
89,647,28,8,13,18,0,20250429,1548,20250522,1800,20250522,1802,20250523,259,20250523,335,,,,,BKG-000044,TICK-000089,ITI-000044,TRIP-000087,1,3,,COMPLETED,,2,36,,,0,0,0,0
90,647,29,40,18,25,0,20250429,1548,20250523,600,20250523,607,20250523,1643,20250523,1649,,,,,BKG-000044,TICK-000090,ITI-000044,TRIP-000088,2,3,,COMPLETED,,7,6,181,152,0,0,0,0
91,647,20,23,25,26,0,20250429,1548,20250523,1800,20250523,1800,20250524,10,20250524,10,,,,,BKG-000044,TICK-000091,ITI-000044,TRIP-000089,3,3,,COMPLETED,,0,0,77,71,0,0,0,0
92,927,19,83,24,25,0,20250707,1249,20250708,600,20250708,608,20250708,911,20250708,955,,,,,BKG-000045,TICK-000092,ITI-000045,TRIP-000090,1,1,,COMPLETED,,8,44,,,0,0,0,0
93,4824,12,77,15,16,0,20251217,2116,20251222,1800,20251222,1810,20251222,2227,20251222,2243,,,,,BKG-000046,TICK-000093,ITI-000046,TRIP-000091,1,2,,COMPLETED,,10,16,,,0,0,0,0
94,4824,13,84,16,17,0,20251217,2116,20251223,0,20251223,14,20251223,637,20251223,646,,,,,BKG-000046,TICK-000094,ITI-000046,TRIP-000092,2,2,,COMPLETED,,14,9,93,91,0,0,0,0
95,4655,3,91,5,6,0,20251111,747,20251122,1200,20251122,1207,20251122,1502,20251122,1537,,,,,BKG-000047,TICK-000095,ITI-000047,TRIP-000093,1,1,,COMPLETED,,7,35,,,0,0,0,0
96,2248,29,54,18,25,0,20250613,1031,20250622,600,20250622,610,20250622,1643,20250622,1643,,,,,BKG-000048,TICK-000096,ITI-000048,TRIP-000094,1,2,,COMPLETED,,10,0,,,0,0,0,0
97,2248,30,56,25,30,0,20250613,1031,20250622,1800,20250622,1800,20250623,625,20250623,638,,,,,BKG-000048,TICK-000097,ITI-000048,TRIP-000095,2,2,,COMPLETED,,0,13,77,77,0,0,0,0
98,2407,13,33,16,17,0,20251009,832,20251108,600,20251108,619,20251108,1237,20251108,1240,,,,,BKG-000049,TICK-000098,ITI-000049,TRIP-000096,1,2,,COMPLETED,,19,3,,,0,0,0,0
99,2407,14,83,17,18,0,20251009,832,20251108,1800,20251108,1835,20251109,602,20251109,629,,,,,BKG-000049,TICK-000099,ITI-000049,TRIP-000097,2,2,,COMPLETED,,35,27,323,355,0,0,0,0
100,4924,23,83,28,29,0,20251111,727,20251208,1200,20251208,1224,20251208,1932,20251208,1936,,,,,BKG-000050,TICK-000100,ITI-000050,TRIP-000098,1,2,,COMPLETED,,24,4,,,0,0,0,0
101,4924,24,15,29,30,0,20251111,727,20251209,0,20251209,28,20251209,1114,20251209,1158,,,,,BKG-000050,TICK-000101,ITI-000050,TRIP-000099,2,2,,COMPLETED,,28,44,268,292,0,0,0,0
102,1036,22,5,27,28,0,20241218,1156,20250108,1200,20250108,1200,20250108,1810,20250108,1821,,,,,BKG-000051,TICK-000102,ITI-000051,TRIP-000100,1,2,,COMPLETED,,0,11,,,0,0,0,0
103,1036,23,67,28,29,0,20241218,1156,20250108,1800,20250108,1818,20250109,132,20250109,132,20250109,521,20250110,221,BKG-000051,TICK-000103,ITI-000051,TRIP-000078,2,2,CLM-000008,MISSED_CONNECTION,Approved,18,0,-10,-3,1,52000,82000,50000
104,3024,4,45,6,7,0,20250627,1645,20250708,1200,20250708,1204,20250708,1803,20250708,1809,,,,,BKG-000052,TICK-000104,ITI-000052,TRIP-000101,1,3,,COMPLETED,,4,6,,,0,0,0,0
105,3024,5,52,7,9,0,20250627,1645,20250708,1800,20250708,1800,20250709,623,20250709,630,20250709,1209,20250714,409,BKG-000052,TICK-000105,ITI-000052,TRIP-000102,2,3,CLM-000009,MISSED_CONNECTION,Approved,0,7,-3,-9,1,142000,215000,75000
106,3024,6,86,9,10,0,20250627,1645,20250709,600,20250709,600,20250709,936,20250709,1041,,,,,BKG-000052,TICK-000106,ITI-000052,TRIP-000103,3,3,,CANCELLED_AFTER_DISRUPTION,,0,65,,,0,0,0,0
107,958,11,67,14,15,0,20251001,1054,20251008,600,20251008,640,20251008,1414,20251008,1459,,,,,BKG-000053,TICK-000107,ITI-000053,TRIP-000104,1,2,,COMPLETED,,40,45,,,0,0,0,0
108,958,12,48,15,16,0,20251001,1054,20251008,1800,20251008,1804,20251008,2227,20251008,2307,,,,,BKG-000053,TICK-000108,ITI-000053,TRIP-000105,2,2,,COMPLETED,,4,40,226,185,0,0,0,0
109,2944,5,44,8,9,0,20250728,1123,20250808,1800,20250808,1804,20250809,623,20250809,623,,,,,BKG-000054,TICK-000109,ITI-000054,TRIP-000106,1,1,,COMPLETED,,4,0,,,0,0,0,0
110,439,2,24,3,5,0,20250704,1329,20250708,1200,20250708,1200,20250708,1446,20250708,1511,,,,,BKG-000055,TICK-000110,ITI-000055,TRIP-000065,1,3,,COMPLETED,,0,25,,,0,0,0,0
111,439,3,85,5,6,0,20250704,1329,20250708,1800,20250708,1802,20250708,2102,20250708,2102,,,,,BKG-000055,TICK-000111,ITI-000055,TRIP-000107,2,3,,COMPLETED,,2,0,194,171,0,0,0,0
112,439,4,86,6,7,0,20250704,1329,20250709,0,20250709,9,20250709,603,20250709,603,,,,,BKG-000055,TICK-000112,ITI-000055,TRIP-000108,3,3,,COMPLETED,,9,0,178,187,0,0,0,0
113,4514,22,48,27,28,0,20250217,2108,20250308,600,20250308,600,20250308,1210,20250308,1210,,,,,BKG-000056,TICK-000113,ITI-000056,TRIP-000109,1,2,,COMPLETED,,0,0,,,0,0,0,0
114,4514,23,64,28,29,0,20250217,2108,20250308,1200,20250308,1231,20250308,1932,20250308,2005,,,,,BKG-000056,TICK-000114,ITI-000056,TRIP-000110,2,2,,COMPLETED,,31,33,-10,21,0,0,0,0
115,1826,15,70,18,19,0,20251020,2119,20251108,600,20251108,625,20251108,1111,20251108,1111,,,,,BKG-000057,TICK-000115,ITI-000057,TRIP-000111,1,2,,COMPLETED,,25,0,,,0,0,0,0
116,1826,16,9,19,20,0,20251020,2119,20251108,1200,20251108,1201,20251108,1934,20251108,1947,,,,,BKG-000057,TICK-000116,ITI-000057,TRIP-000112,2,2,,COMPLETED,,1,13,49,50,0,0,0,0
117,455,21,25,26,27,0,20250717,1234,20250722,1200,20250722,1200,20250722,2011,20250722,2011,,,,,BKG-000058,TICK-000117,ITI-000058,TRIP-000113,1,1,,COMPLETED,,0,0,,,0,0,0,0
118,3540,25,92,30,1,0,20250716,1802,20250722,1800,20250722,1800,20250723,338,20250723,338,,,,,BKG-000059,TICK-000118,ITI-000059,TRIP-000114,1,2,,COMPLETED,,0,0,,,0,0,0,0
119,3540,26,3,1,7,0,20250716,1802,20250723,600,20250723,615,20250723,1000,20250723,1005,,,,,BKG-000059,TICK-000119,ITI-000059,TRIP-000115,2,2,,COMPLETED,,15,5,142,157,0,0,0,0
