ticket_sales_sk,passenger_sk,booking_date_sk,booking_time_sk,route_sk,sales_context_sk,promotion_sk,booking_id,ticket_number,itinerary_id,allocated_base_fare,discount_amount,tax_amount,net_ticket_revenue,loyalty_points_earned,loyalty_points_redeemed
32,3286,20251217,709,3,47,0,BKG-000015,TICK-000032,ITI-000015,104000,0,11000,115000,12,0
33,3945,20250609,1400,7,4,0,BKG-000016,TICK-000033,ITI-000016,294000,0,32000,326000,33,0
34,3945,20250609,1400,8,4,0,BKG-000016,TICK-000034,ITI-000016,262000,0,29000,291000,29,0
35,13,20250708,2118,16,34,1,BKG-000017,TICK-000035,ITI-000017,259000,13000,27000,273000,27,30
36,13,20250708,2118,17,34,1,BKG-000017,TICK-000036,ITI-000017,110000,6000,11000,115000,12,0
37,3693,20250205,1224,10,36,0,BKG-000018,TICK-000037,ITI-000018,231000,0,25000,256000,26,0
38,308,20250602,2002,20,46,0,BKG-000019,TICK-000038,ITI-000019,223000,0,25000,248000,25,0
39,308,20250602,2002,21,46,0,BKG-000019,TICK-000039,ITI-000019,187000,0,21000,208000,21,0
40,4100,20250617,1944,20,27,0,BKG-000020,TICK-000040,ITI-000020,178000,0,20000,198000,20,0
41,4100,20250617,1944,21,27,0,BKG-000020,TICK-000041,ITI-000020,187000,0,21000,208000,21,0
42,1385,20251213,2004,6,36,2,BKG-000021,TICK-000042,ITI-000021,122000,12000,12000,122000,12,0
43,1385,20251213,2004,7,36,2,BKG-000021,TICK-000043,ITI-000021,294000,29000,29000,294000,29,0
44,1385,20251213,2004,8,36,2,BKG-000021,TICK-000044,ITI-000021,155000,16000,15000,154000,15,0
45,1799,20250313,1104,6,39,0,BKG-000022,TICK-000045,ITI-000022,102000,0,11000,113000,11,0
46,1799,20250313,1104,7,39,0,BKG-000022,TICK-000046,ITI-000022,330000,0,36000,366000,37,0
47,2497,20250620,1236,16,36,0,BKG-000023,TICK-000047,ITI-000023,208000,0,23000,231000,23,10
48,2497,20250620,1236,17,36,0,BKG-000023,TICK-000048,ITI-000023,82000,0,9000,91000,9,0
49,414,20250721,1609,19,36,2,BKG-000024,TICK-000049,ITI-000024,112000,11000,11000,112000,11,0
50,414,20250721,1609,30,36,2,BKG-000024,TICK-000050,ITI-000024,422000,42000,42000,422000,42,0
51,268,20250620,1840,22,45,0,BKG-000025,TICK-000051,ITI-000025,222000,0,24000,246000,25,0
52,673,20250207,709,4,33,0,BKG-000026,TICK-000052,ITI-000026,221000,0,24000,245000,24,0
53,673,20250207,709,5,33,0,BKG-000026,TICK-000053,ITI-000026,458000,0,50000,508000,51,0
54,140,20251219,942,3,29,0,BKG-000027,TICK-000054,ITI-000027,104000,0,11000,115000,12,20
55,1708,20250827,1251,21,4,1,BKG-000028,TICK-000055,ITI-000028,156000,8000,16000,164000,16,0
56,1708,20250827,1251,22,4,1,BKG-000028,TICK-000056,ITI-000028,185000,9000,19000,195000,20,0
57,1708,20250827,1251,23,4,1,BKG-000028,TICK-000057,ITI-000028,186000,9000,19000,196000,20,0
58,3031,20250619,1925,14,48,0,BKG-000029,TICK-000058,ITI-000029,275000,0,30000,305000,30,0
59,3031,20250619,1925,29,48,0,BKG-000029,TICK-000059,ITI-000029,334000,0,37000,371000,37,0
60,3031,20250619,1925,20,48,0,BKG-000029,TICK-000060,ITI-000029,178000,0,20000,198000,20,0
61,4545,20250323,1000,13,35,0,BKG-000030,TICK-000061,ITI-000030,135000,0,15000,150000,15,30
62,4545,20250323,1000,14,35,0,BKG-000030,TICK-000062,ITI-000030,229000,0,25000,254000,25,0
63,4464,20250810,2154,21,48,0,BKG-000031,TICK-000063,ITI-000031,195000,0,21000,216000,22,0
64,4464,20250810,2154,22,48,0,BKG-000031,TICK-000064,ITI-000031,185000,0,20000,205000,20,0
65,4464,20250810,2154,23,48,0,BKG-000031,TICK-000065,ITI-000031,186000,0,20000,206000,21,0
66,2547,20250628,2109,2,28,0,BKG-000032,TICK-000066,ITI-000032,71000,0,8000,79000,8,0
67,3311,20250601,1908,21,33,0,BKG-000033,TICK-000067,ITI-000033,234000,0,26000,260000,26,0
68,3311,20250601,1908,22,33,0,BKG-000033,TICK-000068,ITI-000033,300000,0,33000,333000,33,0
69,3668,20251109,849,15,30,1,BKG-000034,TICK-000069,ITI-000034,226000,11000,24000,239000,24,0
70,4671,20251028,1318,6,48,2,BKG-000035,TICK-000070,ITI-000035,81000,8000,8000,81000,8,0
71,4671,20251028,1318,7,48,2,BKG-000035,TICK-000071,ITI-000035,196000,20000,19000,195000,20,0
72,4671,20251028,1318,8,48,2,BKG-000035,TICK-000072,ITI-000035,162000,16000,16000,162000,16,0
73,3825,20250115,1441,9,9,3,BKG-000036,TICK-000073,ITI-000036,279000,14000,29000,294000,29,0
74,3825,20250115,1441,28,9,3,BKG-000036,TICK-000074,ITI-000036,237000,12000,25000,250000,25,0
75,3825,20250115,1441,29,9,3,BKG-000036,TICK-000075,ITI-000036,223000,11000,23000,235000,24,0
76,1997,20251005,1632,11,46,0,BKG-000037,TICK-000076,ITI-000037,294000,0,32000,326000,33,0
77,1997,20251005,1632,12,46,0,BKG-000037,TICK-000077,ITI-000037,110000,0,12000,122000,12,0
78,2561,20250211,2052,4,34,0,BKG-000038,TICK-000078,ITI-000038,131000,0,14000,145000,14,0
79,3984,20250102,832,23,24,0,BKG-000039,TICK-000079,ITI-000039,149000,0,16000,165000,16,0
80,3984,20250102,832,24,24,0,BKG-000039,TICK-000080,ITI-000039,392000,0,43000,435000,44,0
81,3712,20250413,1914,12,48,2,BKG-000040,TICK-000081,ITI-000040,148000,15000,15000,148000,15,0
82,3712,20250413,1914,13,48,2,BKG-000040,TICK-000082,ITI-000040,135000,14000,13000,134000,13,0
83,4038,20251102,723,20,45,0,BKG-000041,TICK-000083,ITI-000041,251000,0,28000,279000,28,0
84,4038,20251102,723,21,45,0,BKG-000041,TICK-000084,ITI-000041,195000,0,21000,216000,22,0
85,3586,20250524,844,26,28,0,BKG-000042,TICK-000085,ITI-000042,139000,0,15000,154000,15,0
86,3586,20250524,844,5,28,0,BKG-000042,TICK-000086,ITI-000042,407000,0,45000,452000,45,0
87,108,20251209,1626,7,19,3,BKG-000043,TICK-000087,ITI-000043,294000,15000,31000,310000,31,0
88,108,20251209,1626,8,19,3,BKG-000043,TICK-000088,ITI-000043,155000,8000,16000,163000,16,0
89,647,20250429,1548,28,34,0,BKG-000044,TICK-000089,ITI-000044,320000,0,35000,355000,36,0
90,647,20250429,1548,29,34,0,BKG-000044,TICK-000090,ITI-000044,376000,0,41000,417000,42,0
91,647,20250429,1548,20,34,0,BKG-000044,TICK-000091,ITI-000044,186000,0,20000,206000,21,0
92,927,20250707,1249,19,37,1,BKG-000045,TICK-000092,ITI-000045,90000,4000,9000,95000,10,0
93,4824,20251217,2116,12,36,0,BKG-000046,TICK-000093,ITI-000046,178000,0,20000,198000,20,0
94,4824,20251217,2116,13,36,0,BKG-000046,TICK-000094,ITI-000046,273000,0,30000,303000,30,0
95,4655,20251111,747,3,34,0,BKG-000047,TICK-000095,ITI-000047,87000,0,10000,97000,10,0
96,2248,20250613,1031,29,24,0,BKG-000048,TICK-000096,ITI-000048,267000,0,29000,296000,30,0
97,2248,20250613,1031,30,24,0,BKG-000048,TICK-000097,ITI-000048,422000,0,46000,468000,47,0
98,2406,20251009,832,13,33,0,BKG-000049,TICK-000098,ITI-000049,135000,0,15000,150000,15,0
99,2406,20251009,832,14,33,0,BKG-000049,TICK-000099,ITI-000049,229000,0,25000,254000,25,0
100,4924,20251111,727,23,25,2,BKG-000050,TICK-000100,ITI-000050,178000,18000,18000,178000,18,0
101,4924,20251111,727,24,25,2,BKG-000050,TICK-000101,ITI-000050,279000,28000,28000,279000,28,0
102,1036,20241218,1156,22,47,0,BKG-000051,TICK-000102,ITI-000051,185000,0,20000,205000,20,0
103,1036,20241218,1156,23,47,0,BKG-000051,TICK-000103,ITI-000051,149000,0,16000,165000,16,0
104,3024,20250627,1645,4,12,1,BKG-000052,TICK-000104,ITI-000052,157000,8000,16000,165000,16,0
105,3024,20250627,1645,5,12,1,BKG-000052,TICK-000105,ITI-000052,407000,20000,43000,430000,43,0
106,3024,20250627,1645,6,12,1,BKG-000052,TICK-000106,ITI-000052,122000,6000,13000,129000,13,0
107,958,20251001,1054,11,2,2,BKG-000053,TICK-000107,ITI-000053,174000,17000,17000,174000,17,0
108,958,20251001,1054,12,2,2,BKG-000053,TICK-000108,ITI-000053,88000,9000,9000,88000,9,0
109,2944,20250728,1123,5,22,0,BKG-000054,TICK-000109,ITI-000054,271000,0,30000,301000,30,0
110,439,20250704,1329,2,48,0,BKG-000055,TICK-000110,ITI-000055,71000,0,8000,79000,8,0
111,439,20250704,1329,3,48,0,BKG-000055,TICK-000111,ITI-000055,104000,0,11000,115000,12,0
112,439,20250704,1329,4,48,0,BKG-000055,TICK-000112,ITI-000055,197000,0,22000,219000,22,0
113,4514,20250217,2108,22,25,3,BKG-000056,TICK-000113,ITI-000056,148000,7000,16000,157000,16,0
114,4514,20250217,2108,23,25,3,BKG-000056,TICK-000114,ITI-000056,251000,13000,26000,264000,26,0
115,1826,20251020,2119,15,24,1,BKG-000057,TICK-000115,ITI-000057,140000,7000,15000,148000,15,0
116,1826,20251020,2119,16,24,1,BKG-000057,TICK-000116,ITI-000057,173000,9000,18000,182000,18,0
117,455,20250717,1234,21,33,0,BKG-000058,TICK-000117,ITI-000058,187000,0,21000,208000,21,0
118,3540,20250716,1802,25,10,2,BKG-000059,TICK-000118,ITI-000059,257000,26000,25000,256000,26,0
119,3540,20250716,1802,26,10,2,BKG-000059,TICK-000119,ITI-000059,111000,11000,11000,111000,11,0
120,141,20250207,1547,1,33,2,BKG-000060,TICK-000120,ITI-000060,165000,16000,16000,165000,16,0
121,2163,20250706,1352,29,48,0,BKG-000061,TICK-000121,ITI-000061,451000,0,50000,501000,50,0
122,2163,20250706,1352,30,48,0,BKG-000061,TICK-000122,ITI-000061,337000,0,37000,374000,37,0
123,1617,20250706,926,20,36,1,BKG-000062,TICK-000123,ITI-000062,178000,9000,19000,188000,19,0
124,1617,20250706,926,21,36,1,BKG-000062,TICK-000124,ITI-000062,187000,9000,20000,198000,20,0
125,1686,20251011,1100,9,45,0,BKG-000063,TICK-000125,ITI-000063,207000,0,23000,230000,23,0
126,1686,20251011,1100,10,45,0,BKG-000063,TICK-000126,ITI-000063,231000,0,25000,256000,26,0
127,3043,20251002,904,24,41,0,BKG-000064,TICK-000127,ITI-000064,232000,0,26000,258000,26,0
128,761,20250531,1623,8,34,0,BKG-000065,TICK-000128,ITI-000065,262000,0,29000,291000,29,0
129,761,20250531,1623,9,34,0,BKG-000065,TICK-000129,ITI-000065,248000,0,27000,275000,28,0
130,761,20250531,1623,28,34,0,BKG-000065,TICK-000130,ITI-000065,228000,0,25000,253000,25,0
131,1305,20250525,1623,16,14,0,BKG-000066,TICK-000131,ITI-000066,259000,0,28000,287000,29,0
132,3568,20250617,1804,21,36,0,BKG-000067,TICK-000132,ITI-000067,187000,0,21000,208000,21,0
133,3568,20250617,1804,22,36,0,BKG-000067,TICK-000133,ITI-000067,222000,0,24000,246000,25,0
134,3110,20250908,1216,18,20,0,BKG-000068,TICK-000134,ITI-000068,196000,0,22000,218000,22,10
135,3110,20250908,1216,19,20,0,BKG-000068,TICK-000135,ITI-000068,75000,0,8000,83000,8,0
136,3110,20250908,1216,30,20,0,BKG-000068,TICK-000136,ITI-000068,281000,0,31000,312000,31,0
137,979,20250327,1749,23,25,0,BKG-000069,TICK-000137,ITI-000069,149000,0,16000,165000,16,30
138,979,20250327,1749,24,25,0,BKG-000069,TICK-000138,ITI-000069,232000,0,26000,258000,26,0
139,874,20250804,810,21,27,0,BKG-000070,TICK-000139,ITI-000070,156000,0,17000,173000,17,0
140,874,20250804,810,22,27,0,BKG-000070,TICK-000140,ITI-000070,148000,0,16000,164000,16,0
141,874,20250804,810,23,27,0,BKG-000070,TICK-000141,ITI-000070,149000,0,16000,165000,16,0
142,2109,20251130,1332,3,37,1,BKG-000071,TICK-000142,ITI-000071,83000,4000,9000,88000,9,0
143,2109,20251130,1332,4,37,1,BKG-000071,TICK-000143,ITI-000071,197000,10000,21000,208000,21,0
144,2109,20251130,1332,5,37,1,BKG-000071,TICK-000144,ITI-000071,407000,20000,43000,430000,43,0
145,1651,20251201,1840,22,33,3,BKG-000072,TICK-000145,ITI-000072,178000,9000,19000,188000,19,0
146,1390,20250525,1210,6,40,0,BKG-000073,TICK-000146,ITI-000073,98000,0,11000,109000,11,0
147,1390,20250525,1210,7,40,0,BKG-000073,TICK-000147,ITI-000073,235000,0,26000,261000,26,0
148,276,20250817,1923,28,12,1,BKG-000074,TICK-000148,ITI-000074,190000,10000,20000,200000,20,0
149,276,20250817,1923,29,12,1,BKG-000074,TICK-000149,ITI-000074,223000,11000,23000,235000,24,0
150,1693,20250106,724,25,36,1,BKG-000075,TICK-000150,ITI-000075,267000,13000,28000,282000,28,0
151,1693,20250106,724,26,36,1,BKG-000075,TICK-000151,ITI-000075,93000,5000,10000,98000,10,0
152,1693,20250106,724,27,36,1,BKG-000075,TICK-000152,ITI-000075,392000,20000,41000,413000,41,0
153,218,20250918,1329,5,36,2,BKG-000076,TICK-000153,ITI-000076,339000,34000,34000,339000,34,0
154,218,20250918,1329,6,36,2,BKG-000076,TICK-000154,ITI-000076,81000,8000,8000,81000,8,0
155,3393,20250627,1021,14,46,0,BKG-000077,TICK-000155,ITI-000077,275000,0,30000,305000,30,0
156,4333,20250704,1545,12,26,0,BKG-000078,TICK-000156,ITI-000078,106000,0,12000,118000,12,0
157,4333,20250704,1545,13,26,0,BKG-000078,TICK-000157,ITI-000078,162000,0,18000,180000,18,0
158,2551,20250602,1033,9,47,0,BKG-000079,TICK-000158,ITI-000079,199000,0,22000,221000,22,0
159,3892,20251006,1130,13,12,0,BKG-000080,TICK-000159,ITI-000080,168000,0,18000,186000,19,0
160,3892,20251006,1130,14,12,0,BKG-000080,TICK-000160,ITI-000080,386000,0,42000,428000,43,0
161,3892,20251006,1130,29,12,0,BKG-000080,TICK-000161,ITI-000080,278000,0,31000,309000,31,0
162,4113,20251120,931,11,40,1,BKG-000081,TICK-000162,ITI-000081,174000,9000,18000,183000,18,0
163,4113,20251120,931,12,40,1,BKG-000081,TICK-000163,ITI-000081,88000,4000,9000,93000,9,0
164,4113,20251120,931,13,40,1,BKG-000081,TICK-000164,ITI-000081,168000,8000,18000,178000,18,0
165,479,20250622,1201,28,45,2,BKG-000082,TICK-000165,ITI-000082,384000,38000,38000,384000,38,0
166,1484,20250528,931,2,33,0,BKG-000083,TICK-000166,ITI-000083,120000,0,13000,133000,13,0
167,1484,20250528,931,3,33,0,BKG-000083,TICK-000167,ITI-000083,104000,0,11000,115000,12,0
168,244,20250531,1315,9,33,0,BKG-000084,TICK-000168,ITI-000084,248000,0,27000,275000,28,0
169,3610,20250918,2033,23,11,2,BKG-000085,TICK-000169,ITI-000085,149000,15000,15000,149000,15,0
170,3610,20250918,2033,24,11,2,BKG-000085,TICK-000170,ITI-000085,232000,23000,23000,232000,23,0
171,4292,20250621,701,22,1,0,BKG-000086,TICK-000171,ITI-000086,178000,0,20000,198000,20,0
172,4292,20250621,701,23,1,0,BKG-000086,TICK-000172,ITI-000086,178000,0,20000,198000,20,0
173,1004,20250530,804,17,33,0,BKG-000087,TICK-000173,ITI-000087,65000,0,7000,72000,7,0
174,1004,20250530,804,18,33,0,BKG-000087,TICK-000174,ITI-000087,235000,0,26000,261000,26,0
175,1004,20250530,804,19,33,0,BKG-000087,TICK-000175,ITI-000087,90000,0,10000,100000,10,0
176,1070,20250707,1717,22,32,0,BKG-000088,TICK-000176,ITI-000088,222000,0,24000,246000,25,0
177,1070,20250707,1717,23,32,0,BKG-000088,TICK-000177,ITI-000088,178000,0,20000,198000,20,0
178,1070,20250707,1717,24,32,0,BKG-000088,TICK-000178,ITI-000088,279000,0,31000,310000,31,0
179,3089,20250504,1725,24,34,0,BKG-000089,TICK-000179,ITI-000089,232000,0,26000,258000,26,0
180,76,20251203,2121,4,33,2,BKG-000090,TICK-000180,ITI-000090,197000,20000,19000,196000,20,0
181,76,20251203,2121,27,33,2,BKG-000090,TICK-000181,ITI-000090,279000,28000,28000,279000,28,0
182,315,20251202,1136,24,33,2,BKG-000091,TICK-000182,ITI-000091,348000,35000,34000,347000,35,0
183,315,20251202,1136,25,33,2,BKG-000091,TICK-000183,ITI-000091,257000,26000,25000,256000,26,0
184,1596,20251205,1419,23,9,1,BKG-000092,TICK-000184,ITI-000092,223000,11000,23000,235000,24,0
185,1596,20251205,1419,24,9,1,BKG-000092,TICK-000185,ITI-000092,279000,14000,29000,294000,29,0
186,4929,20250712,1725,28,46,0,BKG-000093,TICK-000186,ITI-000093,237000,0,26000,263000,26,0
187,2595,20250730,1315,6,33,0,BKG-000094,TICK-000187,ITI-000094,81000,0,9000,90000,9,20
188,2595,20250730,1315,7,33,0,BKG-000094,TICK-000188,ITI-000094,330000,0,36000,366000,37,0
189,2870,20250512,913,20,45,2,BKG-000095,TICK-000189,ITI-000095,223000,22000,22000,223000,22,0
190,1247,20250602,731,18,36,0,BKG-000096,TICK-000190,ITI-000096,294000,0,32000,326000,33,0
191,1247,20250602,731,19,36,0,BKG-000096,TICK-000191,ITI-000096,112000,0,12000,124000,12,0
192,3577,20250820,1054,17,34,2,BKG-000097,TICK-000192,ITI-000097,92000,9000,9000,92000,9,0
193,3769,20250621,1252,26,36,1,BKG-000098,TICK-000193,ITI-000098,111000,6000,12000,117000,12,20
194,3769,20250621,1252,5,36,1,BKG-000098,TICK-000194,ITI-000098,407000,20000,43000,430000,43,0
195,389,20251018,1000,11,21,3,BKG-000099,TICK-000195,ITI-000099,174000,9000,18000,183000,18,0
196,389,20251018,1000,12,21,3,BKG-000099,TICK-000196,ITI-000099,88000,4000,9000,93000,9,0
197,3661,20250624,701,27,29,0,BKG-000100,TICK-000197,ITI-000100,470000,0,52000,522000,52,0
198,1570,20250930,1952,14,12,0,BKG-000101,TICK-000198,ITI-000101,229000,0,25000,254000,25,0
199,1570,20250930,1952,29,12,0,BKG-000101,TICK-000199,ITI-000101,223000,0,25000,248000,25,0
200,1570,20250930,1952,20,12,0,BKG-000101,TICK-000200,ITI-000101,186000,0,20000,206000,21,0
201,3931,20250621,839,4,45,2,BKG-000102,TICK-000201,ITI-000102,157000,16000,16000,157000,16,0
202,3931,20250621,839,5,45,2,BKG-000102,TICK-000202,ITI-000102,326000,33000,32000,325000,32,0
203,2674,20250618,1044,18,9,1,BKG-000103,TICK-000203,ITI-000103,294000,15000,31000,310000,31,0
204,261,20251028,2021,9,43,1,BKG-000104,TICK-000204,ITI-000104,207000,10000,22000,219000,22,0
205,261,20251028,2021,10,43,1,BKG-000104,TICK-000205,ITI-000104,231000,12000,24000,243000,24,0
206,261,20251028,2021,11,43,1,BKG-000104,TICK-000206,ITI-000104,218000,11000,23000,230000,23,0
207,1376,20250204,1121,6,33,1,BKG-000105,TICK-000207,ITI-000105,102000,5000,11000,108000,11,0
208,1376,20250204,1121,7,33,1,BKG-000105,TICK-000208,ITI-000105,245000,12000,26000,259000,26,0
209,1376,20250204,1121,8,33,1,BKG-000105,TICK-000209,ITI-000105,129000,6000,14000,137000,14,0
210,809,20251027,706,17,36,0,BKG-000106,TICK-000210,ITI-000106,68000,0,7000,75000,8,0
211,809,20251027,706,18,36,0,BKG-000106,TICK-000211,ITI-000106,196000,0,22000,218000,22,0
212,809,20251027,706,19,36,0,BKG-000106,TICK-000212,ITI-000106,75000,0,8000,83000,8,0
213,1052,20250610,1657,15,4,0,BKG-000107,TICK-000213,ITI-000107,134000,0,15000,149000,15,0
214,1052,20250610,1657,16,4,0,BKG-000107,TICK-000214,ITI-000107,208000,0,23000,231000,23,0
215,1052,20250610,1657,17,4,0,BKG-000107,TICK-000215,ITI-000107,82000,0,9000,91000,9,0
216,1960,20250529,2104,11,38,0,BKG-000108,TICK-000216,ITI-000108,261000,0,29000,290000,29,0
217,1960,20250529,2104,12,38,0,BKG-000108,TICK-000217,ITI-000108,106000,0,12000,118000,12,0
218,1960,20250529,2104,13,38,0,BKG-000108,TICK-000218,ITI-000108,162000,0,18000,180000,18,0
219,2548,20250629,1324,24,37,0,BKG-000109,TICK-000219,ITI-000109,279000,0,31000,310000,31,0
220,2548,20250629,1324,25,37,0,BKG-000109,TICK-000220,ITI-000109,257000,0,28000,285000,28,0
221,2548,20250629,1324,1,37,0,BKG-000109,TICK-000221,ITI-000109,198000,0,22000,220000,22,0
222,1216,20251120,1731,15,45,2,BKG-000110,TICK-000222,ITI-000110,226000,23000,22000,225000,22,0
223,1216,20251120,1731,16,45,2,BKG-000110,TICK-000223,ITI-000110,350000,35000,35000,350000,35,0
224,1216,20251120,1731,17,45,2,BKG-000110,TICK-000224,ITI-000110,65000,6000,6000,65000,6,0
225,2503,20250622,1000,12,44,0,BKG-000111,TICK-000225,ITI-000111,106000,0,12000,118000,12,0
226,3477,20251221,1625,6,38,0,BKG-000112,TICK-000226,ITI-000112,98000,0,11000,109000,11,0
227,3477,20251221,1625,7,38,0,BKG-000112,TICK-000227,ITI-000112,396000,0,44000,440000,44,0
228,3161,20251204,727,26,28,0,BKG-000113,TICK-000228,ITI-000113,139000,0,15000,154000,15,0
229,3567,20241210,1033,16,36,1,BKG-000114,TICK-000229,ITI-000114,216000,11000,23000,228000,23,0
230,3567,20241210,1033,17,36,1,BKG-000114,TICK-000230,ITI-000114,68000,3000,7000,72000,7,0
231,2014,20250520,1707,25,46,1,BKG-000115,TICK-000231,ITI-000115,257000,13000,27000,271000,27,0
232,2288,20250924,1051,14,25,1,BKG-000116,TICK-000232,ITI-000116,229000,11000,24000,242000,24,0
233,2288,20250924,1051,29,25,1,BKG-000116,TICK-000233,ITI-000116,376000,19000,39000,396000,40,0
234,2020,20250818,811,13,34,0,BKG-000117,TICK-000234,ITI-000117,135000,0,15000,150000,15,0
235,2020,20250818,811,14,34,0,BKG-000117,TICK-000235,ITI-000117,386000,0,42000,428000,43,0
236,4206,20241222,1804,22,34,0,BKG-000118,TICK-000236,ITI-000118,148000,0,16000,164000,16,10
237,4206,20241222,1804,23,34,0,BKG-000118,TICK-000237,ITI-000118,186000,0,20000,206000,21,0
238,4206,20241222,1804,24,34,0,BKG-000118,TICK-000238,ITI-000118,290000,0,32000,322000,32,0
239,3693,20250605,747,2,8,0,BKG-000119,TICK-000239,ITI-000119,89000,0,10000,99000,10,0
240,3693,20250605,747,3,8,0,BKG-000119,TICK-000240,ITI-000119,83000,0,9000,92000,9,0
241,2002,20250711,2105,30,45,1,BKG-000120,TICK-000241,ITI-000120,281000,14000,29000,296000,30,0
242,2002,20250711,2105,25,45,1,BKG-000120,TICK-000242,ITI-000120,214000,11000,22000,225000,22,0
243,2002,20250711,2105,26,45,1,BKG-000120,TICK-000243,ITI-000120,93000,5000,10000,98000,10,0
244,4622,20250516,1231,14,9,0,BKG-000121,TICK-000244,ITI-000121,343000,0,38000,381000,38,0
245,4622,20250516,1231,15,9,0,BKG-000121,TICK-000245,ITI-000121,226000,0,25000,251000,25,0
246,3220,20250907,1926,11,29,2,BKG-000122,TICK-000246,ITI-000122,174000,17000,17000,174000,17,0
247,3220,20250907,1926,12,29,2,BKG-000122,TICK-000247,ITI-000122,110000,11000,11000,110000,11,0
248,439,20250203,1046,18,36,0,BKG-000123,TICK-000248,ITI-000123,196000,0,22000,218000,22,20
249,439,20250203,1046,19,36,0,BKG-000123,TICK-000249,ITI-000123,94000,0,10000,104000,10,0
250,439,20250203,1046,30,36,0,BKG-000123,TICK-000250,ITI-000123,351000,0,39000,390000,39,0
251,4567,20250413,2143,14,34,0,BKG-000124,TICK-000251,ITI-000124,286000,0,31000,317000,32,20
252,4567,20250413,2143,15,34,0,BKG-000124,TICK-000252,ITI-000124,140000,0,15000,155000,16,0
253,4492,20251215,728,23,16,0,BKG-000125,TICK-000253,ITI-000125,223000,0,25000,248000,25,0
254,4492,20251215,728,24,16,0,BKG-000125,TICK-000254,ITI-000125,279000,0,31000,310000,31,0
255,597,20251014,1450,8,33,0,BKG-000126,TICK-000255,ITI-000126,218000,0,24000,242000,24,0
