loyalty_transaction_sk,passenger_sk,transaction_date_sk,transaction_time_sk,loyalty_transaction_type_sk,loyalty_transaction_id,reference_id,points_transacted,points_balance_after
30,2474,20250303,900,1,LTX-0000030,BKG-002696,69,69
31,2474,20250303,1800,2,LTX-0000031,BKG-002696,-20,49
32,2474,20250313,900,1,LTX-0000032,BKG-000010,62,111
33,2474,20251109,900,1,LTX-0000033,BKG-005641,66,177
34,2474,20251113,900,1,LTX-0000034,BKG-002067,18,195
35,1969,20250530,900,1,LTX-0000035,BKG-000011,61,61
36,1969,20251216,900,1,LTX-0000036,BKG-004551,50,111
37,1462,20250511,900,1,LTX-0000037,BKG-007396,34,34
38,1462,20250524,900,1,LTX-0000038,BKG-008908,53,87
39,1462,20250921,900,1,LTX-0000039,BKG-002736,72,159
40,1462,20250926,900,1,LTX-0000040,BKG-000012,43,202
41,627,20250301,900,1,LTX-0000041,BKG-008230,42,42
42,627,20250516,900,1,LTX-0000042,BKG-002709,28,70
43,627,20250616,900,1,LTX-0000043,BKG-000013,36,106
44,627,20251126,900,1,LTX-0000044,BKG-002581,10,116
45,1420,20241229,900,1,LTX-0000045,BKG-011787,18,18
46,1420,20250325,900,1,LTX-0000046,BKG-005973,18,36
47,1420,20250926,900,1,LTX-0000047,BKG-000014,55,91
48,3286,20250523,900,1,LTX-0000048,BKG-001090,10,10
49,3286,20250523,1800,2,LTX-0000049,BKG-001090,-10,0
50,3286,20250618,900,1,LTX-0000050,BKG-002160,22,22
51,3286,20250618,1800,2,LTX-0000051,BKG-002160,-10,12
52,3286,20250702,900,1,LTX-0000052,BKG-003660,44,56
53,3286,20251129,900,1,LTX-0000053,BKG-012230,22,78
54,3286,20251217,900,1,LTX-0000054,BKG-000015,12,90
55,3944,20250116,900,1,LTX-0000055,BKG-011191,34,34
56,3945,20250420,900,1,LTX-0000056,BKG-007792,44,78
57,3945,20250524,900,1,LTX-0000057,BKG-000350,43,121
58,3945,20250609,900,1,LTX-0000058,BKG-000016,62,183
59,3945,20250628,900,1,LTX-0000059,BKG-004751,86,269
60,13,20250305,900,1,LTX-0000060,BKG-008423,14,14
61,13,20250527,900,1,LTX-0000061,BKG-000326,7,21
62,13,20250708,900,1,LTX-0000062,BKG-000017,39,60
63,13,20250708,1800,2,LTX-0000063,BKG-000017,-30,30
64,13,20250712,900,1,LTX-0000064,BKG-000378,63,93
65,13,20250911,900,1,LTX-0000065,BKG-003209,69,162
66,3693,20250205,900,1,LTX-0000066,BKG-000018,26,26
67,3693,20250605,900,1,LTX-0000067,BKG-000119,19,45
68,3693,20250623,900,1,LTX-0000068,BKG-003574,20,65
69,308,20250602,900,1,LTX-0000069,BKG-000019,46,46
70,4100,20250415,900,1,LTX-0000070,BKG-012341,57,57
71,4100,20250617,900,1,LTX-0000071,BKG-000020,41,98
72,4100,20250718,900,1,LTX-0000072,BKG-002131,27,125
73,4100,20251216,900,1,LTX-0000073,BKG-004886,45,170
74,1384,20250225,900,1,LTX-0000074,BKG-006316,46,46
75,1385,20250610,900,1,LTX-0000075,BKG-002687,87,133
76,1385,20250613,900,1,LTX-0000076,BKG-002870,78,211
77,1385,20251026,900,1,LTX-0000077,BKG-010126,46,257
78,1385,20251026,1800,2,LTX-0000078,BKG-010126,-30,227
79,1385,20251213,900,1,LTX-0000079,BKG-000021,57,284
80,1799,20250118,900,1,LTX-0000080,BKG-007992,10,10
81,1799,20250313,900,1,LTX-0000081,BKG-000022,48,58
82,1799,20250522,900,1,LTX-0000082,BKG-001344,48,106
83,1799,20250626,900,1,LTX-0000083,BKG-006532,82,188
84,2497,20250517,900,1,LTX-0000084,BKG-004951,58,58
85,2497,20250620,900,1,LTX-0000085,BKG-000023,32,90
86,2497,20250620,1800,2,LTX-0000086,BKG-000023,-10,80
87,2497,20250708,900,1,LTX-0000087,BKG-009192,30,110
88,414,20250329,900,1,LTX-0000088,BKG-008141,38,38
89,414,20250525,900,1,LTX-0000089,BKG-000718,25,63
90,414,20250527,900,1,LTX-0000090,BKG-006418,30,93
91,414,20250622,900,1,LTX-0000091,BKG-010895,60,153
92,414,20250721,900,1,LTX-0000092,BKG-000024,53,206
93,414,20251218,900,1,LTX-0000093,BKG-009151,34,240
94,268,20250214,900,1,LTX-0000094,BKG-011340,41,41
95,268,20250310,900,1,LTX-0000095,BKG-008523,31,72
96,268,20250620,900,1,LTX-0000096,BKG-000025,25,97
97,268,20250627,900,1,LTX-0000097,BKG-000244,28,125
98,268,20250919,900,1,LTX-0000098,BKG-006232,42,167
99,268,20251024,900,1,LTX-0000099,BKG-012274,10,177
100,268,20251122,900,1,LTX-0000100,BKG-001295,19,196
101,673,20250207,900,1,LTX-0000101,BKG-000026,75,75
102,673,20251124,900,1,LTX-0000102,BKG-004784,40,115
103,673,20251202,900,1,LTX-0000103,BKG-008005,72,187
104,140,20250502,900,1,LTX-0000104,BKG-006982,16,16
105,140,20251219,900,1,LTX-0000105,BKG-000027,12,28
106,140,20251219,1800,2,LTX-0000106,BKG-000027,-20,8
107,1707,20250201,900,1,LTX-0000107,BKG-011275,40,40
108,1707,20250423,900,1,LTX-0000108,BKG-001139,34,74
109,1707,20250525,900,1,LTX-0000109,BKG-002758,10,84
110,1707,20250615,900,1,LTX-0000110,BKG-004473,71,155
111,1707,20250629,900,1,LTX-0000111,BKG-001187,60,215
112,1708,20250827,900,1,LTX-0000112,BKG-000028,56,271
113,3031,20250221,900,1,LTX-0000113,BKG-011314,28,28
114,3031,20250619,900,1,LTX-0000114,BKG-000029,87,115
115,3031,20250710,900,1,LTX-0000115,BKG-006059,32,147
116,3031,20250829,900,1,LTX-0000116,BKG-012295,33,180
117,3031,20250924,900,1,LTX-0000117,BKG-008361,11,191
118,4545,20250323,900,1,LTX-0000118,BKG-000030,40,40
119,4545,20250323,1800,2,LTX-0000119,BKG-000030,-30,10
120,4546,20251028,900,1,LTX-0000120,BKG-005173,45,55
121,4546,20251103,900,1,LTX-0000121,BKG-002358,16,71
122,4546,20251115,900,1,LTX-0000122,BKG-003623,37,108
123,4464,20250527,900,1,LTX-0000123,BKG-000358,10,10
124,4464,20250810,900,1,LTX-0000124,BKG-000031,63,73
125,4464,20251206,900,1,LTX-0000125,BKG-012241,19,92
126,2546,20250421,900,1,LTX-0000126,BKG-012101,51,51
127,2546,20250513,900,1,LTX-0000127,BKG-010352,66,117
128,2546,20250513,1800,2,LTX-0000128,BKG-010352,-10,107
129,2547,20250628,900,1,LTX-0000129,BKG-000032,8,115
130,2547,20250703,900,1,LTX-0000130,BKG-002409,48,163
131,2547,20250721,900,1,LTX-0000131,BKG-012334,75,238
132,2547,20250805,900,1,LTX-0000132,BKG-003650,55,293
133,3311,20250601,900,1,LTX-0000133,BKG-000033,59,59
134,3668,20250225,900,1,LTX-0000134,BKG-004408,60,60
135,3668,20250303,900,1,LTX-0000135,BKG-007895,38,98
136,3668,20250803,900,1,LTX-0000136,BKG-011581,30,128
137,3668,20251020,900,1,LTX-0000137,BKG-000986,107,235
138,3668,20251109,900,1,LTX-0000138,BKG-000034,24,259
139,4671,20250311,900,1,LTX-0000139,BKG-005400,8,8
140,4671,20250815,900,1,LTX-0000140,BKG-007465,25,33
141,4671,20251028,900,1,LTX-0000141,BKG-000035,44,77
142,4671,20251103,900,1,LTX-0000142,BKG-005731,38,115
143,4671,20251104,900,1,LTX-0000143,BKG-011003,34,149
144,4671,20251104,1800,2,LTX-0000144,BKG-011003,-10,139
145,4671,20251204,900,1,LTX-0000145,BKG-007422,48,187
146,3825,20250115,900,1,LTX-0000146,BKG-000036,78,78
147,3825,20250428,900,1,LTX-0000147,BKG-009323,10,88
148,3825,20250520,900,1,LTX-0000148,BKG-008537,57,145
149,3825,20250818,900,1,LTX-0000149,BKG-011060,18,163
150,3825,20251112,900,1,LTX-0000150,BKG-001239,19,182
151,3825,20251117,900,1,LTX-0000151,BKG-006968,116,298
152,3825,20251203,900,1,LTX-0000152,BKG-011716,53,351
153,1997,20250410,900,1,LTX-0000153,BKG-000965,20,20
154,1997,20251005,900,1,LTX-0000154,BKG-000037,45,65
155,1997,20251007,900,1,LTX-0000155,BKG-004962,30,95
156,2561,20250211,900,1,LTX-0000156,BKG-000038,14,14
157,2561,20250619,900,1,LTX-0000157,BKG-010443,27,41
158,2561,20250721,900,1,LTX-0000158,BKG-011743,48,89
159,2561,20251013,900,1,LTX-0000159,BKG-001001,47,136
160,3984,20250102,900,1,LTX-0000160,BKG-000039,60,60
161,3984,20250321,900,1,LTX-0000161,BKG-007164,22,82
162,3984,20250321,1800,2,LTX-0000162,BKG-007164,-20,62
163,3984,20250323,900,1,LTX-0000163,BKG-007139,47,109
164,3984,20250712,900,1,LTX-0000164,BKG-007727,88,197
165,3984,20250825,900,1,LTX-0000165,BKG-012160,47,244
166,3984,20251001,900,1,LTX-0000166,BKG-002170,7,251
167,3712,20250114,900,1,LTX-0000167,BKG-004760,42,42
168,3712,20250413,900,1,LTX-0000168,BKG-000040,28,70
169,3712,20250525,900,1,LTX-0000169,BKG-012377,65,135
170,3712,20251202,900,1,LTX-0000170,BKG-006142,41,176
171,4038,20250201,900,1,LTX-0000171,BKG-006237,13,13
172,4038,20250207,900,1,LTX-0000172,BKG-012265,28,41
173,4038,20250705,900,1,LTX-0000173,BKG-012055,32,73
174,4038,20251013,900,1,LTX-0000174,BKG-003502,44,117
175,4038,20251102,900,1,LTX-0000175,BKG-000041,50,167
176,4038,20251201,900,1,LTX-0000176,BKG-010502,67,234
177,3586,20250524,900,1,LTX-0000177,BKG-000042,61,61
178,3586,20250529,900,1,LTX-0000178,BKG-000996,36,97
179,3586,20250529,1800,2,LTX-0000179,BKG-000996,-10,87
180,3586,20251203,900,1,LTX-0000180,BKG-005066,81,168
181,107,20241222,900,1,LTX-0000181,BKG-011347,52,52
182,107,20250319,900,1,LTX-0000182,BKG-003141,44,96
183,107,20250525,900,1,LTX-0000183,BKG-010128,54,150
184,107,20250527,900,1,LTX-0000184,BKG-006733,93,243
185,108,20250920,900,1,LTX-0000185,BKG-005294,28,271
186,108,20251209,900,1,LTX-0000186,BKG-000043,47,318
187,647,20250130,900,1,LTX-0000187,BKG-006384,54,54
188,647,20250429,900,1,LTX-0000188,BKG-000044,98,152
189,927,20250630,900,1,LTX-0000189,BKG-005271,52,52
190,927,20250702,900,1,LTX-0000190,BKG-012141,28,80
191,927,20250707,900,1,LTX-0000191,BKG-000045,10,90
192,927,20250822,900,1,LTX-0000192,BKG-005837,18,108
193,4824,20251217,900,1,LTX-0000193,BKG-000046,50,50
194,4655,20250601,900,1,LTX-0000194,BKG-011863,86,86
195,4655,20250712,900,1,LTX-0000195,BKG-005947,72,158
196,4655,20250817,900,1,LTX-0000196,BKG-012399,31,189
197,4655,20251111,900,1,LTX-0000197,BKG-000047,10,199
198,2248,20250509,900,1,LTX-0000198,BKG-001000,27,27
199,2248,20250613,900,1,LTX-0000199,BKG-000048,76,103
200,2248,20250810,900,1,LTX-0000200,BKG-001830,12,115
201,2248,20251112,900,1,LTX-0000201,BKG-010218,12,127
202,2248,20251127,900,1,LTX-0000202,BKG-011872,68,195
203,2406,20241231,900,1,LTX-0000203,BKG-009420,28,28
204,2406,20250110,900,1,LTX-0000204,BKG-000465,30,58
205,2406,20250112,900,1,LTX-0000205,BKG-003483,36,94
206,2406,20250625,900,1,LTX-0000206,BKG-006950,17,111
207,2406,20250705,900,1,LTX-0000207,BKG-010370,45,156
208,2406,20250916,900,1,LTX-0000208,BKG-006673,42,198
209,2406,20251009,900,1,LTX-0000209,BKG-000049,40,238
210,2407,20251112,900,1,LTX-0000210,BKG-011042,20,258
211,2407,20251220,900,1,LTX-0000211,BKG-009265,47,305
212,4924,20250104,900,1,LTX-0000212,BKG-005672,26,26
213,4924,20250222,900,1,LTX-0000213,BKG-005965,22,48
214,4924,20251111,900,1,LTX-0000214,BKG-000050,46,94
215,1036,20241218,900,1,LTX-0000215,BKG-000051,37,37
216,3024,20250627,900,1,LTX-0000216,BKG-000052,72,72
217,958,20251001,900,1,LTX-0000217,BKG-000053,26,26
218,958,20251127,900,1,LTX-0000218,BKG-011054,38,64
219,2944,20250205,900,1,LTX-0000219,BKG-002146,39,39
220,2944,20250508,900,1,LTX-0000220,BKG-003071,14,53
221,2944,20250703,900,1,LTX-0000221,BKG-009009,50,103
222,2944,20250728,900,1,LTX-0000222,BKG-000054,30,133
223,439,20250203,900,1,LTX-0000223,BKG-000123,71,71
224,439,20250203,1800,2,LTX-0000224,BKG-000123,-20,51
225,439,20250508,900,1,LTX-0000225,BKG-006858,10,61
226,439,20250610,900,1,LTX-0000226,BKG-008366,19,80
227,439,20250610,1800,2,LTX-0000227,BKG-008366,-10,70
228,439,20250616,900,1,LTX-0000228,BKG-011579,53,123
229,439,20250704,900,1,LTX-0000229,BKG-000055,41,164
230,439,20250706,900,1,LTX-0000230,BKG-000734,40,204
231,439,20250710,900,1,LTX-0000231,BKG-004287,53,257
232,4514,20250212,900,1,LTX-0000232,BKG-009838,32,32
233,4514,20250217,900,1,LTX-0000233,BKG-000056,42,74
234,4515,20251121,900,1,LTX-0000234,BKG-000438,11,85
235,1826,20250615,900,1,LTX-0000235,BKG-004543,83,83
236,1826,20250616,900,1,LTX-0000236,BKG-011692,26,109
237,1826,20250616,1800,2,LTX-0000237,BKG-011692,-20,89
238,1826,20250617,900,1,LTX-0000238,BKG-002281,67,156
239,1826,20250807,900,1,LTX-0000239,BKG-007230,43,199
240,1826,20250817,900,1,LTX-0000240,BKG-006981,24,223
241,1826,20250817,1800,2,LTX-0000241,BKG-006981,-20,203
242,1826,20251020,900,1,LTX-0000242,BKG-000057,33,236
243,455,20250608,900,1,LTX-0000243,BKG-005557,43,43
244,455,20250717,900,1,LTX-0000244,BKG-000058,21,64
245,3540,20250204,900,1,LTX-0000245,BKG-003882,46,46
246,3540,20250325,900,1,LTX-0000246,BKG-007166,37,83
247,3540,20250419,900,1,LTX-0000247,BKG-007994,42,125
248,3540,20250429,900,1,LTX-0000248,BKG-006434,32,157
249,3540,20250716,900,1,LTX-0000249,BKG-000059,37,194
250,3540,20251001,900,1,LTX-0000250,BKG-008575,76,270
251,3540,20251001,1800,2,LTX-0000251,BKG-008575,-10,260
252,3540,20251205,900,1,LTX-0000252,BKG-009229,72,332
253,141,20241230,900,1,LTX-0000253,BKG-005198,26,26
254,141,20250114,900,1,LTX-0000254,BKG-004242,44,70
255,141,20250207,900,1,LTX-0000255,BKG-000060,16,86
256,141,20250428,900,1,LTX-0000256,BKG-001067,68,154
257,141,20250514,900,1,LTX-0000257,BKG-011308,70,224
258,141,20250514,1800,2,LTX-0000258,BKG-011308,-30,194
259,141,20251010,900,1,LTX-0000259,BKG-010826,9,203
260,141,20251010,1800,2,LTX-0000260,BKG-010826,-10,193
261,141,20251119,900,1,LTX-0000261,BKG-010971,46,239
262,2162,20250323,900,1,LTX-0000262,BKG-010335,6,6
263,2163,20250618,900,1,LTX-0000263,BKG-012412,44,50
264,2163,20250704,900,1,LTX-0000264,BKG-002636,84,134
265,2163,20250706,900,1,LTX-0000265,BKG-000061,88,222
266,2163,20251020,900,1,LTX-0000266,BKG-012235,60,282
267,1617,20250216,900,1,LTX-0000267,BKG-008948,37,37
268,1617,20250503,900,1,LTX-0000268,BKG-009085,39,76
269,1617,20250706,900,1,LTX-0000269,BKG-000062,39,115
270,1686,20250206,900,1,LTX-0000270,BKG-007460,46,46
271,1686,20250529,900,1,LTX-0000271,BKG-003035,68,114
272,1686,20250529,1800,2,LTX-0000272,BKG-003035,-20,94
273,1686,20250602,900,1,LTX-0000273,BKG-005489,59,153
274,1686,20251011,900,1,LTX-0000274,BKG-000063,49,202
275,1686,20251212,900,1,LTX-0000275,BKG-004883,53,255
276,3042,20250530,900,1,LTX-0000276,BKG-004612,44,44
277,3042,20250622,900,1,LTX-0000277,BKG-003185,47,91
278,3042,20250626,900,1,LTX-0000278,BKG-009677,26,117
279,3043,20251002,900,1,LTX-0000279,BKG-000064,26,143
280,761,20250531,900,1,LTX-0000280,BKG-000065,82,82
281,1305,20250525,900,1,LTX-0000281,BKG-000066,29,29
282,1305,20250529,900,1,LTX-0000282,BKG-008234,45,74
283,1305,20250703,900,1,LTX-0000283,BKG-010511,28,102
284,3567,20241210,900,1,LTX-0000284,BKG-000114,30,30
285,3568,20250617,900,1,LTX-0000285,BKG-000067,45,75
286,3568,20251109,900,1,LTX-0000286,BKG-003793,12,87
287,3109,20250213,900,1,LTX-0000287,BKG-009248,28,28
288,3109,20250305,900,1,LTX-0000288,BKG-011726,14,42
289,3109,20250320,900,1,LTX-0000289,BKG-003090,58,100
290,3109,20250320,1800,2,LTX-0000290,BKG-003090,-20,80
291,3109,20250511,900,1,LTX-0000291,BKG-003744,46,126
292,3109,20250616,900,1,LTX-0000292,BKG-010507,19,145
293,3109,20250715,900,1,LTX-0000293,BKG-000963,54,199
294,3110,20250908,900,1,LTX-0000294,BKG-000068,61,260
295,3110,20250908,1800,2,LTX-0000295,BKG-000068,-10,250
296,979,20241223,900,1,LTX-0000296,BKG-003124,24,24
297,979,20250207,900,1,LTX-0000297,BKG-006856,50,74
298,979,20250207,1800,2,LTX-0000298,BKG-006856,-30,44
299,979,20250327,900,1,LTX-0000299,BKG-000069,42,86
300,979,20250327,1800,2,LTX-0000300,BKG-000069,-30,56
301,979,20250517,900,1,LTX-0000301,BKG-002601,59,115
302,979,20250623,900,1,LTX-0000302,BKG-001986,36,151
303,979,20250629,900,1,LTX-0000303,BKG-007657,35,186
304,979,20250727,900,1,LTX-0000304,BKG-002593,56,242
305,979,20251119,900,1,LTX-0000305,BKG-003439,28,270
306,874,20250804,900,1,LTX-0000306,BKG-000070,50,50
307,874,20250928,900,1,LTX-0000307,BKG-004433,62,112
308,874,20251122,900,1,LTX-0000308,BKG-010607,76,188
309,2109,20250330,900,1,LTX-0000309,BKG-004568,26,26
310,2109,20250616,900,1,LTX-0000310,BKG-001580,38,64
311,2109,20250622,900,1,LTX-0000311,BKG-008065,85,149
312,2109,20250901,900,1,LTX-0000312,BKG-010323,34,183
313,2109,20251130,900,1,LTX-0000313,BKG-000071,73,256
314,1650,20250224,900,1,LTX-0000314,BKG-009693,44,44
315,1650,20250305,900,1,LTX-0000315,BKG-006927,20,64
316,1651,20250601,900,1,LTX-0000316,BKG-010313,30,94
317,1651,20251201,900,1,LTX-0000317,BKG-000072,19,113
318,1390,20250525,900,1,LTX-0000318,BKG-000073,37,37
319,1390,20250816,900,1,LTX-0000319,BKG-010974,48,85
320,276,20250221,900,1,LTX-0000320,BKG-000957,6,6
321,276,20250615,900,1,LTX-0000321,BKG-004625,58,64
322,276,20250719,900,1,LTX-0000322,BKG-003121,41,105
323,276,20250817,900,1,LTX-0000323,BKG-000074,44,149
324,276,20251119,900,1,LTX-0000324,BKG-000283,47,196
325,1693,20250106,900,1,LTX-0000325,BKG-000075,79,79
326,1693,20251024,900,1,LTX-0000326,BKG-004202,41,120
327,1693,20251109,900,1,LTX-0000327,BKG-001701,73,193
328,217,20250227,900,1,LTX-0000328,BKG-012105,34,34
329,217,20250317,900,1,LTX-0000329,BKG-011701,55,89
330,217,20250425,900,1,LTX-0000330,BKG-010121,37,126
331,217,20250503,900,1,LTX-0000331,BKG-011106,37,163
332,217,20250613,900,1,LTX-0000332,BKG-012097,44,207
333,217,20250715,900,1,LTX-0000333,BKG-010127,44,251
334,217,20250715,1800,2,LTX-0000334,BKG-010127,-30,221
335,218,20250918,900,1,LTX-0000335,BKG-000076,42,263
336,3392,20250120,900,1,LTX-0000336,BKG-011724,35,35
337,3392,20250130,900,1,LTX-0000337,BKG-005693,14,49
338,3393,20250531,900,1,LTX-0000338,BKG-000492,58,107
339,3393,20250612,900,1,LTX-0000339,BKG-002385,75,182
340,3393,20250627,900,1,LTX-0000340,BKG-000077,30,212
341,3393,20250711,900,1,LTX-0000341,BKG-004038,39,251
342,3393,20251121,900,1,LTX-0000342,BKG-002352,23,274
343,4333,20250612,900,1,LTX-0000343,BKG-010786,72,72
344,4333,20250616,900,1,LTX-0000344,BKG-011237,26,98
345,4333,20250704,900,1,LTX-0000345,BKG-000078,30,128
346,4333,20251104,900,1,LTX-0000346,BKG-007187,63,191
347,2551,20250204,900,1,LTX-0000347,BKG-002754,40,40
348,2551,20250204,1800,2,LTX-0000348,BKG-002754,-10,30
349,2551,20250331,900,1,LTX-0000349,BKG-010112,60,90
350,2551,20250602,900,1,LTX-0000350,BKG-000079,22,112
351,2551,20250818,900,1,LTX-0000351,BKG-004082,80,192
352,3892,20250110,900,1,LTX-0000352,BKG-006383,31,31
353,3892,20250324,900,1,LTX-0000353,BKG-001890,45,76
354,3892,20250528,900,1,LTX-0000354,BKG-011444,65,141
355,3892,20250625,900,1,LTX-0000355,BKG-008903,73,214
356,3892,20251006,900,1,LTX-0000356,BKG-000080,92,306
357,3892,20251208,900,1,LTX-0000357,BKG-004903,44,350
358,4113,20250613,900,1,LTX-0000358,BKG-008756,72,72
359,4113,20250620,900,1,LTX-0000359,BKG-007231,62,134
360,4113,20250922,900,1,LTX-0000360,BKG-009316,37,171
361,4113,20251114,900,1,LTX-0000361,BKG-006045,48,219
362,4113,20251120,900,1,LTX-0000362,BKG-000081,45,264
363,479,20250622,900,1,LTX-0000363,BKG-000082,38,38
364,1484,20250528,900,1,LTX-0000364,BKG-000083,25,25
365,1484,20250914,900,1,LTX-0000365,BKG-002599,33,58
366,1484,20251119,900,1,LTX-0000366,BKG-005817,44,102
367,1484,20251119,1800,2,LTX-0000367,BKG-005817,-10,92
368,244,20250531,900,1,LTX-0000368,BKG-000084,28,28
369,244,20250725,900,1,LTX-0000369,BKG-010456,63,91
370,244,20250928,900,1,LTX-0000370,BKG-010628,8,99
371,244,20251214,900,1,LTX-0000371,BKG-005299,40,139
372,3610,20250918,900,1,LTX-0000372,BKG-000085,38,38
373,4292,20250405,900,1,LTX-0000373,BKG-001706,36,36
374,4292,20250621,900,1,LTX-0000374,BKG-000086,40,76
375,1004,20250530,900,1,LTX-0000375,BKG-000087,43,43
376,1004,20250604,900,1,LTX-0000376,BKG-008646,36,79
377,1004,20250827,900,1,LTX-0000377,BKG-001843,29,108
378,1004,20251213,900,1,LTX-0000378,BKG-011223,46,154
379,1070,20250707,900,1,LTX-0000379,BKG-000088,75,75
380,3089,20250130,900,1,LTX-0000380,BKG-008371,44,44
381,3089,20250315,900,1,LTX-0000381,BKG-003196,48,92
382,3089,20250426,900,1,LTX-0000382,BKG-003985,30,122
383,3089,20250429,900,1,LTX-0000383,BKG-001956,29,151
384,3089,20250504,900,1,LTX-0000384,BKG-000089,26,177
385,3089,20251012,900,1,LTX-0000385,BKG-006552,18,195
386,3089,20251012,1800,2,LTX-0000386,BKG-006552,-30,165
387,3089,20251111,900,1,LTX-0000387,BKG-000393,33,198
388,3089,20251128,900,1,LTX-0000388,BKG-001490,67,265
389,75,20250116,900,1,LTX-0000389,BKG-010305,52,52
390,76,20250611,900,1,LTX-0000390,BKG-007486,31,83
391,76,20250611,1800,2,LTX-0000391,BKG-007486,-30,53
392,76,20251203,900,1,LTX-0000392,BKG-000090,48,101
393,315,20250509,900,1,LTX-0000393,BKG-004261,34,34
394,315,20251025,900,1,LTX-0000394,BKG-009464,49,83
395,315,20251202,900,1,LTX-0000395,BKG-000091,60,143
396,1596,20251205,900,1,LTX-0000396,BKG-000092,53,53
397,4929,20250712,900,1,LTX-0000397,BKG-000093,26,26
398,2595,20250514,900,1,LTX-0000398,BKG-006063,80,80
399,2595,20250621,900,1,LTX-0000399,BKG-001837,100,180
400,2595,20250624,900,1,LTX-0000400,BKG-009068,60,240
401,2595,20250704,900,1,LTX-0000401,BKG-003345,9,249
402,2595,20250730,900,1,LTX-0000402,BKG-000094,46,295
403,2595,20250730,1800,2,LTX-0000403,BKG-000094,-20,275
404,2595,20251207,900,1,LTX-0000404,BKG-011095,50,325
405,2595,20251211,900,1,LTX-0000405,BKG-012457,50,375
406,2870,20250505,900,1,LTX-0000406,BKG-006068,25,25
407,2870,20250512,900,1,LTX-0000407,BKG-000095,22,47
408,2870,20250627,900,1,LTX-0000408,BKG-010150,53,100
409,2870,20250718,900,1,LTX-0000409,BKG-011152,9,109
410,1247,20250211,900,1,LTX-0000410,BKG-000159,78,78
411,1247,20250602,900,1,LTX-0000411,BKG-000096,45,123
412,1248,20251210,900,1,LTX-0000412,BKG-003014,41,164
413,3576,20250212,900,1,LTX-0000413,BKG-011105,30,30
414,3576,20250424,900,1,LTX-0000414,BKG-000852,8,38
415,3576,20250424,1800,2,LTX-0000415,BKG-000852,-10,28
416,3577,20250820,900,1,LTX-0000416,BKG-000097,9,37
417,3577,20250903,900,1,LTX-0000417,BKG-001328,55,92
418,3577,20251026,900,1,LTX-0000418,BKG-006352,60,152
419,3577,20251119,900,1,LTX-0000419,BKG-001571,39,191
420,3577,20251124,900,1,LTX-0000420,BKG-003669,37,228
421,3577,20251124,1800,2,LTX-0000421,BKG-003669,-10,218
422,3769,20250527,900,1,LTX-0000422,BKG-008448,41,41
423,3769,20250529,900,1,LTX-0000423,BKG-000640,48,89
424,3769,20250621,900,1,LTX-0000424,BKG-000098,55,144
425,3769,20250621,1800,2,LTX-0000425,BKG-000098,-20,124
426,3769,20251105,900,1,LTX-0000426,BKG-010028,13,137
427,3769,20251105,1800,2,LTX-0000427,BKG-010028,-10,127
428,3769,20251119,900,1,LTX-0000428,BKG-008195,18,145
429,3769,20251122,900,1,LTX-0000429,BKG-009145,75,220
430,389,20250529,900,1,LTX-0000430,BKG-004674,28,28
431,389,20251018,900,1,LTX-0000431,BKG-000099,28,56
432,3661,20250109,900,1,LTX-0000432,BKG-000645,22,22
433,3661,20250516,900,1,LTX-0000433,BKG-008596,27,49
